sku,name,category,list_price_usd,billing_model,uom
SW-SEC-110,Acme Security Suite Tier 1,software_subscription,107.5,per_seat_month,seat
SW-SEC-120,Acme Security Suite Tier 2,software_subscription,155.0,per_seat_month,seat
SW-SEC-130,Acme Security Suite Tier 3,software_subscription,202.5,per_seat_month,seat
SW-SEC-140,Acme Security Suite Tier 4,software_subscription,250.0,per_seat_month,seat
SW-OBS-110,Acme Observability Cloud Tier 1,software_subscription,48.75,per_host_month,host
SW-OBS-120,Acme Observability Cloud Tier 2,software_subscription,72.5,per_host_month,host
SW-OBS-130,Acme Observability Cloud Tier 3,software_subscription,96.25,per_host_month,host
SW-OBS-140,Acme Observability Cloud Tier 4,software_subscription,120.0,per_host_month,host
SW-SDC-110,Acme SD-WAN Cloud Controller Tier 1,software_subscription,350.0,per_site_month,site
SW-SDC-120,Acme SD-WAN Cloud Controller Tier 2,software_subscription,500.0,per_site_month,site
SW-SDC-130,Acme SD-WAN Cloud Controller Tier 3,software_subscription,650.0,per_site_month,site
SW-SDC-140,Acme SD-WAN Cloud Controller Tier 4,software_subscription,800.0,per_site_month,site
SW-ZTN-110,Acme Zero-Trust Network Tier 1,software_subscription,61.25,per_user_month,user
SW-ZTN-120,Acme Zero-Trust Network Tier 2,software_subscription,87.5,per_user_month,user
SW-ZTN-130,Acme Zero-Trust Network Tier 3,software_subscription,113.75,per_user_month,user
SW-ZTN-140,Acme Zero-Trust Network Tier 4,software_subscription,140.0,per_user_month,user
SUP-BRO-EDGE,Acme Bronze Support — Edge Class,support,4500.0,annual,contract_year
SUP-BRO-CORE,Acme Bronze Support — Core Class,support,9000.0,annual,contract_year
SUP-BRO-DC,Acme Bronze Support — DC Class,support,15750.0,annual,contract_year
SUP-SIL-EDGE,Acme Silver Support — Edge Class,support,6750.0,annual,contract_year
SUP-SIL-CORE,Acme Silver Support — Core Class,support,13500.0,annual,contract_year
SUP-SIL-DC,Acme Silver Support — DC Class,support,23625.0,annual,contract_year
SUP-GOL-EDGE,Acme Gold Support — Edge Class,support,10000.0,annual,contract_year
SUP-GOL-CORE,Acme Gold Support — Core Class,support,20000.0,annual,contract_year
SUP-GOL-DC,Acme Gold Support — DC Class,support,35000.0,annual,contract_year
SUP-PLA-EDGE,Acme Platinum Support — Edge Class,support,13750.0,annual,contract_year
SUP-PLA-CORE,Acme Platinum Support — Core Class,support,27500.0,annual,contract_year
SUP-PLA-DC,Acme Platinum Support — DC Class,support,48125.0,annual,contract_year
PS-IS,Acme Implementation — Standard,services,45000.0,one_time,engagement
PS-IE,Acme Implementation — Enterprise,services,180000.0,one_time,engagement
PS-NDW,Acme Network Design Workshop,services,22000.0,one_time,engagement
PS-MS,Acme Migration Services,services,95000.0,one_time,engagement
PS-CID,Acme Custom Integration Dev,services,140000.0,one_time,engagement
PS-OT,Acme Onsite Training (5-day),services,38000.0,one_time,engagement
PS-HCA,Acme Health Check Assessment,services,18000.0,one_time,engagement
PS-EE,Acme 24/7 Embedded Engineer (annual),services,320000.0,one_time,engagement
