renewal_id,contract_id,account_id,original_end_date,renewal_notice_required_days,notice_sent_date,outcome,new_term_start,new_term_end
REN-600091,CON-070165,ACC-10043,2025-12-15,30,2025-10-21,auto_renewed,2025-12-16,2027-12-15
REN-600092,CON-070171,ACC-10044,2025-10-28,90,2025-07-23,pending,,
REN-600093,CON-070172,ACC-10044,2026-06-13,60,2026-04-08,pending,,
REN-600094,CON-070174,ACC-10045,2026-03-08,90,2025-11-13,expired_no_action,,
REN-600095,CON-070176,ACC-10045,2025-12-11,90,2025-09-04,auto_renewed,2025-12-12,2028-12-10
REN-600096,CON-070178,ACC-10046,2026-01-06,30,2025-11-20,pending,,
REN-600097,CON-070179,ACC-10046,2026-10-06,90,2026-07-02,pending,,
REN-600098,CON-070180,ACC-10047,2025-11-28,90,2025-08-24,renewed_negotiated,2025-11-29,2026-11-28
REN-600099,CON-070181,ACC-10047,2026-06-07,30,2026-04-23,pending,,
REN-600100,CON-070182,ACC-10047,2024-08-04,90,2024-04-15,auto_renewed,2024-08-05,2026-08-04
REN-600101,CON-070184,ACC-10048,2026-04-12,60,2026-01-31,expired_no_action,,
REN-600102,CON-070185,ACC-10048,2025-05-16,120,2025-01-05,cancelled_by_customer,,
REN-600103,CON-070186,ACC-10048,2025-12-26,90,2025-09-05,auto_renewed,2025-12-27,2027-12-26
REN-600104,CON-070187,ACC-10049,2025-08-21,120,2025-04-09,auto_renewed,2025-08-22,2026-08-21
REN-600105,CON-070190,ACC-10049,2026-12-11,60,2026-09-22,pending,,
REN-600106,CON-070192,ACC-10050,2025-03-07,60,2024-12-17,cancelled_by_customer,,
REN-600107,CON-070194,ACC-10050,2025-11-24,90,2025-07-30,auto_renewed,2025-11-25,2028-11-23
REN-600108,CON-070195,ACC-10051,2026-06-06,120,2026-01-11,pending,,
REN-600109,CON-070197,ACC-10052,2025-08-14,90,2025-04-19,auto_renewed,2025-08-15,2028-08-13
REN-600110,CON-070198,ACC-10053,2025-08-19,90,2025-05-14,cancelled_by_customer,,
REN-600111,CON-070203,ACC-10054,2026-06-13,90,2026-02-28,pending,,
REN-600112,CON-070208,ACC-10057,2026-05-17,90,2026-01-30,pending,,
REN-600113,CON-070209,ACC-10058,2027-03-06,30,2027-01-25,pending,,
REN-600114,CON-070211,ACC-10059,2024-09-21,90,2024-06-21,auto_renewed,2024-09-22,2025-09-21
REN-600115,CON-070212,ACC-10059,2025-03-08,90,2024-12-01,auto_renewed,2025-03-09,2028-03-07
REN-600116,CON-070213,ACC-10060,2024-12-22,30,2024-11-03,auto_renewed,2024-12-23,2026-12-22
REN-600117,CON-070215,ACC-10060,2026-01-05,60,2025-10-31,renewed_negotiated,2026-01-06,2029-01-04
REN-600118,CON-070217,ACC-10061,2026-03-21,60,2025-12-23,auto_renewed,2026-03-22,2029-03-20
REN-600119,CON-070219,ACC-10062,2024-08-25,90,2024-05-25,renewed_negotiated,2024-08-26,2025-08-25
REN-600120,CON-070221,ACC-10062,2026-12-28,60,2026-10-26,pending,,
REN-600121,CON-070223,ACC-10064,2026-09-15,120,2026-04-21,pending,,
REN-600122,CON-070224,ACC-10064,2024-10-04,120,2024-05-08,auto_renewed,2024-10-05,2025-10-04
REN-600123,CON-070226,ACC-10065,2026-07-19,90,2026-04-08,pending,,
REN-600124,CON-070228,ACC-10066,2026-04-20,60,2026-02-09,auto_renewed,2026-04-21,2028-04-19
REN-600125,CON-070229,ACC-10067,2026-08-17,30,2026-07-12,pending,,
REN-600126,CON-070230,ACC-10067,2024-05-25,90,2024-02-22,cancelled_by_customer,,
REN-600127,CON-070234,ACC-10069,2026-03-01,60,2025-12-27,cancelled_by_customer,,
REN-600128,CON-070235,ACC-10069,2024-05-20,120,2023-12-25,auto_renewed,2024-05-21,2026-05-20
REN-600129,CON-070237,ACC-10071,2027-03-11,90,2026-11-12,pending,,
REN-600130,CON-070239,ACC-10071,2025-02-06,90,2024-10-26,cancelled_by_customer,,
REN-600131,CON-070240,ACC-10072,2025-12-18,90,2025-09-11,auto_renewed,2025-12-19,2027-12-18
REN-600132,CON-070241,ACC-10072,2027-02-02,60,2026-11-23,pending,,
REN-600133,CON-070243,ACC-10074,2026-02-07,30,2025-12-09,auto_renewed,2026-02-08,2027-02-07
REN-600134,CON-070244,ACC-10075,2025-06-12,90,2025-03-02,cancelled_by_customer,,
REN-600135,CON-070245,ACC-10075,2025-05-05,60,2025-02-12,pending,,
REN-600136,CON-070247,ACC-10076,2026-04-05,90,2025-12-13,expired_no_action,,
REN-600137,CON-070248,ACC-10076,2026-05-17,90,2026-01-28,pending,,
REN-600138,CON-070249,ACC-10077,2025-04-03,90,2024-12-22,pending,,
REN-600139,CON-070251,ACC-10077,2024-08-07,90,2024-08-02,auto_renewed,2024-08-08,2025-08-07
REN-600140,CON-070252,ACC-10078,2026-03-15,60,2025-12-16,pending,,
REN-600141,CON-070254,ACC-10079,2027-03-14,30,2027-02-01,pending,,
REN-600142,CON-070255,ACC-10079,2026-06-24,60,2026-03-30,pending,,
REN-600143,CON-070257,ACC-10080,2025-03-15,90,2025-03-03,auto_renewed,2025-03-16,2028-03-14
REN-600144,CON-070261,ACC-10082,2025-01-28,90,2024-10-29,pending,,
REN-600145,CON-070263,ACC-10084,2027-01-06,60,2026-10-27,pending,,
REN-600146,CON-070265,ACC-10085,2026-01-02,90,2025-09-19,auto_renewed,2026-01-03,2029-01-01
REN-600147,CON-070266,ACC-10086,2025-03-26,90,2024-12-23,renewed_negotiated,2025-03-27,2026-03-26
REN-600148,CON-070269,ACC-10087,2025-05-21,90,2025-01-25,renewed_negotiated,2025-05-22,2027-05-21
REN-600149,CON-070271,ACC-10087,2026-02-13,60,2025-11-18,cancelled_by_customer,,
REN-600150,CON-070274,ACC-10089,2026-01-26,90,2025-10-13,renewed_negotiated,2026-01-27,2028-01-26
REN-600151,CON-070275,ACC-10090,2024-12-11,90,2024-12-08,auto_renewed,2024-12-12,2025-12-11
REN-600152,CON-070276,ACC-10090,2026-07-28,60,2026-05-18,pending,,
REN-600153,CON-070277,ACC-10090,2025-05-04,90,2025-05-02,auto_renewed,2025-05-05,2026-05-04
REN-600154,CON-070280,ACC-10091,2026-10-07,90,2026-06-19,pending,,
REN-600155,CON-070282,ACC-10092,2025-10-17,90,2025-07-17,cancelled_by_customer,,
REN-600156,CON-070283,ACC-10092,2025-12-08,30,2025-10-19,auto_renewed,2025-12-09,2028-12-07
REN-600157,CON-070286,ACC-10094,2026-05-28,60,2026-03-12,pending,,
REN-600158,CON-070291,ACC-10096,2025-05-28,30,2025-04-21,renewed_negotiated,2025-05-29,2027-05-28
REN-600159,CON-070292,ACC-10096,2025-06-26,30,2025-04-28,renewed_negotiated,2025-06-27,2026-06-26
REN-600160,CON-070293,ACC-10097,2026-06-23,90,2026-03-18,pending,,
REN-600161,CON-070297,ACC-10099,2025-11-15,30,2025-09-21,pending,,
REN-600162,CON-070300,ACC-10100,2027-04-23,90,2026-12-26,pending,,
REN-600163,CON-070301,ACC-10100,2027-01-07,60,2026-11-01,pending,,
REN-600164,CON-070302,ACC-10101,2025-03-21,30,2025-02-12,cancelled_by_customer,,
REN-600165,CON-070305,ACC-10103,2025-08-04,30,2025-06-24,renewed_negotiated,2025-08-05,2028-08-03
REN-600166,CON-070306,ACC-10103,2027-02-28,120,2026-10-19,pending,,
REN-600167,CON-070307,ACC-10104,2025-09-16,120,2025-05-14,auto_renewed,2025-09-17,2028-09-15
REN-600168,CON-070312,ACC-10106,2026-09-25,90,2026-06-03,pending,,
REN-600169,CON-070313,ACC-10106,2027-04-24,90,2027-01-04,pending,,
REN-600170,CON-070314,ACC-10107,2026-10-03,60,2026-07-15,pending,,
REN-600171,CON-070315,ACC-10108,2024-08-25,30,2024-07-01,renewed_negotiated,2024-08-26,2025-08-25
REN-600172,CON-070316,ACC-10108,2025-01-17,60,2024-11-07,cancelled_by_customer,,
REN-600173,CON-070317,ACC-10108,2025-04-04,90,2024-12-25,pending,,
REN-600174,CON-070319,ACC-10109,2025-05-28,30,2025-04-28,pending,,
REN-600175,CON-070320,ACC-10109,2027-03-09,90,2026-12-06,pending,,
REN-600176,CON-070322,ACC-10110,2025-05-23,90,2025-02-16,expired_no_action,,
REN-600177,CON-070323,ACC-10110,2025-04-18,60,2025-02-07,renewed_negotiated,2025-04-19,2028-04-17
REN-600178,CON-070329,ACC-10114,2025-04-11,90,2024-12-18,auto_renewed,2025-04-12,2026-04-11
REN-600179,CON-070331,ACC-10115,2027-05-14,90,2027-01-27,pending,,
REN-600180,CON-070335,ACC-10117,2025-12-08,30,2025-10-30,expired_no_action,,
REN-600181,CON-070339,ACC-10119,2026-12-10,60,2026-10-08,pending,,
REN-600182,CON-070340,ACC-10120,2025-05-09,60,2025-02-14,cancelled_by_customer,,
REN-600183,CON-070341,ACC-10121,2025-04-05,90,2024-12-12,cancelled_by_customer,,
REN-600184,CON-070342,ACC-10121,2025-10-19,90,2025-07-20,renewed_negotiated,2025-10-20,2026-10-19
REN-600185,CON-070343,ACC-10121,2025-09-20,60,2025-06-30,renewed_negotiated,2025-09-21,2028-09-19
REN-600186,CON-070344,ACC-10122,2025-10-04,90,2025-06-13,cancelled_by_customer,,
REN-600187,CON-070345,ACC-10122,2025-05-05,30,2025-05-04,auto_renewed,2025-05-06,2028-05-04
REN-600188,CON-070349,ACC-10124,2025-08-17,90,2025-08-07,auto_renewed,2025-08-18,2027-08-17
REN-600189,CON-070350,ACC-10124,2025-08-08,90,2025-05-02,renewed_negotiated,2025-08-09,2027-08-08
REN-600190,CON-070355,ACC-10127,2026-11-13,30,2026-10-12,pending,,
REN-600191,CON-070356,ACC-10127,2024-12-04,30,2024-11-02,cancelled_by_customer,,
REN-600192,CON-070357,ACC-10128,2025-05-28,90,2025-05-24,auto_renewed,2025-05-29,2028-05-27
REN-600193,CON-070360,ACC-10129,2026-07-14,30,2026-06-07,pending,,
REN-600194,CON-070362,ACC-10130,2027-05-14,60,2027-03-01,pending,,
REN-600195,CON-070366,ACC-10132,2027-03-01,60,2026-12-25,pending,,
REN-600196,CON-070368,ACC-10133,2027-05-11,90,2027-01-15,pending,,
REN-600197,CON-070370,ACC-10134,2025-05-05,30,2025-03-15,pending,,
REN-600198,CON-070372,ACC-10134,2026-04-14,90,2026-01-10,pending,,
REN-600199,CON-070374,ACC-10136,2026-06-01,60,2026-04-02,pending,,
REN-600200,CON-070376,ACC-10137,2025-05-01,120,2024-12-03,renewed_negotiated,2025-05-02,2026-05-01
REN-600201,CON-070378,ACC-10137,2027-03-05,60,2026-12-14,pending,,
REN-600202,CON-070379,ACC-10138,2024-12-06,120,2024-07-19,pending,,
REN-600203,CON-070382,ACC-10140,2025-03-21,30,2025-01-30,pending,,
REN-600204,CON-070383,ACC-10140,2025-09-26,30,2025-08-23,renewed_negotiated,2025-09-27,2027-09-26
REN-600205,CON-070384,ACC-10141,2025-11-01,60,2025-08-29,auto_renewed,2025-11-02,2027-11-01
REN-600206,CON-070386,ACC-10142,2024-09-07,90,2024-06-08,pending,,
REN-600207,CON-070387,ACC-10143,2024-09-23,90,2024-06-23,pending,,
REN-600208,CON-070388,ACC-10143,2025-08-21,60,2025-05-23,pending,,
REN-600209,CON-070391,ACC-10144,2026-11-28,60,2026-09-15,pending,,
REN-600210,CON-070393,ACC-10145,2027-01-28,90,2026-10-23,pending,,
REN-600211,CON-070395,ACC-10147,2026-05-25,90,2026-01-25,pending,,
REN-600212,CON-070396,ACC-10148,2025-09-10,60,2025-06-16,renewed_negotiated,2025-09-11,2028-09-09
REN-600213,CON-070397,ACC-10148,2025-08-15,60,2025-05-30,auto_renewed,2025-08-16,2028-08-14
REN-600214,CON-070399,ACC-10149,2026-09-28,60,2026-07-25,pending,,
REN-600215,CON-070400,ACC-10149,2026-11-20,120,2026-06-26,pending,,
REN-600216,CON-070401,ACC-10149,2025-06-10,30,2025-05-07,cancelled_by_customer,,
REN-600217,CON-070403,ACC-10151,2026-03-16,60,2025-12-26,auto_renewed,2026-03-17,2027-03-16
REN-600218,CON-070404,ACC-10151,2025-07-09,30,2025-05-27,auto_renewed,2025-07-10,2026-07-09
REN-600219,CON-070408,ACC-10153,2024-07-03,90,2024-03-11,pending,,
REN-600220,CON-070410,ACC-10154,2026-05-12,90,2026-02-10,cancelled_by_customer,,
REN-600221,CON-070411,ACC-10154,2025-02-04,90,2024-10-07,pending,,
REN-600222,CON-070412,ACC-10155,2027-05-09,120,2026-12-15,pending,,
REN-600223,CON-070413,ACC-10156,2026-01-26,30,2026-01-22,auto_renewed,2026-01-27,2028-01-26
REN-600224,CON-070416,ACC-10158,2025-10-03,120,2025-05-19,auto_renewed,2025-10-04,2028-10-02
REN-600225,CON-070418,ACC-10160,2025-07-08,90,2025-03-28,renewed_negotiated,2025-07-09,2028-07-07
REN-600226,CON-070419,ACC-10160,2026-01-28,60,2025-11-09,pending,,
REN-600227,CON-070420,ACC-10160,2025-12-26,90,2025-08-31,auto_renewed,2025-12-27,2028-12-25
REN-600228,CON-070421,ACC-10161,2024-12-03,90,2024-11-29,auto_renewed,2024-12-04,2025-12-03
REN-600229,CON-070422,ACC-10161,2025-01-08,30,2024-11-17,renewed_negotiated,2025-01-09,2027-01-08
REN-600230,CON-070425,ACC-10163,2025-12-07,90,2025-08-16,auto_renewed,2025-12-08,2027-12-07
REN-600231,CON-070430,ACC-10166,2025-01-25,60,2024-11-06,auto_renewed,2025-01-26,2027-01-25
REN-600232,CON-070432,ACC-10167,2025-01-09,60,2024-10-28,auto_renewed,2025-01-10,2027-01-09
REN-600233,CON-070433,ACC-10167,2025-08-24,60,2025-06-12,renewed_negotiated,2025-08-25,2028-08-23
REN-600234,CON-070438,ACC-10169,2027-03-10,90,2026-12-03,pending,,
REN-600235,CON-070440,ACC-10170,2025-09-03,60,2025-07-05,auto_renewed,2025-09-04,2028-09-02
REN-600236,CON-070442,ACC-10170,2025-11-19,90,2025-07-28,pending,,
REN-600237,CON-070444,ACC-10171,2025-03-11,120,2024-10-27,auto_renewed,2025-03-12,2028-03-10
REN-600238,CON-070445,ACC-10171,2025-12-21,30,2025-11-21,cancelled_by_customer,,
REN-600239,CON-070448,ACC-10173,2025-05-24,60,2025-03-06,auto_renewed,2025-05-25,2026-05-24
REN-600240,CON-070450,ACC-10174,2025-12-21,90,2025-09-03,cancelled_by_customer,,
REN-600241,CON-070451,ACC-10175,2027-01-02,60,2026-10-21,pending,,
REN-600242,CON-070452,ACC-10175,2026-03-14,90,2025-11-19,renewed_negotiated,2026-03-15,2027-03-14
REN-600243,CON-070454,ACC-10176,2026-09-14,120,2026-05-08,pending,,
REN-600244,CON-070455,ACC-10176,2024-05-25,90,2024-02-08,auto_renewed,2024-05-26,2025-05-25
REN-600245,CON-070456,ACC-10176,2027-02-17,90,2026-10-20,pending,,
REN-600246,CON-070457,ACC-10177,2025-09-24,90,2025-06-09,auto_renewed,2025-09-25,2028-09-23
REN-600247,CON-070458,ACC-10177,2025-09-24,60,2025-07-13,renewed_negotiated,2025-09-25,2028-09-23
REN-600248,CON-070459,ACC-10178,2024-09-24,90,2024-06-01,pending,,
REN-600249,CON-070461,ACC-10179,2026-11-15,90,2026-08-10,pending,,
REN-600250,CON-070462,ACC-10180,2026-11-08,90,2026-07-12,pending,,
REN-600251,CON-070465,ACC-10181,2026-09-14,90,2026-05-28,pending,,
REN-600252,CON-070466,ACC-10181,2025-05-07,90,2025-01-14,expired_no_action,,
REN-600253,CON-070467,ACC-10182,2025-11-20,120,2025-07-04,cancelled_by_customer,,
REN-600254,CON-070468,ACC-10182,2026-11-14,90,2026-07-31,pending,,
REN-600255,CON-070469,ACC-10182,2025-12-28,60,2025-10-02,renewed_negotiated,2025-12-29,2027-12-28
REN-600256,CON-070470,ACC-10182,2026-06-28,60,2026-04-15,pending,,
REN-600257,CON-070471,ACC-10183,2025-12-01,90,2025-08-23,renewed_negotiated,2025-12-02,2027-12-01
REN-600258,CON-070473,ACC-10184,2026-03-19,90,2025-11-19,renewed_negotiated,2026-03-20,2027-03-19
REN-600259,CON-070477,ACC-10185,2027-04-08,60,2027-01-25,pending,,
REN-600260,CON-070478,ACC-10185,2026-06-09,60,2026-03-24,pending,,
REN-600261,CON-070479,ACC-10186,2026-04-20,90,2025-12-21,renewed_negotiated,2026-04-21,2027-04-20
REN-600262,CON-070480,ACC-10187,2026-06-27,30,2026-05-25,pending,,
REN-600263,CON-070481,ACC-10188,2026-05-13,30,2026-03-26,auto_renewed,2026-05-14,2029-05-12
REN-600264,CON-070482,ACC-10188,2026-10-28,60,2026-08-24,pending,,
REN-600265,CON-070485,ACC-10190,2025-01-28,60,2024-11-10,auto_renewed,2025-01-29,2028-01-28
REN-600266,CON-070487,ACC-10190,2027-04-07,30,2027-02-18,pending,,
REN-600267,CON-070488,ACC-10191,2026-08-18,60,2026-05-26,pending,,
REN-600268,CON-070490,ACC-10192,2026-09-12,90,2026-06-04,pending,,
REN-600269,CON-070491,ACC-10192,2024-07-04,60,2024-04-17,renewed_negotiated,2024-07-05,2026-07-04
REN-600270,CON-070493,ACC-10193,2025-02-04,60,2024-11-11,cancelled_by_customer,,
REN-600271,CON-070494,ACC-10193,2026-09-07,60,2026-06-09,pending,,
REN-600272,CON-070498,ACC-10196,2024-07-24,90,2024-04-23,auto_renewed,2024-07-25,2026-07-24
REN-600273,CON-070501,ACC-10198,2025-03-06,90,2024-12-04,cancelled_by_customer,,
REN-600274,CON-070502,ACC-10198,2026-11-05,30,2026-10-06,pending,,
REN-600275,CON-070503,ACC-10198,2025-01-17,30,2024-12-14,renewed_negotiated,2025-01-18,2028-01-17
REN-600276,CON-070504,ACC-10199,2025-07-15,30,2025-05-27,pending,,
REN-600277,CON-070505,ACC-10200,2025-03-15,90,2024-11-16,auto_renewed,2025-03-16,2026-03-15
REN-600278,CON-070506,ACC-10200,2025-12-26,30,2025-11-10,cancelled_by_customer,,
REN-600279,CON-070507,ACC-10201,2024-11-12,90,2024-08-05,renewed_negotiated,2024-11-13,2025-11-12
REN-600280,CON-070510,ACC-10203,2025-06-17,30,2025-04-30,cancelled_by_customer,,
REN-600281,CON-070512,ACC-10204,2027-03-13,90,2026-11-23,pending,,
REN-600282,CON-070514,ACC-10205,2024-11-06,90,2024-08-02,renewed_negotiated,2024-11-07,2026-11-06
REN-600283,CON-070515,ACC-10205,2026-12-27,90,2026-09-12,pending,,
REN-600284,CON-070516,ACC-10206,2025-02-19,90,2024-10-25,renewed_negotiated,2025-02-20,2027-02-19
REN-600285,CON-070518,ACC-10207,2026-10-24,120,2026-06-20,pending,,
REN-600286,CON-070519,ACC-10207,2026-10-11,60,2026-08-02,pending,,
REN-600287,CON-070520,ACC-10208,2026-03-05,90,2025-12-05,auto_renewed,2026-03-06,2029-03-04
REN-600288,CON-070521,ACC-10208,2026-02-04,90,2025-10-11,expired_no_action,,
REN-600289,CON-070524,ACC-10210,2025-11-21,30,2025-10-04,renewed_negotiated,2025-11-22,2028-11-20
REN-600290,CON-070525,ACC-10211,2026-06-13,90,2026-03-08,pending,,
REN-600291,CON-070526,ACC-10211,2025-05-12,30,2025-04-08,pending,,
