entitlement_id,account_id,contract_id,line_item_id,sku,quantity_licensed,start_date,end_date
ENT-0800027,ACC-10002,CON-070005,LI-0500051,SUP-SIL-DC,14,2022-12-30,2024-12-28
ENT-0800028,ACC-10002,CON-070006,LI-0500052,SUP-BRO-EDGE,4,2025-02-23,2030-02-23
ENT-0800029,ACC-10002,CON-070006,LI-0500057,SW-ZTN-120,1892,2025-02-23,2030-02-23
ENT-0800030,ACC-10002,CON-070006,LI-0500058,SW-ZTN-110,1008,2025-02-23,2030-02-23
ENT-0800031,ACC-10002,CON-070006,LI-0500060,SUP-SIL-CORE,9,2025-02-23,2030-02-23
ENT-0800032,ACC-10002,CON-070006,LI-0500061,SUP-BRO-CORE,4,2025-02-23,2030-02-23
ENT-0800033,ACC-10002,CON-070006,LI-0500062,SUP-GOL-DC,22,2025-09-05,2030-02-23
ENT-0800034,ACC-10002,CON-070006,LI-0500065,SW-NOC-140,580,2025-02-23,2030-02-23
ENT-0800035,ACC-10002,CON-070007,LI-0500067,SW-OBS-130,155,2022-05-28,2025-05-28
ENT-0800036,ACC-10002,CON-070007,LI-0500068,SW-NOC-120,511,2022-05-28,2025-05-28
ENT-0800037,ACC-10002,CON-070007,LI-0500069,SUP-GOL-DC,4,2022-05-28,2025-05-28
ENT-0800038,ACC-10002,CON-070007,LI-0500070,SW-SEC-140,714,2022-05-28,2025-05-28
ENT-0800039,ACC-10002,CON-070007,LI-0500074,SW-ZTN-140,219,2022-05-28,2025-05-28
ENT-0800040,ACC-10002,CON-070007,LI-0500078,SUP-SIL-CORE,24,2022-05-28,2025-05-28
ENT-0800041,ACC-10002,CON-070008,LI-0500080,SUP-BRO-DC,17,2024-12-28,2027-12-28
ENT-0800042,ACC-10002,CON-070008,LI-0500081,SUP-GOL-DC,12,2024-12-28,2027-12-28
ENT-0800043,ACC-10002,CON-070008,LI-0500084,SW-NOC-110,1460,2024-12-28,2027-12-28
ENT-0800044,ACC-10002,CON-070008,LI-0500085,SW-SEC-110,373,2026-10-05,2027-12-28
ENT-0800045,ACC-10003,CON-070009,LI-0500088,SUP-BRO-DC,7,2023-12-06,2028-12-06
ENT-0800046,ACC-10003,CON-070009,LI-0500089,SW-ZTN-140,739,2023-12-06,2028-12-06
ENT-0800047,ACC-10003,CON-070009,LI-0500091,SW-ZTN-130,208,2023-12-06,2028-12-06
ENT-0800048,ACC-10003,CON-070009,LI-0500092,SUP-GOL-DC,20,2023-12-06,2028-12-06
ENT-0800049,ACC-10003,CON-070009,LI-0500093,SW-NOC-130,841,2023-12-06,2028-12-06
ENT-0800050,ACC-10003,CON-070010,LI-0500094,SW-OBS-130,1018,2025-04-04,2027-04-04
ENT-0800051,ACC-10003,CON-070010,LI-0500095,SW-SEC-140,331,2025-04-04,2027-04-04
ENT-0800052,ACC-10003,CON-070010,LI-0500097,SUP-GOL-CORE,15,2025-04-04,2027-04-04
ENT-0800053,ACC-10003,CON-070010,LI-0500100,SUP-SIL-DC,18,2025-04-04,2027-04-04
ENT-0800054,ACC-10003,CON-070010,LI-0500101,SW-OBS-130,723,2025-04-04,2027-04-04
ENT-0800055,ACC-10003,CON-070010,LI-0500102,SW-SDC-120,804,2025-04-04,2027-04-04
ENT-0800056,ACC-10003,CON-070010,LI-0500103,SW-SEC-110,1880,2025-04-04,2027-04-04
ENT-0800057,ACC-10003,CON-070010,LI-0500104,SUP-GOL-CORE,20,2025-04-04,2027-04-04
ENT-0800058,ACC-10003,CON-070011,LI-0500106,SW-SEC-110,1504,2022-08-11,2025-08-11
ENT-0800059,ACC-10003,CON-070011,LI-0500107,SUP-PLA-DC,5,2022-08-11,2025-08-11
ENT-0800060,ACC-10003,CON-070011,LI-0500108,SUP-BRO-EDGE,23,2022-08-11,2025-08-11
ENT-0800061,ACC-10003,CON-070011,LI-0500109,SW-ZTN-130,1611,2022-08-11,2025-08-11
ENT-0800062,ACC-10003,CON-070011,LI-0500110,SW-ZTN-130,632,2022-08-11,2025-08-11
ENT-0800063,ACC-10003,CON-070012,LI-0500111,SUP-PLA-CORE,7,2025-01-10,2026-01-10
ENT-0800064,ACC-10003,CON-070012,LI-0500112,SW-SEC-140,1640,2025-01-10,2026-01-10
ENT-0800065,ACC-10003,CON-070012,LI-0500113,SUP-SIL-CORE,7,2025-01-10,2026-01-10
ENT-0800066,ACC-10003,CON-070012,LI-0500114,SUP-GOL-DC,5,2025-01-10,2026-01-10
ENT-0800067,ACC-10003,CON-070012,LI-0500116,SUP-PLA-EDGE,7,2025-01-10,2026-01-10
ENT-0800068,ACC-10003,CON-070012,LI-0500118,SUP-PLA-EDGE,26,2025-01-10,2026-01-10
ENT-0800069,ACC-10003,CON-070012,LI-0500119,SW-SEC-110,2032,2025-01-10,2026-01-10
ENT-0800070,ACC-10003,CON-070012,LI-0500121,SW-SDC-140,684,2025-01-10,2026-01-10
ENT-0800071,ACC-10003,CON-070013,LI-0500124,SUP-BRO-CORE,23,2025-10-01,2027-10-01
ENT-0800072,ACC-10003,CON-070013,LI-0500127,SW-ZTN-130,530,2025-10-01,2027-10-01
ENT-0800073,ACC-10003,CON-070013,LI-0500128,SW-SDC-110,1042,2025-10-01,2027-10-01
ENT-0800074,ACC-10004,CON-070014,LI-0500130,SUP-PLA-EDGE,2,2023-04-02,2028-04-02
ENT-0800075,ACC-10004,CON-070014,LI-0500131,SW-SEC-110,1405,2023-04-02,2028-04-02
ENT-0800076,ACC-10004,CON-070014,LI-0500133,SUP-SIL-EDGE,8,2023-04-02,2028-04-02
ENT-0800077,ACC-10004,CON-070014,LI-0500134,SW-OBS-140,1896,2023-04-02,2028-04-02
ENT-0800078,ACC-10004,CON-070014,LI-0500136,SUP-SIL-DC,5,2023-04-02,2028-04-02
ENT-0800079,ACC-10004,CON-070014,LI-0500137,SUP-GOL-CORE,23,2023-04-02,2028-04-02
ENT-0800080,ACC-10004,CON-070015,LI-0500138,SW-SEC-110,1810,2024-04-21,2026-04-21
ENT-0800081,ACC-10004,CON-070015,LI-0500140,SW-ZTN-130,517,2025-03-11,2026-04-21
ENT-0800082,ACC-10004,CON-070016,LI-0500142,SUP-SIL-EDGE,23,2025-09-17,2028-09-17
ENT-0800083,ACC-10004,CON-070016,LI-0500143,SW-SDC-140,1532,2025-09-17,2028-09-17
ENT-0800084,ACC-10004,CON-070017,LI-0500147,SUP-GOL-EDGE,20,2025-05-06,2028-05-06
ENT-0800085,ACC-10004,CON-070017,LI-0500148,SW-NOC-110,686,2025-05-06,2028-05-06
ENT-0800086,ACC-10004,CON-070017,LI-0500149,SW-ZTN-110,2145,2025-05-06,2028-05-06
ENT-0800087,ACC-10004,CON-070017,LI-0500150,SUP-BRO-DC,29,2025-05-06,2028-05-06
ENT-0800088,ACC-10004,CON-070017,LI-0500151,SUP-GOL-CORE,29,2025-05-06,2028-05-06
ENT-0800089,ACC-10005,CON-070018,LI-0500154,SUP-SIL-DC,2,2024-12-05,2027-12-05
ENT-0800090,ACC-10005,CON-070018,LI-0500155,SUP-GOL-EDGE,9,2024-12-05,2027-12-05
ENT-0800091,ACC-10005,CON-070018,LI-0500156,SUP-GOL-CORE,17,2024-12-05,2027-12-05
ENT-0800092,ACC-10005,CON-070018,LI-0500158,SW-OBS-110,1269,2024-12-05,2027-12-05
ENT-0800093,ACC-10005,CON-070018,LI-0500159,SUP-BRO-CORE,12,2024-12-05,2027-12-05
ENT-0800094,ACC-10005,CON-070018,LI-0500162,SW-NOC-110,1523,2024-12-05,2027-12-05
ENT-0800095,ACC-10005,CON-070018,LI-0500163,SUP-GOL-DC,2,2024-12-05,2027-12-05
ENT-0800096,ACC-10005,CON-070019,LI-0500164,SW-OBS-140,331,2023-10-09,2025-10-09
ENT-0800097,ACC-10005,CON-070019,LI-0500165,SUP-PLA-CORE,24,2023-10-09,2025-10-09
ENT-0800098,ACC-10005,CON-070019,LI-0500170,SW-ZTN-120,1466,2023-10-09,2025-10-09
ENT-0800099,ACC-10005,CON-070019,LI-0500171,SW-OBS-120,1523,2023-10-09,2025-10-09
ENT-0800100,ACC-10005,CON-070019,LI-0500172,SW-SDC-110,1924,2023-10-09,2025-10-09
ENT-0800101,ACC-10005,CON-070020,LI-0500174,SUP-SIL-DC,22,2024-11-07,2025-11-07
ENT-0800102,ACC-10005,CON-070020,LI-0500176,SUP-PLA-CORE,2,2024-11-07,2025-11-07
ENT-0800103,ACC-10005,CON-070020,LI-0500177,SW-SEC-110,1254,2024-11-07,2025-11-07
ENT-0800104,ACC-10005,CON-070020,LI-0500178,SUP-GOL-EDGE,4,2024-11-07,2025-11-07
ENT-0800105,ACC-10005,CON-070020,LI-0500180,SUP-BRO-EDGE,17,2024-11-07,2025-11-07
ENT-0800106,ACC-10005,CON-070020,LI-0500182,SUP-SIL-CORE,24,2025-07-23,2025-11-07
ENT-0800107,ACC-10005,CON-070021,LI-0500184,SUP-SIL-CORE,9,2027-07-12,2028-09-07
ENT-0800108,ACC-10005,CON-070021,LI-0500186,SW-ZTN-140,489,2025-09-07,2028-09-07
ENT-0800109,ACC-10005,CON-070021,LI-0500187,SW-OBS-140,665,2025-09-07,2028-09-07
ENT-0800110,ACC-10005,CON-070021,LI-0500189,SW-SDC-110,954,2025-09-07,2028-09-07
ENT-0800111,ACC-10005,CON-070021,LI-0500191,SUP-GOL-DC,2,2025-09-07,2028-09-07
ENT-0800112,ACC-10005,CON-070021,LI-0500194,SW-OBS-110,633,2025-09-07,2028-09-07
ENT-0800113,ACC-10005,CON-070022,LI-0500196,SW-NOC-140,1476,2024-04-13,2027-04-13
ENT-0800114,ACC-10005,CON-070022,LI-0500197,SUP-SIL-CORE,14,2024-04-13,2027-04-13
ENT-0800115,ACC-10005,CON-070022,LI-0500198,SW-ZTN-110,712,2024-04-13,2027-04-13
ENT-0800116,ACC-10005,CON-070022,LI-0500201,SW-SEC-140,1979,2024-04-13,2027-04-13
ENT-0800117,ACC-10005,CON-070022,LI-0500202,SUP-GOL-CORE,19,2024-04-13,2027-04-13
ENT-0800118,ACC-10005,CON-070022,LI-0500203,SUP-BRO-EDGE,19,2024-04-13,2027-04-13
ENT-0800119,ACC-10005,CON-070022,LI-0500204,SW-NOC-130,1029,2024-04-13,2027-04-13
ENT-0800120,ACC-10005,CON-070022,LI-0500206,SW-SEC-140,860,2024-04-13,2027-04-13
ENT-0800121,ACC-10005,CON-070022,LI-0500207,SUP-SIL-DC,22,2024-04-13,2027-04-13
ENT-0800122,ACC-10006,CON-070023,LI-0500208,SW-ZTN-120,434,2023-12-02,2025-12-02
ENT-0800123,ACC-10006,CON-070023,LI-0500209,SW-OBS-140,520,2023-12-02,2025-12-02
ENT-0800124,ACC-10006,CON-070023,LI-0500210,SW-OBS-110,444,2023-12-02,2025-12-02
ENT-0800125,ACC-10006,CON-070023,LI-0500212,SUP-SIL-EDGE,8,2023-12-02,2025-12-02
ENT-0800126,ACC-10006,CON-070024,LI-0500213,SUP-PLA-EDGE,12,2023-02-20,2025-02-20
ENT-0800127,ACC-10006,CON-070024,LI-0500214,SW-NOC-140,308,2023-02-20,2025-02-20
ENT-0800128,ACC-10006,CON-070024,LI-0500218,SW-ZTN-130,642,2023-02-20,2025-02-20
ENT-0800129,ACC-10006,CON-070025,LI-0500222,SW-SEC-120,1034,2024-05-16,2025-05-16
ENT-0800130,ACC-10006,CON-070025,LI-0500223,SW-ZTN-110,1040,2024-05-16,2025-05-16
ENT-0800131,ACC-10006,CON-070025,LI-0500224,SUP-BRO-EDGE,2,2024-05-16,2025-05-16
ENT-0800132,ACC-10006,CON-070025,LI-0500225,SUP-GOL-EDGE,20,2024-05-16,2025-05-16
ENT-0800133,ACC-10006,CON-070025,LI-0500229,SUP-PLA-EDGE,12,2024-05-16,2025-05-16
ENT-0800134,ACC-10007,CON-070026,LI-0500231,SUP-GOL-CORE,6,2024-03-31,2026-03-28
ENT-0800135,ACC-10007,CON-070026,LI-0500232,SW-ZTN-130,1488,2024-03-31,2026-03-28
ENT-0800136,ACC-10007,CON-070026,LI-0500233,SUP-BRO-CORE,10,2024-03-31,2026-03-28
ENT-0800137,ACC-10007,CON-070026,LI-0500234,SW-ZTN-120,956,2024-03-31,2026-03-28
ENT-0800138,ACC-10007,CON-070026,LI-0500236,SW-SEC-110,1042,2024-03-31,2026-03-28
ENT-0800139,ACC-10007,CON-070027,LI-0500240,SW-NOC-120,501,2025-03-08,2028-03-08
ENT-0800140,ACC-10007,CON-070027,LI-0500241,SW-SDC-140,1369,2025-03-08,2028-03-08
ENT-0800141,ACC-10007,CON-070027,LI-0500242,SUP-PLA-DC,12,2025-03-08,2028-03-08
ENT-0800142,ACC-10007,CON-070028,LI-0500243,SW-NOC-110,913,2023-06-12,2026-06-12
ENT-0800143,ACC-10007,CON-070028,LI-0500245,SW-ZTN-120,415,2023-06-12,2026-06-12
ENT-0800144,ACC-10007,CON-070028,LI-0500246,SW-OBS-120,794,2023-06-12,2026-06-12
ENT-0800145,ACC-10007,CON-070028,LI-0500247,SW-ZTN-110,1072,2023-06-12,2026-06-12
ENT-0800146,ACC-10007,CON-070028,LI-0500248,SW-SDC-130,214,2023-06-12,2026-06-12
ENT-0800147,ACC-10007,CON-070028,LI-0500251,SUP-SIL-DC,14,2023-06-12,2026-06-12
ENT-0800148,ACC-10007,CON-070029,LI-0500253,SUP-SIL-DC,10,2022-05-27,2025-05-27
ENT-0800149,ACC-10007,CON-070029,LI-0500255,SUP-GOL-CORE,12,2022-05-27,2025-05-27
ENT-0800150,ACC-10008,CON-070030,LI-0500259,SUP-BRO-CORE,20,2025-09-17,2026-09-17
ENT-0800151,ACC-10008,CON-070030,LI-0500262,SW-SEC-110,287,2025-09-17,2026-09-17
ENT-0800152,ACC-10008,CON-070030,LI-0500264,SUP-PLA-DC,12,2025-09-17,2026-09-17
ENT-0800153,ACC-10008,CON-070031,LI-0500266,SUP-SIL-DC,20,2022-12-16,2025-12-16
ENT-0800154,ACC-10008,CON-070031,LI-0500267,SUP-GOL-DC,12,2022-12-16,2025-12-16
ENT-0800155,ACC-10008,CON-070032,LI-0500269,SUP-PLA-CORE,25,2025-05-08,2028-05-08
ENT-0800156,ACC-10008,CON-070032,LI-0500270,SUP-PLA-CORE,23,2025-05-08,2028-05-08
ENT-0800157,ACC-10008,CON-070032,LI-0500271,SW-OBS-140,1342,2025-05-08,2028-05-08
ENT-0800158,ACC-10008,CON-070032,LI-0500272,SW-NOC-130,1236,2025-05-08,2028-05-08
ENT-0800159,ACC-10008,CON-070032,LI-0500273,SW-SDC-120,754,2025-05-08,2028-05-08
ENT-0800160,ACC-10008,CON-070032,LI-0500274,SW-NOC-110,64,2025-05-08,2028-05-08
ENT-0800161,ACC-10008,CON-070032,LI-0500275,SUP-BRO-DC,15,2025-05-08,2028-05-08
ENT-0800162,ACC-10008,CON-070032,LI-0500276,SW-ZTN-120,85,2025-05-08,2028-05-08
ENT-0800163,ACC-10008,CON-070032,LI-0500277,SW-SDC-140,2068,2025-05-08,2028-05-08
ENT-0800164,ACC-10008,CON-070032,LI-0500279,SW-ZTN-140,676,2025-05-08,2028-05-08
ENT-0800165,ACC-10009,CON-070033,LI-0500280,SW-SDC-110,1163,2024-06-14,2029-06-14
ENT-0800166,ACC-10009,CON-070033,LI-0500281,SW-NOC-130,1290,2024-06-14,2029-06-14
ENT-0800167,ACC-10009,CON-070033,LI-0500282,SW-ZTN-110,1840,2024-06-14,2029-06-14
ENT-0800168,ACC-10009,CON-070033,LI-0500283,SUP-PLA-CORE,14,2024-06-14,2029-06-14
ENT-0800169,ACC-10009,CON-070033,LI-0500284,SW-ZTN-120,846,2024-06-14,2029-06-14
ENT-0800170,ACC-10009,CON-070033,LI-0500285,SW-NOC-130,595,2024-06-14,2029-06-14
ENT-0800171,ACC-10009,CON-070034,LI-0500286,SW-SDC-140,612,2025-06-19,2028-06-19
ENT-0800172,ACC-10009,CON-070034,LI-0500287,SW-SEC-110,211,2025-06-19,2028-06-19
ENT-0800173,ACC-10009,CON-070034,LI-0500288,SUP-BRO-EDGE,8,2025-06-19,2028-06-19
ENT-0800174,ACC-10009,CON-070034,LI-0500289,SUP-SIL-CORE,14,2025-06-19,2028-06-19
ENT-0800175,ACC-10009,CON-070034,LI-0500291,SUP-BRO-DC,2,2025-06-19,2028-06-19
ENT-0800176,ACC-10009,CON-070034,LI-0500292,SW-OBS-130,1284,2025-06-19,2028-06-19
ENT-0800177,ACC-10009,CON-070034,LI-0500293,SW-SDC-140,1143,2025-06-19,2028-06-19
ENT-0800178,ACC-10009,CON-070034,LI-0500294,SW-NOC-120,1024,2025-06-19,2028-06-19
ENT-0800179,ACC-10009,CON-070034,LI-0500296,SW-SDC-110,276,2025-06-19,2028-06-19
ENT-0800180,ACC-10009,CON-070034,LI-0500297,SW-SEC-120,623,2025-06-19,2028-06-19
ENT-0800181,ACC-10009,CON-070034,LI-0500298,SW-OBS-110,1171,2025-06-19,2028-06-19
ENT-0800182,ACC-10009,CON-070035,LI-0500299,SUP-SIL-EDGE,2,2023-05-25,2024-05-25
ENT-0800183,ACC-10009,CON-070035,LI-0500301,SW-SEC-130,1437,2023-05-25,2024-05-25
ENT-0800184,ACC-10009,CON-070035,LI-0500303,SW-NOC-120,2221,2023-05-25,2024-05-25
ENT-0800185,ACC-10009,CON-070035,LI-0500304,SUP-GOL-DC,5,2023-05-25,2024-05-25
ENT-0800186,ACC-10009,CON-070035,LI-0500305,SUP-PLA-CORE,14,2023-05-25,2024-05-25
ENT-0800187,ACC-10009,CON-070035,LI-0500306,SW-NOC-120,1996,2023-05-25,2024-05-25
ENT-0800188,ACC-10009,CON-070035,LI-0500307,SUP-BRO-CORE,11,2023-05-25,2024-05-25
ENT-0800189,ACC-10009,CON-070036,LI-0500312,SW-NOC-130,2052,2022-03-28,2024-03-28
ENT-0800190,ACC-10009,CON-070036,LI-0500313,SUP-PLA-CORE,2,2022-10-31,2024-03-28
ENT-0800191,ACC-10009,CON-070036,LI-0500316,SUP-PLA-CORE,16,2022-03-28,2024-03-28
ENT-0800192,ACC-10009,CON-070036,LI-0500317,SUP-GOL-CORE,11,2023-06-17,2024-03-28
ENT-0800193,ACC-10009,CON-070036,LI-0500318,SW-OBS-140,2162,2022-03-28,2024-03-28
ENT-0800194,ACC-10009,CON-070036,LI-0500319,SW-NOC-120,1470,2022-03-28,2024-03-28
ENT-0800195,ACC-10010,CON-070037,LI-0500321,SUP-PLA-EDGE,20,2023-10-25,2028-10-25
ENT-0800196,ACC-10010,CON-070037,LI-0500322,SW-ZTN-110,423,2023-10-25,2028-10-25
ENT-0800197,ACC-10010,CON-070037,LI-0500323,SW-OBS-110,1340,2023-10-25,2028-10-25
ENT-0800198,ACC-10010,CON-070037,LI-0500324,SUP-BRO-EDGE,20,2023-10-25,2028-10-25
ENT-0800199,ACC-10010,CON-070037,LI-0500325,SW-SEC-120,101,2023-10-25,2028-10-25
ENT-0800200,ACC-10010,CON-070037,LI-0500327,SW-NOC-130,1618,2023-10-25,2028-10-25
ENT-0800201,ACC-10010,CON-070038,LI-0500329,SUP-GOL-EDGE,13,2022-11-12,2025-11-12
ENT-0800202,ACC-10010,CON-070038,LI-0500331,SUP-BRO-DC,6,2022-11-12,2025-11-12
ENT-0800203,ACC-10010,CON-070038,LI-0500332,SW-SEC-130,310,2022-11-12,2025-11-12
ENT-0800204,ACC-10010,CON-070038,LI-0500333,SW-NOC-140,131,2022-11-12,2025-11-12
ENT-0800205,ACC-10010,CON-070038,LI-0500334,SUP-GOL-EDGE,18,2022-11-12,2025-11-12
ENT-0800206,ACC-10010,CON-070038,LI-0500337,SW-SEC-130,1611,2022-11-12,2025-11-12
ENT-0800207,ACC-10010,CON-070039,LI-0500338,SUP-PLA-DC,16,2025-08-01,2026-08-01
ENT-0800208,ACC-10010,CON-070039,LI-0500339,SUP-PLA-DC,2,2025-08-01,2026-08-01
ENT-0800209,ACC-10010,CON-070039,LI-0500344,SW-SEC-130,1303,2025-08-01,2026-08-01
ENT-0800210,ACC-10010,CON-070039,LI-0500348,SW-SDC-120,303,2025-08-01,2026-08-01
ENT-0800211,ACC-10011,CON-070040,LI-0500350,SW-OBS-130,1762,2024-06-26,2027-06-26
ENT-0800212,ACC-10011,CON-070040,LI-0500351,SW-OBS-130,1214,2024-06-26,2027-06-26
ENT-0800213,ACC-10011,CON-070040,LI-0500352,SUP-PLA-CORE,20,2024-06-26,2027-06-26
ENT-0800214,ACC-10011,CON-070040,LI-0500353,SUP-SIL-DC,29,2024-06-26,2027-06-26
ENT-0800215,ACC-10011,CON-070040,LI-0500355,SW-ZTN-120,2359,2024-06-26,2027-06-26
ENT-0800216,ACC-10011,CON-070040,LI-0500356,SW-SDC-130,1447,2024-06-26,2027-06-26
ENT-0800217,ACC-10011,CON-070040,LI-0500357,SW-NOC-110,2302,2025-06-12,2027-06-26
ENT-0800218,ACC-10011,CON-070041,LI-0500360,SW-OBS-110,1771,2023-03-31,2024-03-28
ENT-0800219,ACC-10011,CON-070041,LI-0500361,SW-ZTN-130,1828,2023-03-31,2024-03-28
ENT-0800220,ACC-10011,CON-070041,LI-0500362,SW-NOC-120,1486,2023-03-31,2024-03-28
ENT-0800221,ACC-10011,CON-070041,LI-0500363,SUP-BRO-DC,14,2023-03-31,2024-03-28
ENT-0800222,ACC-10011,CON-070041,LI-0500364,SUP-PLA-EDGE,11,2023-03-31,2024-03-28
ENT-0800223,ACC-10011,CON-070041,LI-0500365,SUP-SIL-CORE,5,2023-03-31,2024-03-28
ENT-0800224,ACC-10011,CON-070042,LI-0500366,SW-SEC-120,1570,2023-10-27,2028-10-27
ENT-0800225,ACC-10011,CON-070042,LI-0500368,SUP-SIL-CORE,2,2023-10-27,2028-10-27
ENT-0800226,ACC-10011,CON-070042,LI-0500369,SUP-PLA-EDGE,20,2023-10-27,2028-10-27
ENT-0800227,ACC-10011,CON-070042,LI-0500370,SUP-BRO-EDGE,17,2023-10-27,2028-10-27
ENT-0800228,ACC-10011,CON-070042,LI-0500372,SUP-BRO-CORE,11,2023-10-27,2028-10-27
ENT-0800229,ACC-10011,CON-070042,LI-0500375,SW-NOC-120,1052,2023-10-27,2028-10-27
ENT-0800230,ACC-10011,CON-070043,LI-0500377,SUP-GOL-CORE,29,2025-10-11,2030-10-11
ENT-0800231,ACC-10011,CON-070043,LI-0500379,SUP-GOL-EDGE,8,2025-10-11,2030-10-11
ENT-0800232,ACC-10011,CON-070043,LI-0500383,SUP-PLA-DC,8,2025-10-11,2030-10-11
ENT-0800233,ACC-10011,CON-070043,LI-0500384,SW-SDC-140,1789,2025-10-11,2030-10-11
ENT-0800234,ACC-10011,CON-070043,LI-0500385,SW-SDC-110,2074,2025-10-11,2030-10-11
ENT-0800235,ACC-10011,CON-070043,LI-0500386,SW-ZTN-120,1963,2025-10-11,2030-10-11
ENT-0800236,ACC-10011,CON-070044,LI-0500388,SW-ZTN-130,347,2022-05-27,2025-05-27
ENT-0800237,ACC-10011,CON-070044,LI-0500390,SW-OBS-140,659,2022-05-27,2025-05-27
ENT-0800238,ACC-10012,CON-070045,LI-0500396,SUP-SIL-CORE,1,2022-06-25,2023-06-25
ENT-0800239,ACC-10012,CON-070046,LI-0500399,SW-ZTN-120,899,2025-01-24,2030-01-24
ENT-0800240,ACC-10012,CON-070046,LI-0500401,SW-NOC-110,710,2025-01-24,2030-01-24
ENT-0800241,ACC-10012,CON-070046,LI-0500402,SUP-PLA-CORE,15,2026-03-08,2030-01-24
ENT-0800242,ACC-10012,CON-070046,LI-0500403,SUP-BRO-EDGE,8,2025-01-24,2030-01-24
ENT-0800243,ACC-10012,CON-070046,LI-0500406,SUP-SIL-CORE,10,2025-01-24,2030-01-24
ENT-0800244,ACC-10012,CON-070047,LI-0500407,SW-ZTN-110,1302,2025-08-22,2026-08-22
ENT-0800245,ACC-10012,CON-070047,LI-0500409,SUP-GOL-DC,3,2025-08-22,2026-08-22
ENT-0800246,ACC-10012,CON-070047,LI-0500410,SW-ZTN-110,854,2025-08-22,2026-08-22
ENT-0800247,ACC-10012,CON-070047,LI-0500412,SUP-SIL-CORE,10,2025-08-22,2026-08-22
ENT-0800248,ACC-10012,CON-070047,LI-0500415,SW-SEC-140,932,2025-08-22,2026-08-22
ENT-0800249,ACC-10012,CON-070048,LI-0500417,SW-SEC-140,312,2022-03-02,2025-03-02
ENT-0800250,ACC-10012,CON-070048,LI-0500418,SW-SDC-110,1208,2022-03-02,2025-03-02
ENT-0800251,ACC-10012,CON-070048,LI-0500419,SUP-PLA-DC,12,2022-03-02,2025-03-02
ENT-0800252,ACC-10012,CON-070048,LI-0500421,SW-ZTN-130,313,2022-03-02,2025-03-02
ENT-0800253,ACC-10012,CON-070048,LI-0500422,SUP-SIL-CORE,17,2022-03-02,2025-03-02
ENT-0800254,ACC-10012,CON-070048,LI-0500424,SUP-BRO-DC,17,2022-03-02,2025-03-02
