payment_id,invoice_id,account_id,paid_date,amount,currency,method,status
PAY-0300029,INV-0200032,ACC-10001,2025-07-06,182721.0,USD,check,succeeded
PAY-0300030,INV-0200033,ACC-10001,2025-09-10,182721.0,USD,wire,succeeded
PAY-0300031,INV-0200034,ACC-10001,2025-10-02,182721.0,USD,check,succeeded
PAY-0300032,INV-0200035,ACC-10001,2025-10-10,182721.0,USD,wire,succeeded
PAY-0300033,INV-0200036,ACC-10001,2025-12-11,182721.0,USD,check,succeeded
PAY-0300034,INV-0200037,ACC-10001,2026-01-02,182721.0,USD,wire,succeeded
PAY-0300035,INV-0200040,ACC-10001,2024-02-13,138072.54,USD,credit_card,succeeded
PAY-0300036,INV-0200041,ACC-10001,2025-01-25,138072.54,USD,wire,succeeded
PAY-0300037,INV-0200042,ACC-10001,2026-02-07,138072.54,USD,wire,succeeded
PAY-0300038,INV-0200043,ACC-10001,2025-10-21,5679881.47,USD,check,succeeded
PAY-0300039,INV-0200044,ACC-10001,2025-11-02,832858.72,USD,wire,succeeded
PAY-0300040,INV-0200047,ACC-10001,2025-02-04,133714.42,USD,check,succeeded
PAY-0300041,INV-0200048,ACC-10001,2025-02-24,133714.42,USD,wire,succeeded
PAY-0300042,INV-0200049,ACC-10001,2025-04-04,133714.42,USD,ach,succeeded
PAY-0300043,INV-0200050,ACC-10001,2025-05-16,133714.42,USD,wire,succeeded
PAY-0300044,INV-0200051,ACC-10001,2025-05-28,133714.42,USD,check,succeeded
PAY-0300045,INV-0200052,ACC-10001,2025-06-16,133714.42,USD,wire,succeeded
PAY-0300046,INV-0200053,ACC-10001,2025-08-14,133714.42,USD,ach,succeeded
PAY-0300047,INV-0200054,ACC-10001,2025-08-12,133714.42,USD,wire,succeeded
PAY-0300048,INV-0200055,ACC-10001,2025-09-23,133714.42,USD,check,succeeded
PAY-0300049,INV-0200056,ACC-10001,2025-11-10,133714.42,USD,ach,succeeded
PAY-0300050,INV-0200057,ACC-10001,2025-11-21,133714.42,USD,credit_card,succeeded
PAY-0300051,INV-0200058,ACC-10001,2025-12-29,133714.42,USD,ach,succeeded
PAY-0300052,INV-0200059,ACC-10001,2026-01-30,133714.42,USD,wire,succeeded
PAY-0300053,INV-0200060,ACC-10001,2026-03-01,133714.42,USD,wire,succeeded
PAY-0300054,INV-0200061,ACC-10001,2026-03-08,133714.42,USD,wire,succeeded
PAY-0300055,INV-0200062,ACC-10001,2026-05-11,133714.42,USD,wire,succeeded
PAY-0300056,INV-0200063,ACC-10001,2026-06-15,133714.42,USD,wire,succeeded
PAY-0300057,INV-0200066,ACC-10001,2025-01-27,134854.28,USD,ach,succeeded
PAY-0300058,INV-0200067,ACC-10001,2026-01-11,134854.28,USD,wire,succeeded
PAY-0300059,INV-0200068,ACC-10002,2024-03-29,167142.87,USD,wire,succeeded
PAY-0300060,INV-0200069,ACC-10002,2024-06-05,212868.0,USD,wire,succeeded
PAY-0300061,INV-0200070,ACC-10002,2024-04-23,212868.0,USD,wire,succeeded
PAY-0300062,INV-0200071,ACC-10002,2024-07-03,212868.0,USD,wire,succeeded
PAY-0300063,INV-0200072,ACC-10002,2024-08-29,212868.0,USD,wire,succeeded
PAY-0300064,INV-0200073,ACC-10002,2024-07-06,212868.0,USD,ach,succeeded
PAY-0300065,INV-0200074,ACC-10002,2024-08-28,212868.0,USD,ach,succeeded
PAY-0300066,INV-0200075,ACC-10002,2024-10-18,212868.0,USD,wire,succeeded
PAY-0300067,INV-0200076,ACC-10002,2024-10-22,212868.0,USD,wire,succeeded
PAY-0300068,INV-0200077,ACC-10002,2024-12-23,212868.0,USD,check,succeeded
PAY-0300069,INV-0200079,ACC-10002,2025-03-28,212868.0,USD,check,succeeded
PAY-0300070,INV-0200080,ACC-10002,2025-05-02,212868.0,USD,ach,succeeded
PAY-0300071,INV-0200081,ACC-10002,2025-04-08,212868.0,USD,check,succeeded
PAY-0300072,INV-0200082,ACC-10002,2025-06-25,212868.0,USD,wire,succeeded
PAY-0300073,INV-0200083,ACC-10002,2025-05-19,212868.0,USD,wire,succeeded
PAY-0300074,INV-0200085,ACC-10002,2025-07-20,212868.0,USD,wire,succeeded
PAY-0300075,INV-0200086,ACC-10002,2025-10-30,212868.0,USD,check,succeeded
PAY-0300076,INV-0200087,ACC-10002,2025-09-13,212868.0,USD,wire,succeeded
PAY-0300077,INV-0200088,ACC-10002,2025-11-22,212868.0,USD,wire,succeeded
PAY-0300078,INV-0200089,ACC-10002,2025-12-21,212868.0,USD,ach,succeeded
PAY-0300079,INV-0200090,ACC-10002,2026-01-27,212868.0,USD,wire,succeeded
PAY-0300080,INV-0200091,ACC-10002,2026-01-28,212868.0,USD,wire,succeeded
PAY-0300081,INV-0200093,ACC-10002,2026-05-28,212868.0,USD,wire,succeeded
PAY-0300082,INV-0200094,ACC-10002,2026-05-14,212868.0,USD,wire,succeeded
PAY-0300083,INV-0200095,ACC-10002,2026-05-15,212868.0,USD,wire,succeeded
PAY-0300084,INV-0200098,ACC-10002,2024-03-30,603300.0,USD,wire,succeeded
PAY-0300085,INV-0200099,ACC-10002,2025-04-29,603300.0,USD,check,succeeded
PAY-0300086,INV-0200100,ACC-10002,2026-05-29,603300.0,USD,ach,succeeded
PAY-0300087,INV-0200101,ACC-10002,2023-02-25,6311135.61,USD,wire,succeeded
PAY-0300088,INV-0200102,ACC-10002,2023-03-02,142980.0,USD,wire,succeeded
PAY-0300089,INV-0200103,ACC-10002,2023-02-28,142980.0,USD,wire,succeeded
PAY-0300090,INV-0200104,ACC-10002,2023-04-11,142980.0,USD,ach,succeeded
PAY-0300091,INV-0200105,ACC-10002,2023-03-09,142980.0,USD,ach,succeeded
PAY-0300092,INV-0200106,ACC-10002,2023-05-09,142980.0,USD,ach,succeeded
PAY-0300093,INV-0200107,ACC-10002,2023-05-12,142980.0,USD,wire,succeeded
PAY-0300094,INV-0200108,ACC-10002,2023-07-16,142980.0,USD,wire,succeeded
PAY-0300095,INV-0200109,ACC-10002,2023-08-26,142980.0,USD,wire,succeeded
PAY-0300096,INV-0200111,ACC-10002,2023-10-14,142980.0,USD,wire,succeeded
PAY-0300097,INV-0200112,ACC-10002,2023-12-06,142980.0,USD,wire,succeeded
PAY-0300098,INV-0200113,ACC-10002,2023-11-10,142980.0,USD,wire,succeeded
PAY-0300099,INV-0200114,ACC-10002,2024-01-06,142980.0,USD,wire,succeeded
PAY-0300100,INV-0200115,ACC-10002,2024-01-31,142980.0,USD,check,succeeded
PAY-0300101,INV-0200116,ACC-10002,2024-03-31,142980.0,USD,credit_card,succeeded
PAY-0300102,INV-0200117,ACC-10002,2024-04-09,142980.0,USD,ach,succeeded
PAY-0300103,INV-0200118,ACC-10002,2024-04-27,142980.0,USD,credit_card,succeeded
PAY-0300104,INV-0200119,ACC-10002,2024-06-11,142980.0,USD,ach,succeeded
PAY-0300105,INV-0200120,ACC-10002,2024-07-17,142980.0,USD,ach,succeeded
PAY-0300106,INV-0200121,ACC-10002,2024-07-31,142980.0,USD,ach,succeeded
PAY-0300107,INV-0200122,ACC-10002,2024-08-25,142980.0,USD,wire,succeeded
PAY-0300108,INV-0200123,ACC-10002,2024-09-09,142980.0,USD,ach,succeeded
PAY-0300109,INV-0200124,ACC-10002,2024-11-30,142980.0,USD,ach,succeeded
PAY-0300110,INV-0200125,ACC-10002,2024-12-16,142980.0,USD,wire,succeeded
PAY-0300111,INV-0200126,ACC-10002,2025-01-09,142980.0,USD,check,succeeded
PAY-0300112,INV-0200127,ACC-10002,2023-02-01,1825825.0,USD,wire,succeeded
PAY-0300113,INV-0200128,ACC-10002,2023-12-23,1825825.0,USD,wire,succeeded
PAY-0300114,INV-0200129,ACC-10002,2025-01-27,1825825.0,USD,wire,succeeded
PAY-0300115,INV-0200132,ACC-10002,2025-03-14,83520.0,USD,wire,succeeded
PAY-0300116,INV-0200133,ACC-10002,2025-05-13,83520.0,USD,ach,succeeded
PAY-0300117,INV-0200134,ACC-10002,2025-06-03,83520.0,USD,wire,succeeded
PAY-0300118,INV-0200135,ACC-10002,2025-07-14,83520.0,USD,ach,succeeded
PAY-0300119,INV-0200136,ACC-10002,2025-07-13,83520.0,USD,wire,succeeded
PAY-0300120,INV-0200137,ACC-10002,2025-09-01,83520.0,USD,wire,succeeded
PAY-0300121,INV-0200138,ACC-10002,2025-11-06,83520.0,USD,wire,succeeded
PAY-0300122,INV-0200139,ACC-10002,2025-10-15,83520.0,USD,wire,succeeded
PAY-0300123,INV-0200140,ACC-10002,2025-12-20,83520.0,USD,check,succeeded
PAY-0300124,INV-0200141,ACC-10002,2025-12-25,83520.0,USD,check,succeeded
PAY-0300125,INV-0200142,ACC-10002,2026-02-09,83520.0,USD,wire,succeeded
PAY-0300126,INV-0200143,ACC-10002,2026-03-02,83520.0,USD,wire,succeeded
PAY-0300127,INV-0200144,ACC-10002,2026-03-21,83520.0,USD,wire,succeeded
PAY-0300128,INV-0200145,ACC-10002,2026-04-11,83520.0,USD,wire,succeeded
PAY-0300129,INV-0200146,ACC-10002,2026-05-14,83520.0,USD,wire,succeeded
PAY-0300130,INV-0200149,ACC-10002,2025-04-11,938643.96,USD,ach,succeeded
PAY-0300131,INV-0200150,ACC-10002,2026-03-30,938643.96,USD,wire,succeeded
PAY-0300132,INV-0200151,ACC-10002,2022-07-06,2797064.1,USD,check,succeeded
PAY-0300133,INV-0200152,ACC-10002,2022-06-17,45990.0,USD,ach,succeeded
PAY-0300134,INV-0200153,ACC-10002,2022-06-07,45990.0,USD,wire,succeeded
PAY-0300135,INV-0200155,ACC-10002,2022-09-14,45990.0,USD,credit_card,succeeded
PAY-0300136,INV-0200156,ACC-10002,2022-09-29,45990.0,USD,wire,succeeded
PAY-0300137,INV-0200157,ACC-10002,2022-10-21,45990.0,USD,check,succeeded
PAY-0300138,INV-0200158,ACC-10002,2022-11-10,45990.0,USD,wire,succeeded
PAY-0300139,INV-0200159,ACC-10002,2022-12-17,45990.0,USD,wire,succeeded
PAY-0300140,INV-0200160,ACC-10002,2023-01-16,45990.0,USD,wire,succeeded
PAY-0300141,INV-0200161,ACC-10002,2023-03-01,45990.0,USD,ach,succeeded
PAY-0300142,INV-0200162,ACC-10002,2023-03-16,45990.0,USD,credit_card,succeeded
PAY-0300143,INV-0200164,ACC-10002,2023-05-31,45990.0,USD,credit_card,succeeded
PAY-0300144,INV-0200165,ACC-10002,2023-06-23,45990.0,USD,check,succeeded
PAY-0300145,INV-0200166,ACC-10002,2023-08-12,45990.0,USD,wire,succeeded
PAY-0300146,INV-0200167,ACC-10002,2023-09-03,45990.0,USD,check,succeeded
PAY-0300147,INV-0200168,ACC-10002,2023-09-24,45990.0,USD,ach,succeeded
PAY-0300148,INV-0200169,ACC-10002,2023-11-03,45990.0,USD,ach,succeeded
PAY-0300149,INV-0200170,ACC-10002,2023-12-11,45990.0,USD,ach,succeeded
PAY-0300150,INV-0200171,ACC-10002,2024-01-04,45990.0,USD,wire,succeeded
PAY-0300151,INV-0200172,ACC-10002,2024-01-09,45990.0,USD,wire,succeeded
PAY-0300152,INV-0200174,ACC-10002,2024-04-02,45990.0,USD,ach,succeeded
PAY-0300153,INV-0200176,ACC-10002,2024-06-03,45990.0,USD,wire,succeeded
PAY-0300154,INV-0200177,ACC-10002,2024-07-16,45990.0,USD,wire,succeeded
PAY-0300155,INV-0200178,ACC-10002,2024-07-30,45990.0,USD,credit_card,succeeded
PAY-0300156,INV-0200179,ACC-10002,2024-08-24,45990.0,USD,wire,succeeded
PAY-0300157,INV-0200180,ACC-10002,2024-09-24,45990.0,USD,wire,succeeded
PAY-0300158,INV-0200181,ACC-10002,2024-10-16,45990.0,USD,wire,succeeded
PAY-0300159,INV-0200182,ACC-10002,2024-12-08,45990.0,USD,ach,succeeded
PAY-0300160,INV-0200183,ACC-10002,2025-01-01,45990.0,USD,wire,succeeded
PAY-0300161,INV-0200184,ACC-10002,2025-02-15,45990.0,USD,wire,succeeded
PAY-0300162,INV-0200185,ACC-10002,2025-02-20,45990.0,USD,check,succeeded
PAY-0300163,INV-0200186,ACC-10002,2025-03-08,45990.0,USD,wire,succeeded
PAY-0300164,INV-0200187,ACC-10002,2025-05-05,45990.0,USD,wire,succeeded
PAY-0300165,INV-0200188,ACC-10002,2025-05-07,45990.0,USD,wire,succeeded
PAY-0300166,INV-0200191,ACC-10002,2024-06-04,565086.1,USD,ach,succeeded
PAY-0300167,INV-0200192,ACC-10002,2025-06-08,565086.1,USD,ach,succeeded
PAY-0300168,INV-0200193,ACC-10002,2025-01-07,368914.31,USD,wire,succeeded
PAY-0300169,INV-0200194,ACC-10002,2025-01-04,680459.8,USD,wire,succeeded
PAY-0300170,INV-0200195,ACC-10002,2025-12-10,680459.8,USD,credit_card,succeeded
PAY-0300171,INV-0200196,ACC-10003,2023-12-13,51350.08,USD,ach,succeeded
PAY-0300172,INV-0200197,ACC-10003,2023-12-17,120763.48,USD,wire,succeeded
PAY-0300173,INV-0200198,ACC-10003,2024-01-14,120763.48,USD,wire,succeeded
PAY-0300174,INV-0200199,ACC-10003,2024-02-24,120763.48,USD,wire,succeeded
PAY-0300175,INV-0200200,ACC-10003,2024-03-24,120763.48,USD,wire,succeeded
PAY-0300176,INV-0200201,ACC-10003,2024-05-09,120763.48,USD,wire,succeeded
PAY-0300177,INV-0200202,ACC-10003,2024-05-06,120763.48,USD,ach,succeeded
PAY-0300178,INV-0200203,ACC-10003,2024-06-29,120763.48,USD,wire,succeeded
PAY-0300179,INV-0200205,ACC-10003,2024-08-31,120763.48,USD,wire,succeeded
PAY-0300180,INV-0200206,ACC-10003,2024-10-14,120763.48,USD,ach,succeeded
PAY-0300181,INV-0200207,ACC-10003,2024-11-15,120763.48,USD,wire,succeeded
PAY-0300182,INV-0200208,ACC-10003,2024-11-25,120763.48,USD,wire,succeeded
PAY-0300183,INV-0200209,ACC-10003,2024-12-14,120763.48,USD,wire,succeeded
PAY-0300184,INV-0200210,ACC-10003,2025-01-12,120763.48,USD,check,succeeded
PAY-0300185,INV-0200211,ACC-10003,2025-02-13,120763.48,USD,wire,succeeded
PAY-0300186,INV-0200212,ACC-10003,2025-04-07,120763.48,USD,wire,succeeded
PAY-0300187,INV-0200213,ACC-10003,2025-05-06,120763.48,USD,wire,succeeded
PAY-0300188,INV-0200214,ACC-10003,2025-05-25,120763.48,USD,ach,succeeded
PAY-0300189,INV-0200215,ACC-10003,2025-07-13,120763.48,USD,wire,succeeded
PAY-0300190,INV-0200217,ACC-10003,2025-08-07,120763.48,USD,wire,succeeded
PAY-0300191,INV-0200218,ACC-10003,2025-09-07,120763.48,USD,wire,succeeded
PAY-0300192,INV-0200219,ACC-10003,2025-10-23,120763.48,USD,wire,succeeded
PAY-0300193,INV-0200220,ACC-10003,2025-11-22,120763.48,USD,wire,succeeded
PAY-0300194,INV-0200221,ACC-10003,2026-01-12,120763.48,USD,ach,succeeded
PAY-0300195,INV-0200222,ACC-10003,2026-01-10,120763.48,USD,wire,succeeded
PAY-0300196,INV-0200224,ACC-10003,2026-03-09,120763.48,USD,ach,succeeded
PAY-0300197,INV-0200225,ACC-10003,2026-04-09,120763.48,USD,credit_card,succeeded
PAY-0300198,INV-0200229,ACC-10003,2024-01-08,800683.75,USD,ach,succeeded
PAY-0300199,INV-0200230,ACC-10003,2024-12-16,800683.75,USD,wire,succeeded
PAY-0300200,INV-0200231,ACC-10003,2025-12-18,800683.75,USD,wire,succeeded
PAY-0300201,INV-0200232,ACC-10003,2025-04-13,1932114.13,USD,wire,succeeded
PAY-0300202,INV-0200233,ACC-10003,2025-04-27,559131.13,USD,ach,succeeded
PAY-0300203,INV-0200234,ACC-10003,2025-06-11,559131.13,USD,wire,succeeded
PAY-0300204,INV-0200235,ACC-10003,2025-06-17,559131.13,USD,wire,succeeded
PAY-0300205,INV-0200236,ACC-10003,2025-07-07,559131.13,USD,wire,succeeded
PAY-0300206,INV-0200237,ACC-10003,2025-08-24,559131.13,USD,wire,succeeded
PAY-0300207,INV-0200238,ACC-10003,2025-10-12,559131.13,USD,wire,succeeded
PAY-0300208,INV-0200239,ACC-10003,2025-11-13,559131.13,USD,ach,succeeded
PAY-0300209,INV-0200240,ACC-10003,2025-11-19,559131.13,USD,wire,succeeded
PAY-0300210,INV-0200241,ACC-10003,2025-12-07,559131.13,USD,wire,succeeded
PAY-0300211,INV-0200242,ACC-10003,2026-02-01,559131.13,USD,check,succeeded
PAY-0300212,INV-0200243,ACC-10003,2026-02-24,559131.13,USD,credit_card,succeeded
PAY-0300213,INV-0200244,ACC-10003,2026-03-09,559131.13,USD,wire,succeeded
PAY-0300214,INV-0200245,ACC-10003,2026-04-22,559131.13,USD,wire,succeeded
PAY-0300215,INV-0200246,ACC-10003,2026-05-11,559131.13,USD,ach,succeeded
PAY-0300216,INV-0200249,ACC-10003,2025-04-17,1223785.6,USD,wire,succeeded
PAY-0300217,INV-0200250,ACC-10003,2026-04-10,1223785.6,USD,wire,succeeded
PAY-0300218,INV-0200251,ACC-10003,2022-08-19,65000.0,USD,ach,succeeded
PAY-0300219,INV-0200252,ACC-10003,2022-09-14,137434.41,USD,credit_card,succeeded
PAY-0300220,INV-0200253,ACC-10003,2022-09-08,137434.41,USD,ach,succeeded
PAY-0300221,INV-0200254,ACC-10003,2022-10-23,137434.41,USD,check,succeeded
PAY-0300222,INV-0200255,ACC-10003,2022-11-19,137434.41,USD,check,succeeded
PAY-0300223,INV-0200256,ACC-10003,2022-12-10,137434.41,USD,ach,succeeded
PAY-0300224,INV-0200257,ACC-10003,2023-01-07,137434.41,USD,wire,succeeded
PAY-0300225,INV-0200258,ACC-10003,2023-02-28,137434.41,USD,wire,succeeded
PAY-0300226,INV-0200259,ACC-10003,2023-03-29,137434.41,USD,ach,succeeded
PAY-0300227,INV-0200260,ACC-10003,2023-04-06,137434.41,USD,wire,succeeded
PAY-0300228,INV-0200261,ACC-10003,2023-05-19,137434.41,USD,ach,succeeded
PAY-0300229,INV-0200262,ACC-10003,2023-06-11,137434.41,USD,credit_card,succeeded
PAY-0300230,INV-0200263,ACC-10003,2023-07-29,137434.41,USD,wire,succeeded
PAY-0300231,INV-0200264,ACC-10003,2023-09-08,137434.41,USD,ach,succeeded
PAY-0300232,INV-0200265,ACC-10003,2023-10-08,137434.41,USD,wire,succeeded
PAY-0300233,INV-0200266,ACC-10003,2023-11-04,137434.41,USD,wire,succeeded
PAY-0300234,INV-0200267,ACC-10003,2023-12-11,137434.41,USD,wire,succeeded
PAY-0300235,INV-0200268,ACC-10003,2023-12-26,137434.41,USD,wire,succeeded
PAY-0300236,INV-0200271,ACC-10003,2024-03-08,137434.41,USD,wire,succeeded
PAY-0300237,INV-0200272,ACC-10003,2024-04-30,137434.41,USD,wire,succeeded
PAY-0300238,INV-0200273,ACC-10003,2024-06-01,137434.41,USD,ach,succeeded
PAY-0300239,INV-0200274,ACC-10003,2024-06-06,137434.41,USD,wire,succeeded
PAY-0300240,INV-0200275,ACC-10003,2024-08-02,137434.41,USD,ach,succeeded
PAY-0300241,INV-0200276,ACC-10003,2024-09-03,137434.41,USD,wire,succeeded
PAY-0300242,INV-0200277,ACC-10003,2024-09-28,137434.41,USD,check,succeeded
PAY-0300243,INV-0200278,ACC-10003,2024-10-13,137434.41,USD,ach,succeeded
PAY-0300244,INV-0200279,ACC-10003,2024-11-23,137434.41,USD,wire,succeeded
PAY-0300245,INV-0200280,ACC-10003,2024-12-13,137434.41,USD,credit_card,succeeded
PAY-0300246,INV-0200281,ACC-10003,2025-01-22,137434.41,USD,wire,succeeded
PAY-0300247,INV-0200282,ACC-10003,2025-03-11,137434.41,USD,wire,succeeded
PAY-0300248,INV-0200283,ACC-10003,2025-03-20,137434.41,USD,check,succeeded
PAY-0300249,INV-0200284,ACC-10003,2025-04-28,137434.41,USD,wire,succeeded
PAY-0300250,INV-0200285,ACC-10003,2025-05-10,137434.41,USD,wire,succeeded
PAY-0300251,INV-0200287,ACC-10003,2025-07-27,137434.41,USD,wire,succeeded
PAY-0300252,INV-0200288,ACC-10003,2025-08-31,137434.41,USD,wire,succeeded
PAY-0300253,INV-0200289,ACC-10003,2022-08-17,474420.83,USD,wire,succeeded
PAY-0300254,INV-0200290,ACC-10003,2023-09-11,474420.83,USD,ach,succeeded
PAY-0300255,INV-0200291,ACC-10003,2024-08-28,474420.83,USD,wire,succeeded
PAY-0300256,INV-0200292,ACC-10003,2025-08-13,474420.83,USD,ach,succeeded
PAY-0300257,INV-0200294,ACC-10003,2025-02-18,437760.0,USD,wire,succeeded
PAY-0300258,INV-0200295,ACC-10003,2025-02-22,437760.0,USD,wire,succeeded
PAY-0300259,INV-0200296,ACC-10003,2025-05-03,437760.0,USD,wire,succeeded
PAY-0300260,INV-0200298,ACC-10003,2025-07-05,437760.0,USD,wire,succeeded
PAY-0300261,INV-0200299,ACC-10003,2025-06-12,437760.0,USD,wire,succeeded
PAY-0300262,INV-0200300,ACC-10003,2025-07-25,437760.0,USD,wire,succeeded
PAY-0300263,INV-0200301,ACC-10003,2025-08-14,437760.0,USD,check,succeeded
PAY-0300264,INV-0200302,ACC-10003,2025-10-19,437760.0,USD,wire,succeeded
PAY-0300265,INV-0200303,ACC-10003,2025-11-04,437760.0,USD,wire,succeeded
PAY-0300266,INV-0200304,ACC-10003,2026-01-14,437760.0,USD,wire,succeeded
PAY-0300267,INV-0200306,ACC-10003,2026-02-24,437760.0,USD,wire,succeeded
PAY-0300268,INV-0200307,ACC-10003,2025-01-29,1379421.0,USD,check,succeeded
PAY-0300269,INV-0200308,ACC-10003,2026-01-19,1379421.0,USD,wire,succeeded
PAY-0300270,INV-0200309,ACC-10003,2025-10-27,1421750.0,USD,credit_card,succeeded
PAY-0300271,INV-0200310,ACC-10003,2025-10-13,309995.0,USD,ach,succeeded
PAY-0300272,INV-0200311,ACC-10003,2025-11-13,309995.0,USD,ach,succeeded
PAY-0300273,INV-0200312,ACC-10003,2025-12-11,309995.0,USD,wire,succeeded
PAY-0300274,INV-0200313,ACC-10003,2026-02-20,309995.0,USD,wire,succeeded
PAY-0300275,INV-0200314,ACC-10003,2026-03-05,309995.0,USD,ach,succeeded
PAY-0300276,INV-0200315,ACC-10003,2026-03-17,309995.0,USD,credit_card,succeeded
PAY-0300277,INV-0200316,ACC-10003,2026-05-31,309995.0,USD,check,succeeded
PAY-0300278,INV-0200317,ACC-10003,2026-06-21,309995.0,USD,wire,succeeded
PAY-0300279,INV-0200320,ACC-10003,2025-11-05,250911.4,USD,wire,succeeded
PAY-0300280,INV-0200321,ACC-10004,2023-04-13,2277733.93,USD,wire,succeeded
PAY-0300281,INV-0200322,ACC-10004,2023-04-23,317949.75,USD,wire,succeeded
PAY-0300282,INV-0200323,ACC-10004,2023-05-19,317949.75,USD,wire,succeeded
PAY-0300283,INV-0200324,ACC-10004,2023-06-29,317949.75,USD,check,succeeded
PAY-0300284,INV-0200325,ACC-10004,2023-08-14,317949.75,USD,ach,succeeded
PAY-0300285,INV-0200326,ACC-10004,2023-08-18,317949.75,USD,wire,succeeded
PAY-0300286,INV-0200327,ACC-10004,2023-09-22,317949.75,USD,check,succeeded
PAY-0300287,INV-0200328,ACC-10004,2023-10-13,317949.75,USD,wire,succeeded
PAY-0300288,INV-0200329,ACC-10004,2023-11-08,317949.75,USD,wire,succeeded
PAY-0300289,INV-0200330,ACC-10004,2023-12-31,317949.75,USD,wire,succeeded
PAY-0300290,INV-0200331,ACC-10004,2024-01-12,317949.75,USD,ach,succeeded
PAY-0300291,INV-0200332,ACC-10004,2024-03-03,317949.75,USD,ach,succeeded
PAY-0300292,INV-0200333,ACC-10004,2024-03-26,317949.75,USD,ach,succeeded
PAY-0300293,INV-0200335,ACC-10004,2024-05-06,317949.75,USD,ach,succeeded
PAY-0300294,INV-0200336,ACC-10004,2024-07-16,317949.75,USD,ach,succeeded
PAY-0300295,INV-0200337,ACC-10004,2024-07-22,317949.75,USD,wire,succeeded
PAY-0300296,INV-0200338,ACC-10004,2024-09-06,317949.75,USD,wire,succeeded
PAY-0300297,INV-0200339,ACC-10004,2024-09-17,317949.75,USD,wire,succeeded
PAY-0300298,INV-0200340,ACC-10004,2024-10-26,317949.75,USD,ach,succeeded
PAY-0300299,INV-0200341,ACC-10004,2024-11-28,317949.75,USD,wire,succeeded
PAY-0300300,INV-0200342,ACC-10004,2024-12-19,317949.75,USD,ach,succeeded
PAY-0300301,INV-0200343,ACC-10004,2025-01-13,317949.75,USD,wire,succeeded
PAY-0300302,INV-0200344,ACC-10004,2025-02-08,317949.75,USD,ach,succeeded
PAY-0300303,INV-0200345,ACC-10004,2025-04-06,317949.75,USD,credit_card,succeeded
PAY-0300304,INV-0200346,ACC-10004,2025-04-18,317949.75,USD,ach,succeeded
PAY-0300305,INV-0200347,ACC-10004,2025-06-06,317949.75,USD,wire,succeeded
PAY-0300306,INV-0200348,ACC-10004,2025-06-10,317949.75,USD,wire,succeeded
PAY-0300307,INV-0200349,ACC-10004,2025-07-17,317949.75,USD,wire,succeeded
PAY-0300308,INV-0200350,ACC-10004,2025-08-15,317949.75,USD,wire,succeeded
PAY-0300309,INV-0200351,ACC-10004,2025-09-06,317949.75,USD,ach,succeeded
