line_item_id,contract_id,account_id,sku,category,quantity,list_price_usd,discount_pct,unit_price,currency,billing_freq,start_date,end_date
LI-0500026,CON-070003,ACC-10001,CR-1400,hardware,10,122142.86,0.2,97714.29,USD,one_time,2024-12-29,2029-12-28
LI-0500027,CON-070003,ACC-10001,SUP-BRO-DC,support,2,15750.0,0.0,15750.0,USD,annual,2024-12-29,2029-12-28
LI-0500028,CON-070003,ACC-10001,SW-OBS-120,software_subscription,509,72.5,0.2,58.0,USD,monthly,2024-12-29,2029-12-28
LI-0500029,CON-070003,ACC-10001,SW-NOC-120,software_subscription,856,112.5,0.25,84.38,USD,annual,2024-12-29,2029-12-28
LI-0500030,CON-070003,ACC-10001,AX-1700,hardware,21,12000.0,0.0,12000.0,USD,one_time,2024-12-29,2029-12-28
LI-0500031,CON-070004,ACC-10002,SUP-GOL-DC,support,12,35000.0,0.35,22750.0,USD,annual,2024-03-07,2029-03-07
LI-0500032,CON-070004,ACC-10002,SUP-BRO-EDGE,support,17,4500.0,0.15,3825.0,USD,annual,2024-03-07,2029-03-07
LI-0500033,CON-070004,ACC-10002,SW-OBS-130,software_subscription,1457,96.25,0.25,72.19,USD,annual,2028-07-07,2029-03-07
LI-0500034,CON-070004,ACC-10002,SUP-SIL-CORE,support,9,13500.0,0.15,11475.0,USD,annual,2024-03-07,2029-03-07
LI-0500035,CON-070004,ACC-10002,SUP-GOL-CORE,support,9,20000.0,0.1,18000.0,USD,annual,2024-03-07,2029-03-07
LI-0500036,CON-070004,ACC-10002,SW-OBS-140,software_subscription,1971,120.0,0.1,108.0,USD,monthly,2024-03-07,2029-03-07
LI-0500037,CON-070004,ACC-10002,SD-1400,hardware,9,18571.43,0.0,18571.43,USD,one_time,2024-03-07,2029-03-07
LI-0500038,CON-070005,ACC-10002,AX-1500,hardware,7,9285.71,0.3,6500.0,USD,one_time,2022-12-30,2024-12-28
LI-0500039,CON-070005,ACC-10002,LB-1500,hardware,4,75000.0,0.15,63750.0,USD,one_time,2022-12-30,2024-12-28
LI-0500040,CON-070005,ACC-10002,PS-HCA,services,1,18000.0,0.15,15300.0,USD,one_time,2022-12-30,2024-12-28
LI-0500041,CON-070005,ACC-10002,FW-1300,hardware,7,32428.57,0.35,21078.57,USD,one_time,2022-12-30,2024-12-28
LI-0500042,CON-070005,ACC-10002,PS-CID,services,1,140000.0,0.2,112000.0,USD,one_time,2024-06-19,2024-12-28
LI-0500043,CON-070005,ACC-10002,SW-SEC-110,software_subscription,160,107.5,0.1,96.75,USD,monthly,2022-12-30,2024-12-28
LI-0500044,CON-070005,ACC-10002,FW-1700,hardware,24,65000.0,0.05,61750.0,USD,one_time,2024-01-02,2024-12-28
LI-0500045,CON-070005,ACC-10002,SW-SDC-140,software_subscription,1509,800.0,0.0,800.0,USD,annual,2022-12-30,2024-12-28
LI-0500046,CON-070005,ACC-10002,SUP-BRO-CORE,support,14,9000.0,0.3,6300.0,USD,annual,2022-12-30,2024-12-28
LI-0500047,CON-070005,ACC-10002,CR-1500,hardware,22,141428.57,0.1,127285.71,USD,one_time,2022-12-30,2024-12-28
LI-0500048,CON-070005,ACC-10002,SUP-GOL-DC,support,7,35000.0,0.05,33250.0,USD,annual,2022-12-30,2024-12-28
LI-0500049,CON-070005,ACC-10002,LB-1700,hardware,17,95000.0,0.1,85500.0,USD,one_time,2022-12-30,2024-12-28
LI-0500050,CON-070005,ACC-10002,SW-SEC-140,software_subscription,600,250.0,0.15,212.5,USD,monthly,2022-12-30,2024-12-28
LI-0500051,CON-070005,ACC-10002,SUP-SIL-DC,support,14,23625.0,0.1,21262.5,USD,annual,2022-12-30,2024-12-28
LI-0500052,CON-070006,ACC-10002,SUP-BRO-EDGE,support,4,4500.0,0.2,3600.0,USD,annual,2025-02-23,2030-02-23
LI-0500053,CON-070006,ACC-10002,LB-1100,hardware,9,35000.0,0.15,29750.0,USD,one_time,2025-02-23,2030-02-23
LI-0500054,CON-070006,ACC-10002,SD-1500,hardware,24,21714.29,0.2,17371.43,USD,one_time,2025-02-23,2030-02-23
LI-0500055,CON-070006,ACC-10002,AX-1300,hardware,27,6571.43,0.1,5914.29,USD,one_time,2025-02-23,2030-02-23
LI-0500056,CON-070006,ACC-10002,WAP-1400,hardware,4,1221.43,0.25,916.07,USD,one_time,2025-02-23,2030-02-23
LI-0500057,CON-070006,ACC-10002,SW-ZTN-120,software_subscription,1892,87.5,0.15,74.38,USD,annual,2025-02-23,2030-02-23
LI-0500058,CON-070006,ACC-10002,SW-ZTN-110,software_subscription,1008,61.25,0.2,49.0,USD,annual,2025-02-23,2030-02-23
LI-0500059,CON-070006,ACC-10002,LB-1500,hardware,19,75000.0,0.25,56250.0,USD,one_time,2025-02-23,2030-02-23
LI-0500060,CON-070006,ACC-10002,SUP-SIL-CORE,support,9,13500.0,0.25,10125.0,USD,annual,2025-02-23,2030-02-23
LI-0500061,CON-070006,ACC-10002,SUP-BRO-CORE,support,4,9000.0,0.25,6750.0,USD,annual,2025-02-23,2030-02-23
LI-0500062,CON-070006,ACC-10002,SUP-GOL-DC,support,22,35000.0,0.2,28000.0,USD,annual,2025-09-05,2030-02-23
LI-0500063,CON-070006,ACC-10002,CR-1700,hardware,27,180000.0,0.25,135000.0,USD,one_time,2025-02-23,2030-02-23
LI-0500064,CON-070006,ACC-10002,CR-1700,hardware,27,180000.0,0.25,135000.0,USD,one_time,2025-02-23,2030-02-23
LI-0500065,CON-070006,ACC-10002,SW-NOC-140,software_subscription,580,180.0,0.2,144.0,USD,monthly,2025-02-23,2030-02-23
LI-0500066,CON-070007,ACC-10002,CR-1300,hardware,2,102857.14,0.2,82285.71,USD,one_time,2022-05-28,2025-05-28
LI-0500067,CON-070007,ACC-10002,SW-OBS-130,software_subscription,155,96.25,0.1,86.62,USD,annual,2022-05-28,2025-05-28
LI-0500068,CON-070007,ACC-10002,SW-NOC-120,software_subscription,511,112.5,0.2,90.0,USD,monthly,2022-05-28,2025-05-28
LI-0500069,CON-070007,ACC-10002,SUP-GOL-DC,support,4,35000.0,0.15,29750.0,USD,annual,2022-05-28,2025-05-28
LI-0500070,CON-070007,ACC-10002,SW-SEC-140,software_subscription,714,250.0,0.2,200.0,USD,annual,2022-05-28,2025-05-28
LI-0500071,CON-070007,ACC-10002,LB-1100,hardware,27,35000.0,0.3,24500.0,USD,one_time,2022-05-28,2025-05-28
LI-0500072,CON-070007,ACC-10002,FW-1700,hardware,2,65000.0,0.1,58500.0,USD,one_time,2022-05-28,2025-05-28
LI-0500073,CON-070007,ACC-10002,CR-1100,hardware,22,64285.71,0.15,54642.85,USD,one_time,2024-08-02,2025-05-28
LI-0500074,CON-070007,ACC-10002,SW-ZTN-140,software_subscription,219,140.0,0.0,140.0,USD,annual,2022-05-28,2025-05-28
LI-0500075,CON-070007,ACC-10002,PS-IS,services,1,45000.0,0.3,31500.0,USD,one_time,2022-05-28,2025-05-28
LI-0500076,CON-070007,ACC-10002,AX-1500,hardware,14,9285.71,0.2,7428.57,USD,one_time,2022-05-28,2025-05-28
LI-0500077,CON-070007,ACC-10002,AX-1700,hardware,12,12000.0,0.1,10800.0,USD,one_time,2022-05-28,2025-05-28
LI-0500078,CON-070007,ACC-10002,SUP-SIL-CORE,support,24,13500.0,0.2,10800.0,USD,annual,2022-05-28,2025-05-28
LI-0500079,CON-070007,ACC-10002,LB-1100,hardware,17,35000.0,0.35,22750.0,USD,one_time,2022-05-28,2025-05-28
LI-0500080,CON-070008,ACC-10002,SUP-BRO-DC,support,17,15750.0,0.1,14175.0,USD,annual,2024-12-28,2027-12-28
LI-0500081,CON-070008,ACC-10002,SUP-GOL-DC,support,12,35000.0,0.2,28000.0,USD,annual,2024-12-28,2027-12-28
LI-0500082,CON-070008,ACC-10002,PS-NDW,services,1,22000.0,0.05,20900.0,USD,one_time,2024-12-28,2027-12-28
LI-0500083,CON-070008,ACC-10002,PS-OT,services,1,38000.0,0.15,32300.0,USD,one_time,2024-12-28,2027-12-28
LI-0500084,CON-070008,ACC-10002,SW-NOC-110,software_subscription,1460,78.75,0.1,70.88,USD,annual,2024-12-28,2027-12-28
LI-0500085,CON-070008,ACC-10002,SW-SEC-110,software_subscription,373,107.5,0.25,80.62,USD,monthly,2026-10-05,2027-12-28
LI-0500086,CON-070008,ACC-10002,SD-1400,hardware,17,18571.43,0.0,18571.43,USD,one_time,2024-12-28,2027-12-28
LI-0500087,CON-070009,ACC-10003,WAP-1600,hardware,28,1607.14,0.25,1205.36,USD,one_time,2023-12-06,2028-12-06
LI-0500088,CON-070009,ACC-10003,SUP-BRO-DC,support,7,15750.0,0.25,11812.5,USD,annual,2023-12-06,2028-12-06
LI-0500089,CON-070009,ACC-10003,SW-ZTN-140,software_subscription,739,140.0,0.05,133.0,USD,monthly,2023-12-06,2028-12-06
LI-0500090,CON-070009,ACC-10003,PS-NDW,services,1,22000.0,0.2,17600.0,USD,one_time,2023-12-06,2028-12-06
LI-0500091,CON-070009,ACC-10003,SW-ZTN-130,software_subscription,208,113.75,0.05,108.06,USD,monthly,2023-12-06,2028-12-06
LI-0500092,CON-070009,ACC-10003,SUP-GOL-DC,support,20,35000.0,0.15,29750.0,USD,annual,2023-12-06,2028-12-06
LI-0500093,CON-070009,ACC-10003,SW-NOC-130,software_subscription,841,146.25,0.0,146.25,USD,annual,2023-12-06,2028-12-06
LI-0500094,CON-070010,ACC-10003,SW-OBS-130,software_subscription,1018,96.25,0.0,96.25,USD,monthly,2025-04-04,2027-04-04
LI-0500095,CON-070010,ACC-10003,SW-SEC-140,software_subscription,331,250.0,0.15,212.5,USD,annual,2025-04-04,2027-04-04
LI-0500096,CON-070010,ACC-10003,AX-1500,hardware,10,9285.71,0.2,7428.57,USD,one_time,2025-04-04,2027-04-04
LI-0500097,CON-070010,ACC-10003,SUP-GOL-CORE,support,15,20000.0,0.0,20000.0,USD,annual,2025-04-04,2027-04-04
LI-0500098,CON-070010,ACC-10003,FW-1600,hardware,31,56857.14,0.1,51171.43,USD,one_time,2025-04-04,2027-04-04
LI-0500099,CON-070010,ACC-10003,SD-1200,hardware,26,12285.71,0.15,10442.85,USD,one_time,2025-04-04,2027-04-04
LI-0500100,CON-070010,ACC-10003,SUP-SIL-DC,support,18,23625.0,0.15,20081.25,USD,annual,2025-04-04,2027-04-04
LI-0500101,CON-070010,ACC-10003,SW-OBS-130,software_subscription,723,96.25,0.15,81.81,USD,monthly,2025-04-04,2027-04-04
LI-0500102,CON-070010,ACC-10003,SW-SDC-120,software_subscription,804,500.0,0.0,500.0,USD,monthly,2025-04-04,2027-04-04
LI-0500103,CON-070010,ACC-10003,SW-SEC-110,software_subscription,1880,107.5,0.05,102.12,USD,annual,2025-04-04,2027-04-04
LI-0500104,CON-070010,ACC-10003,SUP-GOL-CORE,support,20,20000.0,0.25,15000.0,USD,annual,2025-04-04,2027-04-04
LI-0500105,CON-070011,ACC-10003,SD-1400,hardware,5,18571.43,0.3,13000.0,USD,one_time,2022-08-11,2025-08-11
LI-0500106,CON-070011,ACC-10003,SW-SEC-110,software_subscription,1504,107.5,0.2,86.0,USD,annual,2022-08-11,2025-08-11
LI-0500107,CON-070011,ACC-10003,SUP-PLA-DC,support,5,48125.0,0.25,36093.75,USD,annual,2022-08-11,2025-08-11
LI-0500108,CON-070011,ACC-10003,SUP-BRO-EDGE,support,23,4500.0,0.0,4500.0,USD,annual,2022-08-11,2025-08-11
LI-0500109,CON-070011,ACC-10003,SW-ZTN-130,software_subscription,1611,113.75,0.25,85.31,USD,monthly,2022-08-11,2025-08-11
LI-0500110,CON-070011,ACC-10003,SW-ZTN-130,software_subscription,632,113.75,0.15,96.69,USD,annual,2022-08-11,2025-08-11
LI-0500111,CON-070012,ACC-10003,SUP-PLA-CORE,support,7,27500.0,0.1,24750.0,USD,annual,2025-01-10,2026-01-10
LI-0500112,CON-070012,ACC-10003,SW-SEC-140,software_subscription,1640,250.0,0.05,237.5,USD,annual,2025-01-10,2026-01-10
LI-0500113,CON-070012,ACC-10003,SUP-SIL-CORE,support,7,13500.0,0.15,11475.0,USD,annual,2025-01-10,2026-01-10
LI-0500114,CON-070012,ACC-10003,SUP-GOL-DC,support,5,35000.0,0.1,31500.0,USD,annual,2025-01-10,2026-01-10
LI-0500115,CON-070012,ACC-10003,PS-IS,services,1,45000.0,0.2,36000.0,USD,one_time,2025-01-10,2026-01-10
LI-0500116,CON-070012,ACC-10003,SUP-PLA-EDGE,support,7,13750.0,0.0,13750.0,USD,annual,2025-01-10,2026-01-10
LI-0500117,CON-070012,ACC-10003,CR-1200,hardware,20,83571.43,0.15,71035.72,USD,one_time,2025-01-10,2026-01-10
LI-0500118,CON-070012,ACC-10003,SUP-PLA-EDGE,support,26,13750.0,0.2,11000.0,USD,annual,2025-01-10,2026-01-10
LI-0500119,CON-070012,ACC-10003,SW-SEC-110,software_subscription,2032,107.5,0.1,96.75,USD,annual,2025-01-10,2026-01-10
LI-0500120,CON-070012,ACC-10003,WAP-1200,hardware,2,835.71,0.25,626.78,USD,one_time,2025-01-10,2026-01-10
LI-0500121,CON-070012,ACC-10003,SW-SDC-140,software_subscription,684,800.0,0.2,640.0,USD,monthly,2025-01-10,2026-01-10
LI-0500122,CON-070013,ACC-10003,LB-1600,hardware,15,85000.0,0.15,72250.0,USD,one_time,2025-10-01,2027-10-01
LI-0500123,CON-070013,ACC-10003,LB-1200,hardware,2,45000.0,0.2,36000.0,USD,one_time,2026-10-27,2027-10-01
LI-0500124,CON-070013,ACC-10003,SUP-BRO-CORE,support,23,9000.0,0.05,8550.0,USD,annual,2025-10-01,2027-10-01
LI-0500125,CON-070013,ACC-10003,PS-CID,services,1,140000.0,0.05,133000.0,USD,one_time,2025-10-01,2027-10-01
LI-0500126,CON-070013,ACC-10003,PS-CID,services,1,140000.0,0.05,133000.0,USD,one_time,2025-10-01,2027-10-01
LI-0500127,CON-070013,ACC-10003,SW-ZTN-130,software_subscription,530,113.75,0.1,102.38,USD,annual,2025-10-01,2027-10-01
LI-0500128,CON-070013,ACC-10003,SW-SDC-110,software_subscription,1042,350.0,0.15,297.5,USD,monthly,2025-10-01,2027-10-01
LI-0500129,CON-070014,ACC-10004,WAP-1200,hardware,23,835.71,0.2,668.57,USD,one_time,2023-04-02,2028-04-02
LI-0500130,CON-070014,ACC-10004,SUP-PLA-EDGE,support,2,13750.0,0.05,13062.5,USD,annual,2023-04-02,2028-04-02
LI-0500131,CON-070014,ACC-10004,SW-SEC-110,software_subscription,1405,107.5,0.1,96.75,USD,monthly,2023-04-02,2028-04-02
LI-0500132,CON-070014,ACC-10004,AX-1500,hardware,26,9285.71,0.15,7892.85,USD,one_time,2023-04-02,2028-04-02
LI-0500133,CON-070014,ACC-10004,SUP-SIL-EDGE,support,8,6750.0,0.15,5737.5,USD,annual,2023-04-02,2028-04-02
LI-0500134,CON-070014,ACC-10004,SW-OBS-140,software_subscription,1896,120.0,0.2,96.0,USD,monthly,2023-04-02,2028-04-02
LI-0500135,CON-070014,ACC-10004,CR-1100,hardware,32,64285.71,0.0,64285.71,USD,one_time,2023-04-02,2028-04-02
LI-0500136,CON-070014,ACC-10004,SUP-SIL-DC,support,5,23625.0,0.15,20081.25,USD,annual,2023-04-02,2028-04-02
LI-0500137,CON-070014,ACC-10004,SUP-GOL-CORE,support,23,20000.0,0.15,17000.0,USD,annual,2023-04-02,2028-04-02
LI-0500138,CON-070015,ACC-10004,SW-SEC-110,software_subscription,1810,107.5,0.3,75.25,USD,monthly,2024-04-21,2026-04-21
LI-0500139,CON-070015,ACC-10004,CR-1200,hardware,32,83571.43,0.15,71035.72,USD,one_time,2024-04-21,2026-04-21
LI-0500140,CON-070015,ACC-10004,SW-ZTN-130,software_subscription,517,113.75,0.15,96.69,USD,monthly,2025-03-11,2026-04-21
LI-0500141,CON-070015,ACC-10004,CR-1500,hardware,26,141428.57,0.35,91928.57,USD,one_time,2024-04-21,2026-04-21
LI-0500142,CON-070016,ACC-10004,SUP-SIL-EDGE,support,23,6750.0,0.15,5737.5,USD,annual,2025-09-17,2028-09-17
LI-0500143,CON-070016,ACC-10004,SW-SDC-140,software_subscription,1532,800.0,0.2,640.0,USD,monthly,2025-09-17,2028-09-17
LI-0500144,CON-070016,ACC-10004,WAP-1600,hardware,29,1607.14,0.1,1446.43,USD,one_time,2025-09-17,2028-09-17
LI-0500145,CON-070016,ACC-10004,SD-1300,hardware,8,15428.57,0.2,12342.86,USD,one_time,2025-09-17,2028-09-17
LI-0500146,CON-070016,ACC-10004,LB-1500,hardware,14,75000.0,0.2,60000.0,USD,one_time,2025-09-17,2028-09-17
LI-0500147,CON-070017,ACC-10004,SUP-GOL-EDGE,support,20,10000.0,0.3,7000.0,USD,annual,2025-05-06,2028-05-06
LI-0500148,CON-070017,ACC-10004,SW-NOC-110,software_subscription,686,78.75,0.2,63.0,USD,annual,2025-05-06,2028-05-06
LI-0500149,CON-070017,ACC-10004,SW-ZTN-110,software_subscription,2145,61.25,0.0,61.25,USD,annual,2025-05-06,2028-05-06
LI-0500150,CON-070017,ACC-10004,SUP-BRO-DC,support,29,15750.0,0.2,12600.0,USD,annual,2025-05-06,2028-05-06
LI-0500151,CON-070017,ACC-10004,SUP-GOL-CORE,support,29,20000.0,0.1,18000.0,USD,annual,2025-05-06,2028-05-06
LI-0500152,CON-070017,ACC-10004,LB-1700,hardware,26,95000.0,0.2,76000.0,USD,one_time,2025-05-06,2028-05-06
LI-0500153,CON-070017,ACC-10004,AX-1600,hardware,23,10642.86,0.35,6917.86,USD,one_time,2025-05-06,2028-05-06
LI-0500154,CON-070018,ACC-10005,SUP-SIL-DC,support,2,23625.0,0.15,20081.25,USD,annual,2024-12-05,2027-12-05
LI-0500155,CON-070018,ACC-10005,SUP-GOL-EDGE,support,9,10000.0,0.25,7500.0,USD,annual,2024-12-05,2027-12-05
LI-0500156,CON-070018,ACC-10005,SUP-GOL-CORE,support,17,20000.0,0.15,17000.0,USD,annual,2024-12-05,2027-12-05
LI-0500157,CON-070018,ACC-10005,SD-1200,hardware,4,12285.71,0.15,10442.85,USD,one_time,2024-12-05,2027-12-05
LI-0500158,CON-070018,ACC-10005,SW-OBS-110,software_subscription,1269,48.75,0.1,43.88,USD,monthly,2024-12-05,2027-12-05
LI-0500159,CON-070018,ACC-10005,SUP-BRO-CORE,support,12,9000.0,0.1,8100.0,USD,annual,2024-12-05,2027-12-05
LI-0500160,CON-070018,ACC-10005,LB-1700,hardware,17,95000.0,0.1,85500.0,USD,one_time,2024-12-05,2027-12-05
LI-0500161,CON-070018,ACC-10005,AX-1100,hardware,29,3857.14,0.2,3085.71,USD,one_time,2024-12-05,2027-12-05
LI-0500162,CON-070018,ACC-10005,SW-NOC-110,software_subscription,1523,78.75,0.15,66.94,USD,monthly,2024-12-05,2027-12-05
LI-0500163,CON-070018,ACC-10005,SUP-GOL-DC,support,2,35000.0,0.15,29750.0,USD,annual,2024-12-05,2027-12-05
LI-0500164,CON-070019,ACC-10005,SW-OBS-140,software_subscription,331,120.0,0.15,102.0,USD,annual,2023-10-09,2025-10-09
LI-0500165,CON-070019,ACC-10005,SUP-PLA-CORE,support,24,27500.0,0.25,20625.0,USD,annual,2023-10-09,2025-10-09
LI-0500166,CON-070019,ACC-10005,PS-HCA,services,1,18000.0,0.0,18000.0,USD,one_time,2023-10-09,2025-10-09
LI-0500167,CON-070019,ACC-10005,SD-1500,hardware,12,21714.29,0.2,17371.43,USD,one_time,2023-10-09,2025-10-09
LI-0500168,CON-070019,ACC-10005,WAP-1500,hardware,9,1414.29,0.3,990.0,USD,one_time,2023-10-09,2025-10-09
LI-0500169,CON-070019,ACC-10005,PS-EE,services,1,320000.0,0.1,288000.0,USD,one_time,2023-10-09,2025-10-09
LI-0500170,CON-070019,ACC-10005,SW-ZTN-120,software_subscription,1466,87.5,0.1,78.75,USD,monthly,2023-10-09,2025-10-09
LI-0500171,CON-070019,ACC-10005,SW-OBS-120,software_subscription,1523,72.5,0.25,54.38,USD,monthly,2023-10-09,2025-10-09
LI-0500172,CON-070019,ACC-10005,SW-SDC-110,software_subscription,1924,350.0,0.2,280.0,USD,annual,2023-10-09,2025-10-09
LI-0500173,CON-070019,ACC-10005,CR-1100,hardware,29,64285.71,0.15,54642.85,USD,one_time,2023-10-09,2025-10-09
LI-0500174,CON-070020,ACC-10005,SUP-SIL-DC,support,22,23625.0,0.05,22443.75,USD,annual,2024-11-07,2025-11-07
LI-0500175,CON-070020,ACC-10005,AX-1400,hardware,7,7928.57,0.3,5550.0,USD,one_time,2024-11-07,2025-11-07
LI-0500176,CON-070020,ACC-10005,SUP-PLA-CORE,support,2,27500.0,0.15,23375.0,USD,annual,2024-11-07,2025-11-07
LI-0500177,CON-070020,ACC-10005,SW-SEC-110,software_subscription,1254,107.5,0.3,75.25,USD,annual,2024-11-07,2025-11-07
LI-0500178,CON-070020,ACC-10005,SUP-GOL-EDGE,support,4,10000.0,0.25,7500.0,USD,annual,2024-11-07,2025-11-07
LI-0500179,CON-070020,ACC-10005,FW-1100,hardware,14,16142.86,0.2,12914.29,USD,one_time,2024-11-07,2025-11-07
LI-0500180,CON-070020,ACC-10005,SUP-BRO-EDGE,support,17,4500.0,0.3,3150.0,USD,annual,2024-11-07,2025-11-07
LI-0500181,CON-070020,ACC-10005,WAP-1500,hardware,24,1414.29,0.2,1131.43,USD,one_time,2024-11-07,2025-11-07
LI-0500182,CON-070020,ACC-10005,SUP-SIL-CORE,support,24,13500.0,0.15,11475.0,USD,annual,2025-07-23,2025-11-07
LI-0500183,CON-070020,ACC-10005,CR-1500,hardware,27,141428.57,0.2,113142.86,USD,one_time,2024-11-07,2025-11-07
LI-0500184,CON-070021,ACC-10005,SUP-SIL-CORE,support,9,13500.0,0.1,12150.0,USD,annual,2027-07-12,2028-09-07
LI-0500185,CON-070021,ACC-10005,LB-1500,hardware,22,75000.0,0.2,60000.0,USD,one_time,2025-09-07,2028-09-07
LI-0500186,CON-070021,ACC-10005,SW-ZTN-140,software_subscription,489,140.0,0.1,126.0,USD,monthly,2025-09-07,2028-09-07
LI-0500187,CON-070021,ACC-10005,SW-OBS-140,software_subscription,665,120.0,0.15,102.0,USD,annual,2025-09-07,2028-09-07
LI-0500188,CON-070021,ACC-10005,CR-1400,hardware,4,122142.86,0.2,97714.29,USD,one_time,2025-09-07,2028-09-07
LI-0500189,CON-070021,ACC-10005,SW-SDC-110,software_subscription,954,350.0,0.2,280.0,USD,annual,2025-09-07,2028-09-07
LI-0500190,CON-070021,ACC-10005,PS-HCA,services,1,18000.0,0.05,17100.0,USD,one_time,2025-09-07,2028-09-07
LI-0500191,CON-070021,ACC-10005,SUP-GOL-DC,support,2,35000.0,0.15,29750.0,USD,annual,2025-09-07,2028-09-07
LI-0500192,CON-070021,ACC-10005,AX-1500,hardware,4,9285.71,0.0,9285.71,USD,one_time,2025-09-07,2028-09-07
LI-0500193,CON-070021,ACC-10005,SD-1100,hardware,24,9142.86,0.1,8228.57,USD,one_time,2025-09-07,2028-09-07
LI-0500194,CON-070021,ACC-10005,SW-OBS-110,software_subscription,633,48.75,0.0,48.75,USD,monthly,2025-09-07,2028-09-07
LI-0500195,CON-070021,ACC-10005,CR-1600,hardware,19,160714.29,0.25,120535.72,USD,one_time,2025-09-07,2028-09-07
LI-0500196,CON-070022,ACC-10005,SW-NOC-140,software_subscription,1476,180.0,0.1,162.0,USD,monthly,2024-04-13,2027-04-13
LI-0500197,CON-070022,ACC-10005,SUP-SIL-CORE,support,14,13500.0,0.35,8775.0,USD,annual,2024-04-13,2027-04-13
LI-0500198,CON-070022,ACC-10005,SW-ZTN-110,software_subscription,712,61.25,0.2,49.0,USD,monthly,2024-04-13,2027-04-13
LI-0500199,CON-070022,ACC-10005,SD-1200,hardware,12,12285.71,0.15,10442.85,USD,one_time,2024-04-13,2027-04-13
LI-0500200,CON-070022,ACC-10005,WAP-1400,hardware,24,1221.43,0.2,977.14,USD,one_time,2024-04-13,2027-04-13
LI-0500201,CON-070022,ACC-10005,SW-SEC-140,software_subscription,1979,250.0,0.0,250.0,USD,monthly,2024-04-13,2027-04-13
LI-0500202,CON-070022,ACC-10005,SUP-GOL-CORE,support,19,20000.0,0.1,18000.0,USD,annual,2024-04-13,2027-04-13
