contract_id,account_id,msa_ref,start_date,end_date,term_years,total_value_usd,currency,payment_terms_days,status,auto_renew,renewal_notice_days,sold_via_partner
CON-070029,ACC-10007,MSA-10007-3,2022-05-27,2025-05-27,3,4257589.34,USD,45,expired,False,90,False
CON-070030,ACC-10008,MSA-10008-3,2025-09-17,2026-09-17,1,926370.67,USD,60,active,True,90,False
CON-070031,ACC-10008,MSA-10008-9,2022-12-16,2025-12-16,3,2493600.03,USD,30,terminated,True,30,False
CON-070032,ACC-10008,MSA-10008-9,2025-05-08,2028-05-08,3,24753415.67,USD,30,active,True,90,False
CON-070033,ACC-10009,MSA-10009-2,2024-06-14,2029-06-14,5,28748193.75,USD,30,active,False,90,True
CON-070034,ACC-10009,MSA-10009-2,2025-06-19,2028-06-19,3,47779951.62,USD,30,active,False,60,True
CON-070035,ACC-10009,MSA-10009-4,2023-05-25,2024-05-25,1,5622685.08,USD,30,expired,True,90,True
CON-070036,ACC-10009,MSA-10009-8,2022-03-28,2024-03-28,2,11816942.68,USD,45,expired,True,90,True
CON-070037,ACC-10010,MSA-10010-8,2023-10-25,2028-10-25,5,5564423.38,USD,30,active,False,90,False
CON-070038,ACC-10010,MSA-10010-2,2022-11-12,2025-11-12,3,14439877.89,USD,60,expired,True,90,False
CON-070039,ACC-10010,MSA-10010-6,2025-08-01,2026-08-01,1,9082613.68,USD,60,active,False,90,True
CON-070040,ACC-10011,MSA-10011-5,2024-06-26,2027-06-26,3,11537857.66,USD,45,active,True,30,False
CON-070041,ACC-10011,MSA-10011-4,2023-03-31,2024-03-28,1,3675666.0,USD,30,terminated,False,60,False
CON-070042,ACC-10011,MSA-10011-4,2023-10-27,2028-10-27,5,5364266.37,USD,30,active,True,120,False
CON-070043,ACC-10011,MSA-10011-9,2025-10-11,2030-10-11,5,88733873.28,USD,45,active,True,90,False
CON-070044,ACC-10011,MSA-10011-4,2022-05-27,2025-05-27,3,5270030.06,USD,30,expired,True,90,False
CON-070045,ACC-10012,MSA-10012-9,2022-06-25,2023-06-25,1,805403.51,USD,30,expired,True,90,True
CON-070046,ACC-10012,MSA-10012-1,2025-01-24,2030-01-24,5,4641499.52,USD,30,active,True,60,True
CON-070047,ACC-10012,MSA-10012-7,2025-08-22,2026-08-22,1,4442204.87,USD,45,active,False,90,True
CON-070048,ACC-10012,MSA-10012-4,2022-03-02,2025-03-02,3,17576770.12,USD,30,expired,False,90,False
CON-070049,ACC-10013,MSA-10013-5,2024-12-08,2026-12-08,2,16586009.97,USD,30,active,True,30,False
CON-070050,ACC-10013,MSA-10013-8,2023-01-20,2024-01-20,1,777666.54,USD,30,expired,True,30,False
CON-070051,ACC-10013,MSA-10013-7,2025-05-23,2028-05-23,3,72466281.88,USD,30,active,False,90,False
CON-070052,ACC-10013,MSA-10013-9,2025-03-17,2026-03-17,1,14124940.16,USD,30,expired,True,90,False
CON-070053,ACC-10014,MSA-10014-2,2022-02-21,2025-02-21,3,24442095.86,USD,45,expired,False,30,True
CON-070054,ACC-10014,MSA-10014-1,2023-02-20,2024-02-20,1,1373691.83,USD,45,expired,False,90,True
CON-070055,ACC-10014,MSA-10014-9,2022-03-17,2025-03-17,3,1693150.59,USD,30,expired,True,30,True
CON-070056,ACC-10014,MSA-10014-6,2024-07-21,2026-07-21,2,7311888.79,USD,45,active,True,120,False
CON-070057,ACC-10015,MSA-10015-7,2023-12-26,2028-12-26,5,93264955.75,USD,60,active,True,60,False
CON-070058,ACC-10015,MSA-10015-3,2023-11-15,2026-11-15,3,53148313.55,USD,30,active,True,60,False
CON-070059,ACC-10015,MSA-10015-5,2025-07-08,2027-07-08,2,31981134.72,USD,30,active,True,60,False
CON-070060,ACC-10015,MSA-10015-9,2024-10-14,2026-10-14,2,3523277.39,USD,30,active,True,90,False
CON-070061,ACC-10015,MSA-10015-5,2023-11-02,2026-11-02,3,14222894.5,USD,30,active,True,90,False
CON-070062,ACC-10016,MSA-10016-6,2023-03-06,2025-03-06,2,8974494.09,USD,45,expired,True,120,False
CON-070063,ACC-10016,MSA-10016-9,2022-04-14,2027-04-14,5,5113024.96,USD,30,active,True,90,False
CON-070064,ACC-10016,MSA-10016-2,2024-08-11,2025-08-11,1,8874504.57,USD,30,expired,False,90,False
CON-070065,ACC-10016,MSA-10016-7,2024-12-27,2027-12-27,3,32902165.5,USD,30,active,True,90,False
CON-070066,ACC-10017,MSA-10017-1,2025-05-06,2027-05-06,2,4154814.82,USD,45,active,False,30,False
CON-070067,ACC-10017,MSA-10017-7,2024-11-11,2027-11-11,3,4415564.08,USD,45,active,True,90,True
CON-070068,ACC-10017,MSA-10017-7,2025-09-18,2030-09-18,5,12698311.91,USD,60,active,False,30,True
CON-070069,ACC-10018,MSA-10018-9,2024-05-21,2029-05-21,5,55002222.16,USD,45,active,False,60,False
CON-070070,ACC-10018,MSA-10018-5,2023-10-02,2025-10-02,2,11826027.6,USD,45,expired,True,90,False
CON-070071,ACC-10018,MSA-10018-8,2022-08-17,2025-08-17,3,36106589.08,USD,30,expired,False,90,False
CON-070072,ACC-10018,MSA-10018-5,2024-12-26,2025-12-26,1,9004560.0,USD,60,expired,True,90,False
CON-070073,ACC-10018,MSA-10018-9,2023-07-01,2028-07-01,5,7826308.92,USD,45,active,True,60,False
CON-070074,ACC-10019,MSA-10019-2,2023-08-04,2024-08-04,1,5607513.86,USD,60,expired,False,90,False
CON-070075,ACC-10019,MSA-10019-2,2023-07-21,2026-07-21,3,6115084.51,USD,30,active,True,90,False
CON-070076,ACC-10019,MSA-10019-5,2022-05-25,2023-05-25,1,10251298.11,USD,30,expired,False,60,False
CON-070077,ACC-10019,MSA-10019-8,2022-12-28,2023-12-28,1,7855069.67,USD,30,expired,False,120,False
CON-070078,ACC-10020,MSA-10020-2,2025-04-01,2028-04-01,3,2056826.64,USD,60,active,True,90,False
CON-070079,ACC-10020,MSA-10020-5,2025-05-03,2028-05-03,3,14827428.76,USD,45,active,True,60,False
CON-070080,ACC-10020,MSA-10020-9,2024-09-01,2027-09-01,3,3642094.34,USD,30,active,True,30,False
CON-070081,ACC-10020,MSA-10020-6,2022-08-29,2024-08-28,2,5459778.39,USD,45,expired,True,90,False
CON-070082,ACC-10020,MSA-10020-1,2025-10-18,2026-10-18,1,2178156.52,USD,45,active,False,90,False
CON-070083,ACC-10021,MSA-10021-1,2022-08-16,2027-08-16,5,24081830.35,USD,30,active,True,60,False
CON-070084,ACC-10021,MSA-10021-7,2022-04-01,2023-04-01,1,514360.76,USD,60,expired,False,90,False
CON-070085,ACC-10021,MSA-10021-6,2022-09-29,2027-09-28,5,3440934.56,USD,30,active,True,30,False
CON-070086,ACC-10022,MSA-10022-5,2023-07-07,2025-07-07,2,11094421.99,USD,45,expired,True,60,False
CON-070087,ACC-10022,MSA-10022-3,2024-02-03,2027-02-03,3,11035052.62,USD,60,active,False,120,False
CON-070088,ACC-10022,MSA-10022-3,2024-12-02,2027-12-02,3,12427699.56,USD,30,active,False,30,False
CON-070089,ACC-10022,MSA-10022-3,2023-08-08,2024-08-08,1,4020524.59,USD,30,expired,True,30,False
CON-070090,ACC-10023,MSA-10023-3,2024-12-28,2027-12-28,3,21597723.67,USD,30,active,False,90,True
CON-070091,ACC-10023,MSA-10023-4,2024-06-24,2025-06-24,1,857000.0,USD,30,expired,False,90,True
CON-070092,ACC-10023,MSA-10023-5,2023-03-31,2026-03-28,3,21599919.62,USD,45,expired,False,90,False
CON-070093,ACC-10023,MSA-10023-8,2025-02-22,2030-02-22,5,68483742.84,USD,45,active,True,120,True
CON-070094,ACC-10023,MSA-10023-6,2023-09-11,2026-09-11,3,66382030.0,USD,60,active,False,90,False
CON-070095,ACC-10024,MSA-10024-5,2023-06-13,2025-06-13,2,32943229.5,GBP,45,terminated,True,30,False
CON-070096,ACC-10024,MSA-10024-1,2024-09-20,2026-09-20,2,4399889.55,GBP,45,active,False,120,False
CON-070097,ACC-10024,MSA-10024-1,2022-08-31,2023-08-28,1,1000213.92,GBP,30,terminated,True,60,False
CON-070098,ACC-10024,MSA-10024-5,2023-06-03,2026-06-03,3,12092991.0,GBP,30,active,False,90,False
CON-070099,ACC-10024,MSA-10024-2,2023-12-14,2025-12-14,2,9241566.42,GBP,90,terminated,True,30,False
CON-070100,ACC-10025,MSA-10025-8,2024-05-18,2029-05-18,5,4050343.78,USD,30,active,True,30,False
CON-070101,ACC-10025,MSA-10025-4,2024-04-14,2026-04-14,2,21629937.16,USD,30,expired,True,60,False
CON-070102,ACC-10025,MSA-10025-8,2025-05-03,2027-05-03,2,41841136.36,USD,45,active,False,90,False
CON-070103,ACC-10025,MSA-10025-7,2023-01-02,2028-01-02,5,35364633.82,USD,45,active,True,90,False
CON-070104,ACC-10026,MSA-10026-6,2025-02-14,2028-02-14,3,8664468.61,USD,30,active,False,30,False
CON-070105,ACC-10026,MSA-10026-7,2024-04-23,2027-04-23,3,866328.52,USD,30,active,False,90,False
CON-070106,ACC-10026,MSA-10026-7,2023-10-23,2026-10-23,3,11067197.4,USD,45,active,False,90,False
CON-070107,ACC-10027,MSA-10027-8,2024-04-03,2027-04-03,3,35702442.87,USD,30,active,True,90,False
CON-070108,ACC-10027,MSA-10027-2,2022-11-05,2024-11-05,2,13866578.06,USD,30,expired,False,90,False
CON-070109,ACC-10027,MSA-10027-8,2024-04-13,2026-04-13,2,9855659.48,USD,30,expired,True,60,False
CON-070110,ACC-10027,MSA-10027-6,2025-04-22,2026-04-22,1,8675690.94,USD,30,expired,False,120,False
CON-070111,ACC-10028,MSA-10028-4,2025-05-25,2030-05-25,5,1521445.49,USD,30,active,False,120,False
CON-070112,ACC-10028,MSA-10028-2,2024-03-06,2025-03-06,1,3733293.04,USD,60,expired,False,90,False
CON-070113,ACC-10028,MSA-10028-6,2024-10-03,2027-10-03,3,18464694.16,USD,30,active,True,90,False
CON-070114,ACC-10029,MSA-10029-5,2022-12-22,2023-12-22,1,7888780.33,USD,30,expired,True,60,False
CON-070115,ACC-10029,MSA-10029-5,2024-10-09,2025-10-09,1,2570458.72,USD,30,expired,True,60,False
CON-070116,ACC-10029,MSA-10029-7,2025-02-14,2028-02-14,3,7462800.0,USD,45,active,False,60,False
CON-070117,ACC-10029,MSA-10029-8,2022-09-28,2024-09-28,2,13449153.47,USD,45,expired,True,60,False
CON-070118,ACC-10029,MSA-10029-2,2022-11-01,2025-11-01,3,994526.8,USD,30,terminated,False,30,False
CON-070119,ACC-10030,MSA-10030-1,2022-07-11,2024-07-11,2,3410903.0,USD,45,expired,True,90,False
CON-070120,ACC-10030,MSA-10030-6,2025-10-25,2030-10-25,5,2499150.0,USD,45,active,False,60,False
CON-070121,ACC-10030,MSA-10030-8,2025-09-05,2027-09-05,2,8990007.66,USD,60,active,False,90,False
CON-070122,ACC-10031,MSA-10031-1,2025-05-14,2030-05-14,5,76437400.0,USD,30,active,False,90,False
CON-070123,ACC-10031,MSA-10031-5,2022-04-03,2025-04-03,3,7208801.63,USD,30,expired,False,60,False
CON-070124,ACC-10031,MSA-10031-9,2022-08-06,2024-08-06,2,13052050.16,USD,30,expired,True,30,False
CON-070125,ACC-10031,MSA-10031-8,2023-09-09,2028-09-09,5,35727287.8,USD,30,active,True,120,False
CON-070126,ACC-10032,MSA-10032-3,2024-05-14,2025-05-14,1,7971653.46,USD,60,expired,True,90,False
CON-070127,ACC-10032,MSA-10032-9,2025-05-25,2026-05-25,1,2054254.58,USD,90,active,False,120,False
CON-070128,ACC-10032,MSA-10032-2,2022-08-02,2024-08-02,2,3628234.27,USD,30,expired,False,120,False
CON-070129,ACC-10033,MSA-10033-7,2023-08-22,2028-08-22,5,24781532.47,USD,30,active,False,60,False
CON-070130,ACC-10033,MSA-10033-7,2024-11-23,2025-11-23,1,6052642.79,USD,60,expired,False,60,False
CON-070131,ACC-10033,MSA-10033-5,2023-09-10,2025-09-10,2,1618122.0,USD,30,expired,True,90,False
CON-070132,ACC-10033,MSA-10033-7,2023-09-15,2026-09-15,3,7403546.89,USD,45,active,True,60,False
CON-070133,ACC-10034,MSA-10034-3,2024-11-23,2025-11-23,1,5131670.01,USD,45,terminated,True,120,True
CON-070134,ACC-10034,MSA-10034-2,2024-09-19,2027-09-19,3,8108902.12,USD,45,active,True,90,False
CON-070135,ACC-10034,MSA-10034-3,2024-02-06,2027-02-06,3,5160245.85,USD,30,active,False,30,True
CON-070136,ACC-10035,MSA-10035-1,2025-07-03,2026-07-03,1,8484535.49,EUR,30,active,True,60,False
CON-070137,ACC-10035,MSA-10035-3,2022-02-17,2024-02-17,2,6628644.0,EUR,45,terminated,True,60,False
CON-070138,ACC-10035,MSA-10035-2,2023-10-26,2024-10-26,1,2711280.76,EUR,60,expired,True,90,False
CON-070139,ACC-10035,MSA-10035-2,2025-02-10,2027-02-10,2,8504803.73,EUR,45,active,True,60,False
CON-070140,ACC-10036,MSA-10036-8,2025-02-13,2027-02-13,2,25218930.5,EUR,90,active,False,90,False
CON-070141,ACC-10036,MSA-10036-8,2023-12-24,2025-12-24,2,8689892.78,EUR,30,expired,True,30,False
CON-070142,ACC-10036,MSA-10036-7,2023-02-01,2026-02-01,3,28700818.51,EUR,60,expired,True,30,False
CON-070143,ACC-10037,MSA-10037-1,2023-02-03,2028-02-03,5,13993166.88,USD,30,active,False,90,False
CON-070144,ACC-10037,MSA-10037-1,2024-11-30,2027-11-28,3,9046864.91,USD,30,active,False,60,False
CON-070145,ACC-10037,MSA-10037-6,2023-08-27,2025-08-27,2,13225619.37,USD,45,terminated,True,30,False
CON-070146,ACC-10037,MSA-10037-8,2025-06-25,2028-06-25,3,4988584.47,USD,45,active,False,90,False
CON-070147,ACC-10038,MSA-10038-4,2023-11-10,2025-11-10,2,14183374.14,USD,30,expired,False,120,False
CON-070148,ACC-10038,MSA-10038-3,2022-12-23,2027-12-23,5,15166126.71,USD,30,active,False,90,False
CON-070149,ACC-10038,MSA-10038-6,2023-01-28,2028-01-28,5,7475157.36,USD,30,active,True,30,False
CON-070150,ACC-10038,MSA-10038-8,2024-09-16,2026-09-16,2,13667483.54,USD,60,active,True,90,False
CON-070151,ACC-10039,MSA-10039-5,2024-06-23,2027-06-23,3,4415429.17,USD,45,active,True,90,False
CON-070152,ACC-10039,MSA-10039-9,2025-05-22,2027-05-22,2,2069657.12,USD,30,active,False,90,False
CON-070153,ACC-10039,MSA-10039-6,2025-02-05,2028-02-05,3,16379208.7,USD,30,active,False,120,False
CON-070154,ACC-10039,MSA-10039-2,2025-05-19,2027-05-19,2,11904598.97,USD,30,active,True,90,False
CON-070155,ACC-10040,MSA-10040-5,2022-05-21,2025-05-21,3,16226752.95,USD,30,terminated,False,60,False
CON-070156,ACC-10040,MSA-10040-4,2024-07-23,2027-07-23,3,2748414.28,USD,30,active,False,30,False
CON-070157,ACC-10040,MSA-10040-5,2024-04-22,2026-04-22,2,29085087.0,USD,60,terminated,False,60,False
CON-070158,ACC-10040,MSA-10040-8,2022-12-16,2023-12-16,1,2093799.36,USD,30,expired,True,90,False
CON-070159,ACC-10041,MSA-10041-4,2025-10-14,2027-10-14,2,13572181.0,USD,45,active,False,90,False
CON-070160,ACC-10041,MSA-10041-2,2025-01-14,2026-01-14,1,3779892.72,USD,30,expired,False,90,False
CON-070161,ACC-10041,MSA-10041-7,2025-07-16,2028-07-16,3,13724639.8,USD,30,active,True,120,False
CON-070162,ACC-10042,MSA-10042-4,2025-05-09,2028-05-09,3,11084000.49,USD,30,active,True,120,False
CON-070163,ACC-10042,MSA-10042-9,2022-12-22,2025-12-22,3,11615147.25,USD,30,expired,False,90,False
CON-070164,ACC-10042,MSA-10042-3,2023-06-11,2028-06-11,5,46329222.42,USD,30,active,True,120,False
CON-070165,ACC-10043,MSA-10043-7,2023-12-15,2025-12-15,2,41598268.09,USD,30,expired,True,30,False
CON-070166,ACC-10043,MSA-10043-4,2023-09-11,2028-09-11,5,87451567.95,USD,30,active,True,60,False
CON-070167,ACC-10043,MSA-10043-8,2022-05-01,2023-05-01,1,4021896.46,USD,30,expired,True,120,False
CON-070168,ACC-10043,MSA-10043-5,2022-07-26,2023-07-26,1,240621.3,USD,30,expired,False,30,False
CON-070169,ACC-10044,MSA-10044-8,2025-05-22,2027-05-22,2,25043562.1,EUR,30,active,True,90,True
CON-070170,ACC-10044,MSA-10044-1,2025-09-14,2030-09-14,5,31571840.79,EUR,45,active,True,90,True
CON-070171,ACC-10044,MSA-10044-9,2023-10-31,2025-10-28,2,21819964.92,EUR,30,expired,False,90,False
CON-070172,ACC-10044,MSA-10044-7,2024-06-13,2026-06-13,2,8479729.42,EUR,90,active,True,60,False
CON-070173,ACC-10045,MSA-10045-6,2022-09-16,2023-09-16,1,9499955.49,USD,30,expired,True,90,False
CON-070174,ACC-10045,MSA-10045-4,2023-03-08,2026-03-08,3,9303635.77,USD,45,expired,False,90,False
CON-070175,ACC-10045,MSA-10045-7,2025-01-27,2030-01-27,5,50270392.38,USD,30,active,False,120,False
CON-070176,ACC-10045,MSA-10045-7,2022-12-11,2025-12-11,3,4031406.0,USD,30,expired,True,90,False
CON-070177,ACC-10046,MSA-10046-2,2024-09-27,2027-09-27,3,16806305.6,USD,45,active,False,90,False
CON-070178,ACC-10046,MSA-10046-1,2023-01-06,2026-01-06,3,21179726.26,USD,30,expired,False,30,False
CON-070179,ACC-10046,MSA-10046-1,2023-10-06,2026-10-06,3,1284478.52,USD,30,active,True,90,False
CON-070180,ACC-10047,MSA-10047-7,2024-11-29,2025-11-28,1,4765596.0,USD,30,terminated,True,90,False
CON-070181,ACC-10047,MSA-10047-4,2023-06-07,2026-06-07,3,12855068.46,USD,30,active,True,30,True
CON-070182,ACC-10047,MSA-10047-3,2022-08-04,2024-08-04,2,3380371.0,USD,30,terminated,True,90,False
CON-070183,ACC-10048,MSA-10048-2,2025-10-20,2027-10-20,2,15019049.75,USD,30,active,False,60,False
CON-070184,ACC-10048,MSA-10048-9,2024-04-12,2026-04-12,2,5540569.92,USD,30,expired,False,60,False
CON-070185,ACC-10048,MSA-10048-8,2023-05-16,2025-05-16,2,4099921.61,USD,30,expired,True,120,False
CON-070186,ACC-10048,MSA-10048-8,2023-12-26,2025-12-26,2,3200184.93,USD,30,expired,True,90,False
CON-070187,ACC-10049,MSA-10049-2,2024-08-21,2025-08-21,1,4981652.8,USD,60,expired,True,120,False
CON-070188,ACC-10049,MSA-10049-5,2025-01-31,2028-01-28,3,17946665.02,USD,30,active,False,120,False
CON-070189,ACC-10049,MSA-10049-1,2023-06-24,2028-06-24,5,3579500.03,USD,30,active,True,60,False
CON-070190,ACC-10049,MSA-10049-8,2024-12-11,2026-12-11,2,3523065.2,USD,45,active,True,60,False
CON-070191,ACC-10049,MSA-10049-9,2025-05-27,2030-05-27,5,22675951.42,USD,30,active,False,120,False
CON-070192,ACC-10050,MSA-10050-3,2023-03-07,2025-03-07,2,22610363.06,EUR,60,expired,False,60,False
CON-070193,ACC-10050,MSA-10050-4,2025-11-27,2027-11-27,2,2172690.78,EUR,30,active,True,90,False
CON-070194,ACC-10050,MSA-10050-9,2022-11-24,2025-11-24,3,20725708.11,EUR,30,expired,True,90,False
CON-070195,ACC-10051,MSA-10051-4,2025-06-06,2026-06-06,1,366218.97,USD,30,active,False,120,False
CON-070196,ACC-10052,MSA-10052-7,2023-04-20,2024-04-20,1,421731.01,USD,30,expired,True,90,False
CON-070197,ACC-10052,MSA-10052-5,2022-08-14,2025-08-14,3,4055569.4,USD,30,expired,True,90,False
CON-070198,ACC-10053,MSA-10053-3,2022-08-19,2025-08-19,3,2975376.14,USD,45,terminated,False,90,False
CON-070199,ACC-10053,MSA-10053-9,2022-10-28,2023-10-28,1,5333608.56,USD,90,expired,True,90,False
CON-070200,ACC-10054,MSA-10054-3,2025-01-03,2028-01-03,3,7091079.12,USD,30,active,True,90,False
CON-070201,ACC-10054,MSA-10054-6,2022-10-23,2023-10-23,1,2544097.09,USD,60,terminated,True,30,False
CON-070202,ACC-10054,MSA-10054-8,2025-08-13,2028-08-13,3,489678.58,USD,30,active,False,30,False
CON-070203,ACC-10054,MSA-10054-3,2023-06-13,2026-06-13,3,26180922.09,USD,30,active,True,90,False
CON-070204,ACC-10055,MSA-10055-2,2022-01-23,2024-01-23,2,1054359.08,USD,45,expired,True,30,False
CON-070205,ACC-10055,MSA-10055-3,2024-10-28,2027-10-28,3,6753227.15,USD,30,active,False,60,False
CON-070206,ACC-10056,MSA-10056-2,2024-10-24,2027-10-24,3,10445399.54,USD,30,active,True,30,False
CON-070207,ACC-10056,MSA-10056-1,2024-08-01,2029-08-01,5,29195042.85,USD,30,active,False,90,False
CON-070208,ACC-10057,MSA-10057-8,2023-05-17,2026-05-17,3,16106667.24,USD,30,active,True,90,False
CON-070209,ACC-10058,MSA-10058-7,2022-03-06,2027-03-06,5,9482652.5,USD,30,active,False,30,False
CON-070210,ACC-10058,MSA-10058-6,2025-02-22,2030-02-22,5,12845816.3,USD,30,active,False,60,False
CON-070211,ACC-10059,MSA-10059-8,2023-09-21,2024-09-21,1,5027069.26,USD,60,expired,True,90,False
CON-070212,ACC-10059,MSA-10059-7,2022-03-08,2025-03-08,3,5696788.64,USD,30,expired,True,90,False
CON-070213,ACC-10060,MSA-10060-6,2022-12-22,2024-12-22,2,2425762.84,GBP,45,terminated,True,30,False
CON-070214,ACC-10060,MSA-10060-5,2025-08-29,2028-08-28,3,1121387.69,GBP,30,active,True,30,False
CON-070215,ACC-10060,MSA-10060-8,2023-01-05,2026-01-05,3,2256030.33,GBP,45,expired,False,60,False
CON-070216,ACC-10060,MSA-10060-3,2023-01-04,2024-01-04,1,1368172.12,GBP,30,expired,True,30,False
CON-070217,ACC-10061,MSA-10061-5,2023-03-21,2026-03-21,3,1315575.5,USD,45,expired,True,60,False
CON-070218,ACC-10061,MSA-10061-1,2024-10-12,2027-10-12,3,4530189.29,USD,30,active,False,30,False
CON-070219,ACC-10062,MSA-10062-6,2023-08-25,2024-08-25,1,2395068.98,GBP,30,terminated,False,90,False
CON-070220,ACC-10062,MSA-10062-7,2023-02-10,2028-02-10,5,7404548.58,GBP,30,active,True,30,False
CON-070221,ACC-10062,MSA-10062-6,2024-12-28,2026-12-28,2,3711341.6,GBP,30,active,False,60,False
CON-070222,ACC-10063,MSA-10063-8,2022-04-18,2023-04-18,1,1070507.16,USD,45,expired,False,30,False
CON-070223,ACC-10064,MSA-10064-9,2024-09-15,2026-09-15,2,1196284.57,USD,45,active,True,120,False
CON-070224,ACC-10064,MSA-10064-4,2023-10-04,2024-10-04,1,867127.83,USD,60,expired,True,120,False
CON-070225,ACC-10065,MSA-10065-2,2022-02-28,2023-02-28,1,1047277.37,USD,60,terminated,True,60,True
CON-070226,ACC-10065,MSA-10065-1,2023-07-19,2026-07-19,3,9492292.51,USD,90,active,False,90,True
CON-070227,ACC-10065,MSA-10065-9,2024-08-28,2027-08-28,3,11152981.03,USD,30,active,False,90,True
CON-070228,ACC-10066,MSA-10066-3,2024-04-20,2026-04-20,2,2728538.86,GBP,30,expired,True,60,False
CON-070229,ACC-10067,MSA-10067-8,2023-08-17,2026-08-17,3,5402991.98,GBP,30,active,False,30,False
CON-070230,ACC-10067,MSA-10067-1,2023-05-25,2024-05-25,1,7530932.71,GBP,30,expired,False,90,False
CON-070231,ACC-10068,MSA-10068-6,2022-10-15,2023-10-15,1,1708158.5,USD,45,expired,False,60,False
CON-070232,ACC-10068,MSA-10068-2,2022-09-06,2027-09-06,5,10328740.93,USD,30,active,True,90,False
CON-070233,ACC-10068,MSA-10068-7,2025-07-26,2028-07-26,3,2989421.64,USD,30,active,True,30,True
CON-070234,ACC-10069,MSA-10069-5,2025-03-01,2026-03-01,1,1519579.92,USD,30,expired,False,60,False
CON-070235,ACC-10069,MSA-10069-8,2022-05-20,2024-05-20,2,8202634.24,USD,30,expired,True,120,False
CON-070236,ACC-10070,MSA-10070-8,2024-10-02,2027-10-02,3,2941159.28,USD,30,active,True,90,False
CON-070237,ACC-10071,MSA-10071-1,2025-03-11,2027-03-11,2,2310782.47,USD,45,active,True,90,True
CON-070238,ACC-10071,MSA-10071-1,2025-01-25,2030-01-25,5,8629929.97,USD,45,active,False,120,False
CON-070239,ACC-10071,MSA-10071-3,2023-02-06,2025-02-06,2,13325974.25,USD,45,expired,True,90,True
CON-070240,ACC-10072,MSA-10072-9,2023-12-18,2025-12-18,2,1801698.58,USD,30,expired,True,90,False
