change_order_id,contract_id,account_id,change_type,effective_date,delta_value_usd,notes
CO-700063,CON-070408,ACC-10153,tier_upgrade,2023-06-08,225381.99,Support tier upgraded
CO-700064,CON-070357,ACC-10128,add_skus,2024-01-30,10359.33,Customer added new product SKUs mid-term
CO-700065,CON-071044,ACC-10435,add_skus,2024-05-25,70311.33,Customer added new product SKUs mid-term
CO-700066,CON-071006,ACC-10418,add_skus,2026-03-05,61830.3,Customer added new product SKUs mid-term
CO-700067,CON-070664,ACC-10272,add_skus,2025-10-25,173011.96,Customer added new product SKUs mid-term
CO-700068,CON-070910,ACC-10378,increase_qty,2022-06-27,205572.57,Quantity increase on existing line items
CO-700069,CON-070619,ACC-10250,tier_upgrade,2025-03-20,161280.55,Support tier upgraded
CO-700070,CON-070409,ACC-10153,increase_qty,2024-11-23,233445.81,Quantity increase on existing line items
CO-700071,CON-070742,ACC-10309,increase_qty,2023-11-13,238877.31,Quantity increase on existing line items
CO-700072,CON-070650,ACC-10262,increase_qty,2025-09-26,154555.08,Quantity increase on existing line items
CO-700073,CON-070697,ACC-10286,tier_upgrade,2026-05-19,29940.44,Support tier upgraded
CO-700074,CON-071033,ACC-10430,add_skus,2025-12-28,30874.81,Customer added new product SKUs mid-term
CO-700075,CON-070842,ACC-10352,add_skus,2023-09-09,242773.31,Customer added new product SKUs mid-term
CO-700076,CON-070543,ACC-10218,increase_qty,2022-08-25,244611.66,Quantity increase on existing line items
CO-700077,CON-070658,ACC-10268,increase_qty,2026-07-25,132900.56,Quantity increase on existing line items
CO-700078,CON-071113,ACC-10465,increase_qty,2025-03-17,183686.41,Quantity increase on existing line items
CO-700079,CON-071001,ACC-10416,tier_upgrade,2023-01-10,21534.83,Support tier upgraded
CO-700080,CON-070380,ACC-10138,add_skus,2026-08-16,239327.76,Customer added new product SKUs mid-term
CO-700081,CON-070087,ACC-10022,increase_qty,2026-01-11,159988.94,Quantity increase on existing line items
CO-700082,CON-070104,ACC-10026,increase_qty,2027-11-19,46258.03,Quantity increase on existing line items
CO-700083,CON-070243,ACC-10074,add_skus,2025-07-24,27249.21,Customer added new product SKUs mid-term
CO-700084,CON-070428,ACC-10165,add_skus,2025-08-31,247720.58,Customer added new product SKUs mid-term
CO-700085,CON-070547,ACC-10221,tier_upgrade,2025-09-01,148357.97,Support tier upgraded
CO-700086,CON-070740,ACC-10308,increase_qty,2026-06-03,11733.41,Quantity increase on existing line items
CO-700087,CON-070433,ACC-10167,add_skus,2024-03-30,21894.4,Customer added new product SKUs mid-term
CO-700088,CON-070570,ACC-10231,early_termination_partial,2026-03-05,44225.84,Partial termination of select line items
CO-700089,CON-070276,ACC-10090,add_skus,2024-09-08,236307.06,Customer added new product SKUs mid-term
CO-700090,CON-070402,ACC-10150,increase_qty,2026-05-22,31576.37,Quantity increase on existing line items
CO-700091,CON-071023,ACC-10424,increase_qty,2023-04-15,138306.4,Quantity increase on existing line items
CO-700092,CON-070995,ACC-10414,add_skus,2025-08-22,45111.06,Customer added new product SKUs mid-term
CO-700093,CON-071158,ACC-10482,add_skus,2025-10-19,231418.65,Customer added new product SKUs mid-term
CO-700094,CON-070176,ACC-10045,increase_qty,2023-09-20,34799.09,Quantity increase on existing line items
CO-700095,CON-071072,ACC-10447,add_skus,2025-12-10,81219.72,Customer added new product SKUs mid-term
CO-700096,CON-070812,ACC-10340,increase_qty,2022-08-05,212879.8,Quantity increase on existing line items
CO-700097,CON-070823,ACC-10345,tier_upgrade,2025-02-10,24432.06,Support tier upgraded
CO-700098,CON-070753,ACC-10314,add_skus,2023-09-04,123367.43,Customer added new product SKUs mid-term
CO-700099,CON-070582,ACC-10237,increase_qty,2025-03-20,159328.13,Quantity increase on existing line items
CO-700100,CON-070083,ACC-10021,increase_qty,2027-05-30,7091.69,Quantity increase on existing line items
CO-700101,CON-070261,ACC-10082,add_skus,2024-12-29,167285.91,Customer added new product SKUs mid-term
CO-700102,CON-070541,ACC-10217,increase_qty,2025-02-14,24149.26,Quantity increase on existing line items
CO-700103,CON-070142,ACC-10036,increase_qty,2025-08-31,179176.73,Quantity increase on existing line items
CO-700104,CON-071190,ACC-10497,add_skus,2026-07-06,9238.81,Customer added new product SKUs mid-term
CO-700105,CON-070294,ACC-10097,increase_qty,2027-12-18,13729.9,Quantity increase on existing line items
CO-700106,CON-070192,ACC-10050,early_termination_partial,2023-12-27,147723.61,Partial termination of select line items
CO-700107,CON-070971,ACC-10404,increase_qty,2025-04-22,64901.75,Quantity increase on existing line items
CO-700108,CON-070836,ACC-10349,add_skus,2026-07-22,226616.1,Customer added new product SKUs mid-term
CO-700109,CON-070051,ACC-10013,increase_qty,2026-05-01,89980.48,Quantity increase on existing line items
CO-700110,CON-071049,ACC-10437,increase_qty,2024-12-19,23752.66,Quantity increase on existing line items
CO-700111,CON-070320,ACC-10109,add_skus,2025-09-18,209308.87,Customer added new product SKUs mid-term
CO-700112,CON-070471,ACC-10183,increase_qty,2025-08-29,56214.32,Quantity increase on existing line items
CO-700113,CON-070830,ACC-10347,increase_qty,2025-02-18,175576.25,Quantity increase on existing line items
CO-700114,CON-071120,ACC-10467,add_skus,2025-05-08,71235.42,Customer added new product SKUs mid-term
CO-700115,CON-070253,ACC-10078,increase_qty,2025-07-05,5822.13,Quantity increase on existing line items
CO-700116,CON-071056,ACC-10440,increase_qty,2023-08-20,145116.94,Quantity increase on existing line items
CO-700117,CON-071189,ACC-10497,increase_qty,2023-09-10,69376.41,Quantity increase on existing line items
CO-700118,CON-070349,ACC-10124,increase_qty,2025-04-08,115534.36,Quantity increase on existing line items
CO-700119,CON-070175,ACC-10045,tier_upgrade,2029-11-28,73871.43,Support tier upgraded
CO-700120,CON-070072,ACC-10018,increase_qty,2025-10-08,58140.17,Quantity increase on existing line items
CO-700121,CON-070731,ACC-10304,increase_qty,2024-10-14,6495.62,Quantity increase on existing line items
CO-700122,CON-070549,ACC-10222,add_skus,2022-10-13,17779.2,Customer added new product SKUs mid-term
CO-700123,CON-070709,ACC-10292,tier_upgrade,2026-03-07,135622.17,Support tier upgraded
CO-700124,CON-070067,ACC-10017,add_skus,2027-06-27,124079.46,Customer added new product SKUs mid-term
CO-700125,CON-070375,ACC-10137,add_skus,2023-09-08,161070.15,Customer added new product SKUs mid-term
CO-700126,CON-070899,ACC-10374,tier_upgrade,2028-06-08,187710.91,Support tier upgraded
CO-700127,CON-070940,ACC-10391,add_skus,2025-12-26,53289.79,Customer added new product SKUs mid-term
CO-700128,CON-070915,ACC-10379,tier_upgrade,2025-07-23,204373.37,Support tier upgraded
CO-700129,CON-070530,ACC-10213,increase_qty,2024-06-18,24508.32,Quantity increase on existing line items
CO-700130,CON-070148,ACC-10038,add_skus,2025-04-03,47338.38,Customer added new product SKUs mid-term
CO-700131,CON-070423,ACC-10162,increase_qty,2027-03-12,233087.62,Quantity increase on existing line items
CO-700132,CON-070884,ACC-10367,add_skus,2026-06-13,195168.54,Customer added new product SKUs mid-term
CO-700133,CON-070551,ACC-10222,increase_qty,2024-05-06,199780.64,Quantity increase on existing line items
CO-700134,CON-070507,ACC-10201,tier_upgrade,2024-09-04,64266.89,Support tier upgraded
CO-700135,CON-070641,ACC-10259,increase_qty,2026-01-08,229304.81,Quantity increase on existing line items
CO-700136,CON-070613,ACC-10247,tier_upgrade,2024-12-23,204704.61,Support tier upgraded
CO-700137,CON-070215,ACC-10060,tier_upgrade,2024-06-22,221343.68,Support tier upgraded
CO-700138,CON-070981,ACC-10407,increase_qty,2026-06-01,163186.27,Quantity increase on existing line items
CO-700139,CON-070048,ACC-10012,add_skus,2024-05-08,12839.59,Customer added new product SKUs mid-term
CO-700140,CON-070896,ACC-10373,increase_qty,2026-03-22,41826.05,Quantity increase on existing line items
CO-700141,CON-070941,ACC-10391,increase_qty,2023-03-22,234157.13,Quantity increase on existing line items
CO-700142,CON-070052,ACC-10013,increase_qty,2025-05-25,110558.18,Quantity increase on existing line items
CO-700143,CON-070161,ACC-10041,increase_qty,2028-03-30,224895.39,Quantity increase on existing line items
CO-700144,CON-070803,ACC-10336,increase_qty,2027-07-26,18695.87,Quantity increase on existing line items
CO-700145,CON-070829,ACC-10347,increase_qty,2025-03-11,109292.81,Quantity increase on existing line items
CO-700146,CON-070054,ACC-10014,add_skus,2023-10-27,62168.09,Customer added new product SKUs mid-term
CO-700147,CON-070214,ACC-10060,increase_qty,2028-07-22,224623.19,Quantity increase on existing line items
CO-700148,CON-070043,ACC-10011,tier_upgrade,2026-01-26,17293.17,Support tier upgraded
CO-700149,CON-070298,ACC-10099,add_skus,2025-03-12,111684.74,Customer added new product SKUs mid-term
CO-700150,CON-070212,ACC-10059,add_skus,2024-11-02,125809.32,Customer added new product SKUs mid-term
CO-700151,CON-071164,ACC-10485,early_termination_partial,2023-05-05,21824.69,Partial termination of select line items
CO-700152,CON-070053,ACC-10014,add_skus,2022-09-07,201197.65,Customer added new product SKUs mid-term
CO-700153,CON-071017,ACC-10422,add_skus,2024-10-24,82790.14,Customer added new product SKUs mid-term
CO-700154,CON-070879,ACC-10365,increase_qty,2024-10-28,68473.99,Quantity increase on existing line items
CO-700155,CON-070542,ACC-10217,add_skus,2024-08-28,171379.55,Customer added new product SKUs mid-term
CO-700156,CON-070517,ACC-10206,increase_qty,2027-04-14,158717.14,Quantity increase on existing line items
CO-700157,CON-070631,ACC-10255,add_skus,2023-09-17,28026.64,Customer added new product SKUs mid-term
CO-700158,CON-070931,ACC-10387,increase_qty,2026-04-02,137269.37,Quantity increase on existing line items
CO-700159,CON-070019,ACC-10005,early_termination_partial,2025-08-03,131709.39,Partial termination of select line items
CO-700160,CON-070804,ACC-10337,add_skus,2024-04-01,195359.52,Customer added new product SKUs mid-term
CO-700161,CON-070030,ACC-10008,add_skus,2026-02-12,164742.63,Customer added new product SKUs mid-term
CO-700162,CON-070710,ACC-10293,increase_qty,2023-03-26,129226.31,Quantity increase on existing line items
CO-700163,CON-070101,ACC-10025,increase_qty,2026-01-24,49162.93,Quantity increase on existing line items
CO-700164,CON-070143,ACC-10037,increase_qty,2024-08-10,17628.84,Quantity increase on existing line items
CO-700165,CON-071008,ACC-10418,tier_upgrade,2023-10-21,220333.29,Support tier upgraded
CO-700166,CON-070096,ACC-10024,add_skus,2025-08-27,153532.93,Customer added new product SKUs mid-term
CO-700167,CON-071024,ACC-10424,increase_qty,2025-08-11,226691.13,Quantity increase on existing line items
CO-700168,CON-070401,ACC-10149,add_skus,2024-05-07,106111.07,Customer added new product SKUs mid-term
CO-700169,CON-070975,ACC-10406,add_skus,2027-03-16,158109.45,Customer added new product SKUs mid-term
CO-700170,CON-070217,ACC-10061,increase_qty,2024-07-03,159149.15,Quantity increase on existing line items
CO-700171,CON-070200,ACC-10054,tier_upgrade,2026-04-25,206439.76,Support tier upgraded
CO-700172,CON-070275,ACC-10090,increase_qty,2024-04-12,33539.32,Quantity increase on existing line items
CO-700173,CON-070559,ACC-10225,add_skus,2023-10-17,118525.45,Customer added new product SKUs mid-term
CO-700174,CON-070605,ACC-10244,increase_qty,2026-01-14,27917.14,Quantity increase on existing line items
CO-700175,CON-070343,ACC-10121,tier_upgrade,2022-12-09,212453.15,Support tier upgraded
CO-700176,CON-071062,ACC-10442,add_skus,2025-03-08,19669.61,Customer added new product SKUs mid-term
CO-700177,CON-071133,ACC-10473,add_skus,2027-08-26,200389.65,Customer added new product SKUs mid-term
CO-700178,CON-070638,ACC-10258,add_skus,2026-01-24,113561.52,Customer added new product SKUs mid-term
CO-700179,CON-070681,ACC-10279,increase_qty,2025-09-14,103404.56,Quantity increase on existing line items
CO-700180,CON-070376,ACC-10137,add_skus,2024-12-30,168770.1,Customer added new product SKUs mid-term
CO-700181,CON-070413,ACC-10156,increase_qty,2025-07-23,223366.09,Quantity increase on existing line items
CO-700182,CON-071002,ACC-10417,tier_upgrade,2023-10-10,246373.23,Support tier upgraded
CO-700183,CON-070011,ACC-10003,tier_upgrade,2023-09-14,123220.55,Support tier upgraded
CO-700184,CON-070890,ACC-10371,increase_qty,2023-12-17,15493.1,Quantity increase on existing line items
CO-700185,CON-070481,ACC-10188,add_skus,2024-04-08,21951.66,Customer added new product SKUs mid-term
CO-700186,CON-070923,ACC-10384,tier_upgrade,2025-08-22,138869.61,Support tier upgraded
CO-700187,CON-070178,ACC-10046,early_termination_partial,2025-06-15,81817.4,Partial termination of select line items
CO-700188,CON-071027,ACC-10427,add_skus,2023-09-01,99264.3,Customer added new product SKUs mid-term
CO-700189,CON-070134,ACC-10034,tier_upgrade,2026-04-10,244303.58,Support tier upgraded
CO-700190,CON-070622,ACC-10252,tier_upgrade,2023-03-27,163924.86,Support tier upgraded
CO-700191,CON-070135,ACC-10034,early_termination_partial,2024-09-05,200258.44,Partial termination of select line items
CO-700192,CON-070056,ACC-10014,add_skus,2025-03-12,89410.82,Customer added new product SKUs mid-term
CO-700193,CON-071196,ACC-10500,tier_upgrade,2025-12-03,200639.93,Support tier upgraded
CO-700194,CON-070223,ACC-10064,add_skus,2024-12-13,102587.16,Customer added new product SKUs mid-term
CO-700195,CON-070076,ACC-10019,add_skus,2022-10-29,89348.6,Customer added new product SKUs mid-term
CO-700196,CON-070665,ACC-10272,add_skus,2025-07-21,34638.22,Customer added new product SKUs mid-term
CO-700197,CON-070596,ACC-10241,increase_qty,2022-07-23,175972.54,Quantity increase on existing line items
CO-700198,CON-071094,ACC-10458,add_skus,2025-09-18,167351.88,Customer added new product SKUs mid-term
CO-700199,CON-070316,ACC-10108,add_skus,2024-04-09,12431.78,Customer added new product SKUs mid-term
CO-700200,CON-070306,ACC-10103,increase_qty,2025-12-31,242981.25,Quantity increase on existing line items
CO-700201,CON-070828,ACC-10347,add_skus,2023-11-23,47792.33,Customer added new product SKUs mid-term
CO-700202,CON-071029,ACC-10428,tier_upgrade,2028-07-30,149492.86,Support tier upgraded
CO-700203,CON-070059,ACC-10015,add_skus,2026-03-11,246006.45,Customer added new product SKUs mid-term
CO-700204,CON-070484,ACC-10190,add_skus,2029-04-02,71973.7,Customer added new product SKUs mid-term
CO-700205,CON-070436,ACC-10168,add_skus,2028-03-06,238715.71,Customer added new product SKUs mid-term
CO-700206,CON-070502,ACC-10198,add_skus,2026-02-21,58411.96,Customer added new product SKUs mid-term
CO-700207,CON-071093,ACC-10457,tier_upgrade,2025-08-10,28747.68,Support tier upgraded
CO-700208,CON-070426,ACC-10163,add_skus,2024-01-25,221270.99,Customer added new product SKUs mid-term
CO-700209,CON-070301,ACC-10100,add_skus,2026-09-23,132365.89,Customer added new product SKUs mid-term
CO-700210,CON-070787,ACC-10329,increase_qty,2024-10-02,118974.54,Quantity increase on existing line items
CO-700211,CON-070485,ACC-10190,increase_qty,2024-03-05,25951.07,Quantity increase on existing line items
CO-700212,CON-070154,ACC-10039,add_skus,2027-03-14,27598.18,Customer added new product SKUs mid-term
CO-700213,CON-071063,ACC-10443,add_skus,2023-03-29,234630.91,Customer added new product SKUs mid-term
CO-700214,CON-071003,ACC-10417,tier_upgrade,2024-11-02,180896.27,Support tier upgraded
CO-700215,CON-071054,ACC-10439,increase_qty,2026-12-30,61242.68,Quantity increase on existing line items
CO-700216,CON-070763,ACC-10319,add_skus,2025-11-26,153910.07,Customer added new product SKUs mid-term
CO-700217,CON-070036,ACC-10009,tier_upgrade,2024-02-09,228470.53,Support tier upgraded
CO-700218,CON-070744,ACC-10309,add_skus,2026-03-30,60314.64,Customer added new product SKUs mid-term
CO-700219,CON-070859,ACC-10359,increase_qty,2025-10-25,79125.33,Quantity increase on existing line items
CO-700220,CON-070794,ACC-10333,increase_qty,2024-11-15,84802.98,Quantity increase on existing line items
CO-700221,CON-070473,ACC-10184,add_skus,2025-10-06,216134.82,Customer added new product SKUs mid-term
CO-700222,CON-070360,ACC-10129,add_skus,2026-03-25,232475.18,Customer added new product SKUs mid-term
CO-700223,CON-070068,ACC-10017,increase_qty,2029-05-09,107249.82,Quantity increase on existing line items
CO-700224,CON-070447,ACC-10172,add_skus,2024-02-13,207650.57,Customer added new product SKUs mid-term
CO-700225,CON-070387,ACC-10143,add_skus,2023-01-09,7217.56,Customer added new product SKUs mid-term
CO-700226,CON-070091,ACC-10023,increase_qty,2025-04-07,62103.41,Quantity increase on existing line items
CO-700227,CON-070146,ACC-10037,increase_qty,2026-03-13,119060.18,Quantity increase on existing line items
CO-700228,CON-070451,ACC-10175,tier_upgrade,2026-08-09,172095.6,Support tier upgraded
CO-700229,CON-070356,ACC-10127,add_skus,2024-01-20,122208.33,Customer added new product SKUs mid-term
CO-700230,CON-070279,ACC-10091,increase_qty,2028-10-24,204361.64,Quantity increase on existing line items
CO-700231,CON-071178,ACC-10491,tier_upgrade,2026-11-12,22091.73,Support tier upgraded
CO-700232,CON-070932,ACC-10387,increase_qty,2025-02-15,175234.02,Quantity increase on existing line items
CO-700233,CON-070220,ACC-10062,increase_qty,2027-12-03,244036.73,Quantity increase on existing line items
CO-700234,CON-070539,ACC-10216,early_termination_partial,2023-02-03,235428.26,Partial termination of select line items
CO-700235,CON-070042,ACC-10011,tier_upgrade,2028-05-28,116571.3,Support tier upgraded
CO-700236,CON-070303,ACC-10102,increase_qty,2022-08-25,57485.12,Quantity increase on existing line items
CO-700237,CON-070183,ACC-10048,tier_upgrade,2027-03-01,133975.81,Support tier upgraded
CO-700238,CON-071154,ACC-10480,add_skus,2024-02-04,20632.07,Customer added new product SKUs mid-term
CO-700239,CON-070724,ACC-10300,increase_qty,2025-12-10,210265.2,Quantity increase on existing line items
CO-700240,CON-070070,ACC-10018,increase_qty,2024-10-06,102148.55,Quantity increase on existing line items
CO-700241,CON-070874,ACC-10363,add_skus,2028-03-27,194890.44,Customer added new product SKUs mid-term
CO-700242,CON-070337,ACC-10118,increase_qty,2027-08-14,240831.37,Quantity increase on existing line items
CO-700243,CON-070130,ACC-10033,add_skus,2025-09-08,90881.99,Customer added new product SKUs mid-term
CO-700244,CON-070405,ACC-10152,tier_upgrade,2025-03-23,21303.69,Support tier upgraded
CO-700245,CON-070160,ACC-10041,tier_upgrade,2025-04-06,233743.83,Support tier upgraded
CO-700246,CON-070262,ACC-10083,increase_qty,2022-10-26,217207.28,Quantity increase on existing line items
CO-700247,CON-071121,ACC-10467,add_skus,2026-05-21,80905.15,Customer added new product SKUs mid-term
CO-700248,CON-070974,ACC-10406,increase_qty,2024-11-29,49753.77,Quantity increase on existing line items
CO-700249,CON-070491,ACC-10192,add_skus,2023-07-25,113896.77,Customer added new product SKUs mid-term
CO-700250,CON-070998,ACC-10415,add_skus,2025-03-05,71987.69,Customer added new product SKUs mid-term
CO-700251,CON-070833,ACC-10348,early_termination_partial,2023-06-14,48102.25,Partial termination of select line items
CO-700252,CON-070590,ACC-10239,add_skus,2026-05-24,90676.44,Customer added new product SKUs mid-term
CO-700253,CON-071064,ACC-10443,add_skus,2024-05-14,28937.95,Customer added new product SKUs mid-term
CO-700254,CON-070886,ACC-10369,increase_qty,2023-11-21,89548.66,Quantity increase on existing line items
CO-700255,CON-070064,ACC-10016,add_skus,2025-06-20,144035.4,Customer added new product SKUs mid-term
CO-700256,CON-070851,ACC-10356,add_skus,2026-08-17,115609.67,Customer added new product SKUs mid-term
CO-700257,CON-070029,ACC-10007,increase_qty,2022-08-04,21098.87,Quantity increase on existing line items
CO-700258,CON-070007,ACC-10002,add_skus,2025-02-23,181540.42,Customer added new product SKUs mid-term
CO-700259,CON-070635,ACC-10257,add_skus,2024-06-03,140072.58,Customer added new product SKUs mid-term
CO-700260,CON-070591,ACC-10240,increase_qty,2026-10-14,205640.79,Quantity increase on existing line items
CO-700261,CON-070379,ACC-10138,add_skus,2024-04-06,133955.57,Customer added new product SKUs mid-term
CO-700262,CON-071079,ACC-10450,increase_qty,2024-08-17,74224.3,Quantity increase on existing line items
CO-700263,CON-070385,ACC-10141,early_termination_partial,2023-03-26,113931.11,Partial termination of select line items
CO-700264,CON-071174,ACC-10489,tier_upgrade,2022-11-30,93370.99,Support tier upgraded
CO-700265,CON-070458,ACC-10177,early_termination_partial,2023-10-27,212701.59,Partial termination of select line items
CO-700266,CON-071020,ACC-10423,add_skus,2023-09-24,218630.62,Customer added new product SKUs mid-term
CO-700267,CON-070666,ACC-10272,add_skus,2024-02-22,210732.06,Customer added new product SKUs mid-term
CO-700268,CON-071147,ACC-10478,add_skus,2026-05-20,216445.19,Customer added new product SKUs mid-term
CO-700269,CON-070895,ACC-10373,tier_upgrade,2023-09-02,72223.61,Support tier upgraded
CO-700270,CON-070378,ACC-10137,add_skus,2025-09-22,51139.08,Customer added new product SKUs mid-term
CO-700271,CON-070695,ACC-10285,increase_qty,2025-10-14,132754.93,Quantity increase on existing line items
CO-700272,CON-071057,ACC-10440,increase_qty,2024-10-17,226560.64,Quantity increase on existing line items
CO-700273,CON-070954,ACC-10395,add_skus,2022-08-11,38407.86,Customer added new product SKUs mid-term
CO-700274,CON-070267,ACC-10086,tier_upgrade,2024-01-03,74109.39,Support tier upgraded
CO-700275,CON-070747,ACC-10311,increase_qty,2024-07-16,112803.66,Quantity increase on existing line items
CO-700276,CON-070231,ACC-10068,add_skus,2023-05-23,245790.69,Customer added new product SKUs mid-term
CO-700277,CON-070575,ACC-10234,early_termination_partial,2024-08-03,16693.48,Partial termination of select line items
CO-700278,CON-070730,ACC-10303,tier_upgrade,2025-05-30,222006.89,Support tier upgraded
CO-700279,CON-070127,ACC-10032,increase_qty,2025-11-27,145038.03,Quantity increase on existing line items
CO-700280,CON-070207,ACC-10056,early_termination_partial,2025-05-25,80607.5,Partial termination of select line items
