usage_id,account_id,entitlement_id,sku,period_month,quantity_used
USE-0900048,ACC-10001,ENT-0800003,SW-ZTN-110,2023-11-01,288
USE-0900049,ACC-10001,ENT-0800003,SW-ZTN-110,2023-12-01,287
USE-0900050,ACC-10001,ENT-0800003,SW-ZTN-110,2024-01-01,286
USE-0900051,ACC-10001,ENT-0800003,SW-ZTN-110,2024-02-01,285
USE-0900052,ACC-10001,ENT-0800003,SW-ZTN-110,2024-03-01,283
USE-0900053,ACC-10001,ENT-0800003,SW-ZTN-110,2024-04-01,282
USE-0900054,ACC-10001,ENT-0800003,SW-ZTN-110,2024-05-01,281
USE-0900055,ACC-10001,ENT-0800003,SW-ZTN-110,2024-06-01,280
USE-0900056,ACC-10001,ENT-0800003,SW-ZTN-110,2024-07-01,279
USE-0900057,ACC-10001,ENT-0800003,SW-ZTN-110,2024-08-01,278
USE-0900058,ACC-10001,ENT-0800003,SW-ZTN-110,2024-09-01,276
USE-0900059,ACC-10001,ENT-0800003,SW-ZTN-110,2024-10-01,275
USE-0900060,ACC-10001,ENT-0800003,SW-ZTN-110,2024-11-01,274
USE-0900061,ACC-10001,ENT-0800003,SW-ZTN-110,2024-12-01,273
USE-0900062,ACC-10001,ENT-0800003,SW-ZTN-110,2025-01-01,272
USE-0900063,ACC-10001,ENT-0800003,SW-ZTN-110,2025-02-01,270
USE-0900064,ACC-10001,ENT-0800003,SW-ZTN-110,2025-03-01,269
USE-0900065,ACC-10001,ENT-0800003,SW-ZTN-110,2025-04-01,268
USE-0900066,ACC-10001,ENT-0800003,SW-ZTN-110,2025-05-01,267
USE-0900067,ACC-10001,ENT-0800003,SW-ZTN-110,2025-06-01,266
USE-0900068,ACC-10001,ENT-0800003,SW-ZTN-110,2025-07-01,264
USE-0900069,ACC-10001,ENT-0800003,SW-ZTN-110,2025-08-01,263
USE-0900070,ACC-10001,ENT-0800003,SW-ZTN-110,2025-09-01,262
USE-0900071,ACC-10001,ENT-0800003,SW-ZTN-110,2025-10-01,261
USE-0900072,ACC-10001,ENT-0800003,SW-ZTN-110,2025-11-01,260
USE-0900073,ACC-10001,ENT-0800003,SW-ZTN-110,2025-12-01,258
USE-0900074,ACC-10001,ENT-0800003,SW-ZTN-110,2026-01-01,257
USE-0900075,ACC-10001,ENT-0800004,SW-NOC-110,2023-01-01,1031
USE-0900076,ACC-10001,ENT-0800004,SW-NOC-110,2023-02-01,1052
USE-0900077,ACC-10001,ENT-0800004,SW-NOC-110,2023-03-01,1074
USE-0900078,ACC-10001,ENT-0800004,SW-NOC-110,2023-04-01,1095
USE-0900079,ACC-10001,ENT-0800004,SW-NOC-110,2023-05-01,1117
USE-0900080,ACC-10001,ENT-0800004,SW-NOC-110,2023-06-01,1138
USE-0900081,ACC-10001,ENT-0800004,SW-NOC-110,2023-07-01,1160
USE-0900082,ACC-10001,ENT-0800004,SW-NOC-110,2023-08-01,1181
USE-0900083,ACC-10001,ENT-0800004,SW-NOC-110,2023-09-01,1202
USE-0900084,ACC-10001,ENT-0800004,SW-NOC-110,2023-10-01,1224
USE-0900085,ACC-10001,ENT-0800004,SW-NOC-110,2023-11-01,1245
USE-0900086,ACC-10001,ENT-0800004,SW-NOC-110,2023-12-01,1267
USE-0900087,ACC-10001,ENT-0800004,SW-NOC-110,2024-01-01,1288
USE-0900088,ACC-10001,ENT-0800004,SW-NOC-110,2024-02-01,1310
USE-0900089,ACC-10001,ENT-0800004,SW-NOC-110,2024-03-01,1331
USE-0900090,ACC-10001,ENT-0800004,SW-NOC-110,2024-04-01,1352
USE-0900091,ACC-10001,ENT-0800004,SW-NOC-110,2024-05-01,1374
USE-0900092,ACC-10001,ENT-0800004,SW-NOC-110,2024-06-01,1395
USE-0900093,ACC-10001,ENT-0800004,SW-NOC-110,2024-07-01,1417
USE-0900094,ACC-10001,ENT-0800004,SW-NOC-110,2024-08-01,1438
USE-0900095,ACC-10001,ENT-0800004,SW-NOC-110,2024-09-01,1460
USE-0900096,ACC-10001,ENT-0800004,SW-NOC-110,2024-10-01,1481
USE-0900097,ACC-10001,ENT-0800004,SW-NOC-110,2024-11-01,1503
USE-0900098,ACC-10001,ENT-0800004,SW-NOC-110,2024-12-01,1524
USE-0900099,ACC-10001,ENT-0800004,SW-NOC-110,2025-01-01,1545
USE-0900100,ACC-10001,ENT-0800004,SW-NOC-110,2025-02-01,1567
USE-0900101,ACC-10001,ENT-0800004,SW-NOC-110,2025-03-01,1588
USE-0900102,ACC-10001,ENT-0800004,SW-NOC-110,2025-04-01,1610
USE-0900103,ACC-10001,ENT-0800004,SW-NOC-110,2025-05-01,1631
USE-0900104,ACC-10001,ENT-0800004,SW-NOC-110,2025-06-01,1653
USE-0900105,ACC-10001,ENT-0800004,SW-NOC-110,2025-07-01,1674
USE-0900106,ACC-10001,ENT-0800004,SW-NOC-110,2025-08-01,1695
USE-0900107,ACC-10001,ENT-0800004,SW-NOC-110,2025-09-01,1717
USE-0900108,ACC-10001,ENT-0800004,SW-NOC-110,2025-10-01,1738
USE-0900109,ACC-10001,ENT-0800004,SW-NOC-110,2025-11-01,1760
USE-0900110,ACC-10001,ENT-0800004,SW-NOC-110,2025-12-01,1781
USE-0900111,ACC-10001,ENT-0800004,SW-NOC-110,2026-01-01,1803
USE-0900112,ACC-10001,ENT-0800007,SW-ZTN-120,2025-09-01,508
USE-0900113,ACC-10001,ENT-0800007,SW-ZTN-120,2025-10-01,501
USE-0900114,ACC-10001,ENT-0800007,SW-ZTN-120,2025-11-01,495
USE-0900115,ACC-10001,ENT-0800007,SW-ZTN-120,2025-12-01,489
USE-0900116,ACC-10001,ENT-0800007,SW-ZTN-120,2026-01-01,483
USE-0900117,ACC-10001,ENT-0800007,SW-ZTN-120,2026-02-01,476
USE-0900118,ACC-10001,ENT-0800007,SW-ZTN-120,2026-03-01,470
USE-0900119,ACC-10001,ENT-0800007,SW-ZTN-120,2026-04-01,464
USE-0900120,ACC-10001,ENT-0800007,SW-ZTN-120,2026-05-01,457
USE-0900121,ACC-10001,ENT-0800010,SW-SDC-120,2024-12-01,47
USE-0900122,ACC-10001,ENT-0800010,SW-SDC-120,2025-01-01,48
USE-0900123,ACC-10001,ENT-0800010,SW-SDC-120,2025-02-01,49
USE-0900124,ACC-10001,ENT-0800010,SW-SDC-120,2025-03-01,50
USE-0900125,ACC-10001,ENT-0800010,SW-SDC-120,2025-04-01,50
USE-0900126,ACC-10001,ENT-0800010,SW-SDC-120,2025-05-01,51
USE-0900127,ACC-10001,ENT-0800010,SW-SDC-120,2025-06-01,52
USE-0900128,ACC-10001,ENT-0800010,SW-SDC-120,2025-07-01,53
USE-0900129,ACC-10001,ENT-0800010,SW-SDC-120,2025-08-01,54
USE-0900130,ACC-10001,ENT-0800010,SW-SDC-120,2025-09-01,55
USE-0900131,ACC-10001,ENT-0800010,SW-SDC-120,2025-10-01,56
USE-0900132,ACC-10001,ENT-0800010,SW-SDC-120,2025-11-01,56
USE-0900133,ACC-10001,ENT-0800010,SW-SDC-120,2025-12-01,57
USE-0900134,ACC-10001,ENT-0800010,SW-SDC-120,2026-01-01,58
USE-0900135,ACC-10001,ENT-0800010,SW-SDC-120,2026-02-01,59
USE-0900136,ACC-10001,ENT-0800010,SW-SDC-120,2026-03-01,60
USE-0900137,ACC-10001,ENT-0800010,SW-SDC-120,2026-04-01,61
USE-0900138,ACC-10001,ENT-0800010,SW-SDC-120,2026-05-01,62
USE-0900139,ACC-10001,ENT-0800011,SW-NOC-110,2024-12-01,508
USE-0900140,ACC-10001,ENT-0800011,SW-NOC-110,2025-01-01,505
USE-0900141,ACC-10001,ENT-0800011,SW-NOC-110,2025-02-01,502
USE-0900142,ACC-10001,ENT-0800011,SW-NOC-110,2025-03-01,499
USE-0900143,ACC-10001,ENT-0800011,SW-NOC-110,2025-04-01,495
USE-0900144,ACC-10001,ENT-0800011,SW-NOC-110,2025-05-01,492
USE-0900145,ACC-10001,ENT-0800011,SW-NOC-110,2025-06-01,489
USE-0900146,ACC-10001,ENT-0800011,SW-NOC-110,2025-07-01,485
USE-0900147,ACC-10001,ENT-0800011,SW-NOC-110,2025-08-01,482
USE-0900148,ACC-10001,ENT-0800011,SW-NOC-110,2025-09-01,479
USE-0900149,ACC-10001,ENT-0800011,SW-NOC-110,2025-10-01,475
USE-0900150,ACC-10001,ENT-0800011,SW-NOC-110,2025-11-01,472
USE-0900151,ACC-10001,ENT-0800011,SW-NOC-110,2025-12-01,469
USE-0900152,ACC-10001,ENT-0800011,SW-NOC-110,2026-01-01,465
USE-0900153,ACC-10001,ENT-0800011,SW-NOC-110,2026-02-01,462
USE-0900154,ACC-10001,ENT-0800011,SW-NOC-110,2026-03-01,459
USE-0900155,ACC-10001,ENT-0800011,SW-NOC-110,2026-04-01,455
USE-0900156,ACC-10001,ENT-0800011,SW-NOC-110,2026-05-01,452
USE-0900157,ACC-10001,ENT-0800012,SW-NOC-120,2024-12-01,354
USE-0900158,ACC-10001,ENT-0800012,SW-NOC-120,2025-01-01,352
USE-0900159,ACC-10001,ENT-0800012,SW-NOC-120,2025-02-01,350
USE-0900160,ACC-10001,ENT-0800012,SW-NOC-120,2025-03-01,348
USE-0900161,ACC-10001,ENT-0800012,SW-NOC-120,2025-04-01,346
USE-0900162,ACC-10001,ENT-0800012,SW-NOC-120,2025-05-01,344
USE-0900163,ACC-10001,ENT-0800012,SW-NOC-120,2025-06-01,342
USE-0900164,ACC-10001,ENT-0800012,SW-NOC-120,2025-07-01,340
USE-0900165,ACC-10001,ENT-0800012,SW-NOC-120,2025-08-01,338
USE-0900166,ACC-10001,ENT-0800012,SW-NOC-120,2025-09-01,336
USE-0900167,ACC-10001,ENT-0800012,SW-NOC-120,2025-10-01,334
USE-0900168,ACC-10001,ENT-0800012,SW-NOC-120,2025-11-01,332
USE-0900169,ACC-10001,ENT-0800012,SW-NOC-120,2025-12-01,330
USE-0900170,ACC-10001,ENT-0800012,SW-NOC-120,2026-01-01,327
USE-0900171,ACC-10001,ENT-0800012,SW-NOC-120,2026-02-01,325
USE-0900172,ACC-10001,ENT-0800012,SW-NOC-120,2026-03-01,323
USE-0900173,ACC-10001,ENT-0800012,SW-NOC-120,2026-04-01,321
USE-0900174,ACC-10001,ENT-0800012,SW-NOC-120,2026-05-01,319
USE-0900175,ACC-10001,ENT-0800014,SW-OBS-120,2024-12-01,308
USE-0900176,ACC-10001,ENT-0800014,SW-OBS-120,2025-01-01,307
USE-0900177,ACC-10001,ENT-0800014,SW-OBS-120,2025-02-01,306
USE-0900178,ACC-10001,ENT-0800014,SW-OBS-120,2025-03-01,305
USE-0900179,ACC-10001,ENT-0800014,SW-OBS-120,2025-04-01,303
USE-0900180,ACC-10001,ENT-0800014,SW-OBS-120,2025-05-01,302
USE-0900181,ACC-10001,ENT-0800014,SW-OBS-120,2025-06-01,301
USE-0900182,ACC-10001,ENT-0800014,SW-OBS-120,2025-07-01,300
USE-0900183,ACC-10001,ENT-0800014,SW-OBS-120,2025-08-01,299
USE-0900184,ACC-10001,ENT-0800014,SW-OBS-120,2025-09-01,297
USE-0900185,ACC-10001,ENT-0800014,SW-OBS-120,2025-10-01,296
USE-0900186,ACC-10001,ENT-0800014,SW-OBS-120,2025-11-01,295
USE-0900187,ACC-10001,ENT-0800014,SW-OBS-120,2025-12-01,294
USE-0900188,ACC-10001,ENT-0800014,SW-OBS-120,2026-01-01,292
USE-0900189,ACC-10001,ENT-0800014,SW-OBS-120,2026-02-01,291
USE-0900190,ACC-10001,ENT-0800014,SW-OBS-120,2026-03-01,290
USE-0900191,ACC-10001,ENT-0800014,SW-OBS-120,2026-04-01,289
USE-0900192,ACC-10001,ENT-0800014,SW-OBS-120,2026-05-01,288
USE-0900193,ACC-10001,ENT-0800015,SW-NOC-120,2024-12-01,714
USE-0900194,ACC-10001,ENT-0800015,SW-NOC-120,2025-01-01,717
USE-0900195,ACC-10001,ENT-0800015,SW-NOC-120,2025-02-01,720
USE-0900196,ACC-10001,ENT-0800015,SW-NOC-120,2025-03-01,723
USE-0900197,ACC-10001,ENT-0800015,SW-NOC-120,2025-04-01,727
USE-0900198,ACC-10001,ENT-0800015,SW-NOC-120,2025-05-01,730
USE-0900199,ACC-10001,ENT-0800015,SW-NOC-120,2025-06-01,733
USE-0900200,ACC-10001,ENT-0800015,SW-NOC-120,2025-07-01,736
USE-0900201,ACC-10001,ENT-0800015,SW-NOC-120,2025-08-01,740
USE-0900202,ACC-10001,ENT-0800015,SW-NOC-120,2025-09-01,743
USE-0900203,ACC-10001,ENT-0800015,SW-NOC-120,2025-10-01,746
USE-0900204,ACC-10001,ENT-0800015,SW-NOC-120,2025-11-01,750
USE-0900205,ACC-10001,ENT-0800015,SW-NOC-120,2025-12-01,753
USE-0900206,ACC-10001,ENT-0800015,SW-NOC-120,2026-01-01,756
USE-0900207,ACC-10001,ENT-0800015,SW-NOC-120,2026-02-01,759
USE-0900208,ACC-10001,ENT-0800015,SW-NOC-120,2026-03-01,763
USE-0900209,ACC-10001,ENT-0800015,SW-NOC-120,2026-04-01,766
USE-0900210,ACC-10001,ENT-0800015,SW-NOC-120,2026-05-01,769
USE-0900211,ACC-10002,ENT-0800021,SW-OBS-140,2024-03-01,997
USE-0900212,ACC-10002,ENT-0800021,SW-OBS-140,2024-04-01,1005
USE-0900213,ACC-10002,ENT-0800021,SW-OBS-140,2024-05-01,1013
USE-0900214,ACC-10002,ENT-0800021,SW-OBS-140,2024-06-01,1020
USE-0900215,ACC-10002,ENT-0800021,SW-OBS-140,2024-07-01,1028
USE-0900216,ACC-10002,ENT-0800021,SW-OBS-140,2024-08-01,1036
USE-0900217,ACC-10002,ENT-0800021,SW-OBS-140,2024-09-01,1043
USE-0900218,ACC-10002,ENT-0800021,SW-OBS-140,2024-10-01,1051
USE-0900219,ACC-10002,ENT-0800021,SW-OBS-140,2024-11-01,1059
USE-0900220,ACC-10002,ENT-0800021,SW-OBS-140,2024-12-01,1067
USE-0900221,ACC-10002,ENT-0800021,SW-OBS-140,2025-01-01,1074
USE-0900222,ACC-10002,ENT-0800021,SW-OBS-140,2025-02-01,1082
USE-0900223,ACC-10002,ENT-0800021,SW-OBS-140,2025-03-01,1090
USE-0900224,ACC-10002,ENT-0800021,SW-OBS-140,2025-04-01,1098
USE-0900225,ACC-10002,ENT-0800021,SW-OBS-140,2025-05-01,1105
USE-0900226,ACC-10002,ENT-0800021,SW-OBS-140,2025-06-01,1113
USE-0900227,ACC-10002,ENT-0800021,SW-OBS-140,2025-07-01,1121
USE-0900228,ACC-10002,ENT-0800021,SW-OBS-140,2025-08-01,1128
USE-0900229,ACC-10002,ENT-0800021,SW-OBS-140,2025-09-01,1136
USE-0900230,ACC-10002,ENT-0800021,SW-OBS-140,2025-10-01,1144
USE-0900231,ACC-10002,ENT-0800021,SW-OBS-140,2025-11-01,1152
USE-0900232,ACC-10002,ENT-0800021,SW-OBS-140,2025-12-01,1159
USE-0900233,ACC-10002,ENT-0800021,SW-OBS-140,2026-01-01,1167
USE-0900234,ACC-10002,ENT-0800021,SW-OBS-140,2026-02-01,1175
USE-0900235,ACC-10002,ENT-0800021,SW-OBS-140,2026-03-01,1183
USE-0900236,ACC-10002,ENT-0800021,SW-OBS-140,2026-04-01,1190
USE-0900237,ACC-10002,ENT-0800021,SW-OBS-140,2026-05-01,1198
USE-0900238,ACC-10002,ENT-0800022,SW-SEC-110,2022-12-01,90
USE-0900239,ACC-10002,ENT-0800022,SW-SEC-110,2023-01-01,91
USE-0900240,ACC-10002,ENT-0800022,SW-SEC-110,2023-02-01,92
USE-0900241,ACC-10002,ENT-0800022,SW-SEC-110,2023-03-01,93
USE-0900242,ACC-10002,ENT-0800022,SW-SEC-110,2023-04-01,94
USE-0900243,ACC-10002,ENT-0800022,SW-SEC-110,2023-05-01,95
USE-0900244,ACC-10002,ENT-0800022,SW-SEC-110,2023-06-01,96
USE-0900245,ACC-10002,ENT-0800022,SW-SEC-110,2023-07-01,97
USE-0900246,ACC-10002,ENT-0800022,SW-SEC-110,2023-08-01,97
USE-0900247,ACC-10002,ENT-0800022,SW-SEC-110,2023-09-01,98
USE-0900248,ACC-10002,ENT-0800022,SW-SEC-110,2023-10-01,99
USE-0900249,ACC-10002,ENT-0800022,SW-SEC-110,2023-11-01,100
USE-0900250,ACC-10002,ENT-0800022,SW-SEC-110,2023-12-01,101
USE-0900251,ACC-10002,ENT-0800022,SW-SEC-110,2024-01-01,102
USE-0900252,ACC-10002,ENT-0800022,SW-SEC-110,2024-02-01,103
USE-0900253,ACC-10002,ENT-0800022,SW-SEC-110,2024-03-01,104
USE-0900254,ACC-10002,ENT-0800022,SW-SEC-110,2024-04-01,104
USE-0900255,ACC-10002,ENT-0800022,SW-SEC-110,2024-05-01,105
USE-0900256,ACC-10002,ENT-0800022,SW-SEC-110,2024-06-01,106
USE-0900257,ACC-10002,ENT-0800022,SW-SEC-110,2024-07-01,107
USE-0900258,ACC-10002,ENT-0800022,SW-SEC-110,2024-08-01,108
USE-0900259,ACC-10002,ENT-0800022,SW-SEC-110,2024-09-01,109
USE-0900260,ACC-10002,ENT-0800022,SW-SEC-110,2024-10-01,110
USE-0900261,ACC-10002,ENT-0800022,SW-SEC-110,2024-11-01,111
USE-0900262,ACC-10002,ENT-0800022,SW-SEC-110,2024-12-01,111
USE-0900263,ACC-10002,ENT-0800023,SW-SDC-140,2022-12-01,768
USE-0900264,ACC-10002,ENT-0800023,SW-SDC-140,2023-01-01,764
USE-0900265,ACC-10002,ENT-0800023,SW-SDC-140,2023-02-01,760
USE-0900266,ACC-10002,ENT-0800023,SW-SDC-140,2023-03-01,756
USE-0900267,ACC-10002,ENT-0800023,SW-SDC-140,2023-04-01,752
USE-0900268,ACC-10002,ENT-0800023,SW-SDC-140,2023-05-01,748
USE-0900269,ACC-10002,ENT-0800023,SW-SDC-140,2023-06-01,744
USE-0900270,ACC-10002,ENT-0800023,SW-SDC-140,2023-07-01,740
USE-0900271,ACC-10002,ENT-0800023,SW-SDC-140,2023-08-01,736
USE-0900272,ACC-10002,ENT-0800023,SW-SDC-140,2023-09-01,732
USE-0900273,ACC-10002,ENT-0800023,SW-SDC-140,2023-10-01,728
USE-0900274,ACC-10002,ENT-0800023,SW-SDC-140,2023-11-01,724
USE-0900275,ACC-10002,ENT-0800023,SW-SDC-140,2023-12-01,720
USE-0900276,ACC-10002,ENT-0800023,SW-SDC-140,2024-01-01,716
USE-0900277,ACC-10002,ENT-0800023,SW-SDC-140,2024-02-01,712
USE-0900278,ACC-10002,ENT-0800023,SW-SDC-140,2024-03-01,708
USE-0900279,ACC-10002,ENT-0800023,SW-SDC-140,2024-04-01,704
USE-0900280,ACC-10002,ENT-0800023,SW-SDC-140,2024-05-01,700
USE-0900281,ACC-10002,ENT-0800023,SW-SDC-140,2024-06-01,696
USE-0900282,ACC-10002,ENT-0800023,SW-SDC-140,2024-07-01,692
USE-0900283,ACC-10002,ENT-0800023,SW-SDC-140,2024-08-01,687
USE-0900284,ACC-10002,ENT-0800023,SW-SDC-140,2024-09-01,683
USE-0900285,ACC-10002,ENT-0800023,SW-SDC-140,2024-10-01,679
USE-0900286,ACC-10002,ENT-0800023,SW-SDC-140,2024-11-01,675
USE-0900287,ACC-10002,ENT-0800023,SW-SDC-140,2024-12-01,671
USE-0900288,ACC-10002,ENT-0800026,SW-SEC-140,2022-12-01,458
USE-0900289,ACC-10002,ENT-0800026,SW-SEC-140,2023-01-01,469
USE-0900290,ACC-10002,ENT-0800026,SW-SEC-140,2023-02-01,481
USE-0900291,ACC-10002,ENT-0800026,SW-SEC-140,2023-03-01,493
USE-0900292,ACC-10002,ENT-0800026,SW-SEC-140,2023-04-01,505
USE-0900293,ACC-10002,ENT-0800026,SW-SEC-140,2023-05-01,517
USE-0900294,ACC-10002,ENT-0800026,SW-SEC-140,2023-06-01,529
USE-0900295,ACC-10002,ENT-0800026,SW-SEC-140,2023-07-01,540
USE-0900296,ACC-10002,ENT-0800026,SW-SEC-140,2023-08-01,552
USE-0900297,ACC-10002,ENT-0800026,SW-SEC-140,2023-09-01,564
USE-0900298,ACC-10002,ENT-0800026,SW-SEC-140,2023-10-01,576
USE-0900299,ACC-10002,ENT-0800026,SW-SEC-140,2023-11-01,588
USE-0900300,ACC-10002,ENT-0800026,SW-SEC-140,2023-12-01,600
USE-0900301,ACC-10002,ENT-0800026,SW-SEC-140,2024-01-01,611
USE-0900302,ACC-10002,ENT-0800026,SW-SEC-140,2024-02-01,623
USE-0900303,ACC-10002,ENT-0800026,SW-SEC-140,2024-03-01,635
USE-0900304,ACC-10002,ENT-0800026,SW-SEC-140,2024-04-01,647
USE-0900305,ACC-10002,ENT-0800026,SW-SEC-140,2024-05-01,659
USE-0900306,ACC-10002,ENT-0800026,SW-SEC-140,2024-06-01,671
USE-0900307,ACC-10002,ENT-0800026,SW-SEC-140,2024-07-01,682
USE-0900308,ACC-10002,ENT-0800026,SW-SEC-140,2024-08-01,694
USE-0900309,ACC-10002,ENT-0800026,SW-SEC-140,2024-09-01,706
USE-0900310,ACC-10002,ENT-0800026,SW-SEC-140,2024-10-01,718
USE-0900311,ACC-10002,ENT-0800026,SW-SEC-140,2024-11-01,730
USE-0900312,ACC-10002,ENT-0800026,SW-SEC-140,2024-12-01,741
USE-0900313,ACC-10002,ENT-0800029,SW-ZTN-120,2025-02-01,1429
USE-0900314,ACC-10002,ENT-0800029,SW-ZTN-120,2025-03-01,1452
USE-0900315,ACC-10002,ENT-0800029,SW-ZTN-120,2025-04-01,1476
USE-0900316,ACC-10002,ENT-0800029,SW-ZTN-120,2025-05-01,1500
USE-0900317,ACC-10002,ENT-0800029,SW-ZTN-120,2025-06-01,1523
USE-0900318,ACC-10002,ENT-0800029,SW-ZTN-120,2025-07-01,1547
USE-0900319,ACC-10002,ENT-0800029,SW-ZTN-120,2025-08-01,1570
USE-0900320,ACC-10002,ENT-0800029,SW-ZTN-120,2025-09-01,1594
USE-0900321,ACC-10002,ENT-0800029,SW-ZTN-120,2025-10-01,1618
USE-0900322,ACC-10002,ENT-0800029,SW-ZTN-120,2025-11-01,1641
USE-0900323,ACC-10002,ENT-0800029,SW-ZTN-120,2025-12-01,1665
USE-0900324,ACC-10002,ENT-0800029,SW-ZTN-120,2026-01-01,1688
USE-0900325,ACC-10002,ENT-0800029,SW-ZTN-120,2026-02-01,1712
USE-0900326,ACC-10002,ENT-0800029,SW-ZTN-120,2026-03-01,1736
USE-0900327,ACC-10002,ENT-0800029,SW-ZTN-120,2026-04-01,1759
USE-0900328,ACC-10002,ENT-0800029,SW-ZTN-120,2026-05-01,1783
USE-0900329,ACC-10002,ENT-0800030,SW-ZTN-110,2025-02-01,842
USE-0900330,ACC-10002,ENT-0800030,SW-ZTN-110,2025-03-01,845
USE-0900331,ACC-10002,ENT-0800030,SW-ZTN-110,2025-04-01,848
USE-0900332,ACC-10002,ENT-0800030,SW-ZTN-110,2025-05-01,852
USE-0900333,ACC-10002,ENT-0800030,SW-ZTN-110,2025-06-01,855
USE-0900334,ACC-10002,ENT-0800030,SW-ZTN-110,2025-07-01,858
USE-0900335,ACC-10002,ENT-0800030,SW-ZTN-110,2025-08-01,861
USE-0900336,ACC-10002,ENT-0800030,SW-ZTN-110,2025-09-01,864
USE-0900337,ACC-10002,ENT-0800030,SW-ZTN-110,2025-10-01,867
USE-0900338,ACC-10002,ENT-0800030,SW-ZTN-110,2025-11-01,870
USE-0900339,ACC-10002,ENT-0800030,SW-ZTN-110,2025-12-01,873
USE-0900340,ACC-10002,ENT-0800030,SW-ZTN-110,2026-01-01,876
USE-0900341,ACC-10002,ENT-0800030,SW-ZTN-110,2026-02-01,879
USE-0900342,ACC-10002,ENT-0800030,SW-ZTN-110,2026-03-01,882
USE-0900343,ACC-10002,ENT-0800030,SW-ZTN-110,2026-04-01,885
