credit_memo_id,account_id,related_invoice_id,amount,currency,issued_date,reason,applied_to_invoice_id,applied_date
CM-400071,ACC-10467,INV-0225673,14079.28,USD,2025-07-06,goodwill,INV-0215076,2025-11-21
CM-400072,ACC-10436,INV-0223862,116.97,USD,2022-07-12,service_credit_sla,INV-0208621,2022-08-29
CM-400073,ACC-10398,INV-0221938,9284.27,USD,2026-03-17,early_termination_adjustment,INV-0226939,2026-04-02
CM-400074,ACC-10356,INV-0219692,7100.29,GBP,2025-08-24,billing_error,INV-0216247,2025-12-23
CM-400075,ACC-10058,INV-0204871,4315.77,USD,2025-02-12,early_termination_adjustment,INV-0218681,2025-04-22
CM-400076,ACC-10349,INV-0219359,584.47,GBP,2025-08-27,negotiated_discount,INV-0200488,2025-08-23
CM-400077,ACC-10360,INV-0219912,4147.22,USD,2024-12-05,negotiated_discount,INV-0224909,2024-12-15
CM-400078,ACC-10137,INV-0208764,1460.11,USD,2026-04-22,service_credit_sla,INV-0204074,2026-08-12
CM-400079,ACC-10251,INV-0214394,907.41,USD,2025-01-13,negotiated_discount,INV-0208467,2025-06-15
CM-400080,ACC-10309,INV-0217209,874.85,USD,2025-04-16,goodwill,INV-0205590,2025-06-22
CM-400081,ACC-10001,INV-0200059,1777.76,USD,2026-04-17,service_credit_sla,INV-0225287,2026-04-16
CM-400082,ACC-10018,INV-0201536,32268.29,USD,2024-03-26,billing_error,INV-0211289,2024-07-05
CM-400083,ACC-10401,INV-0222075,1705.89,USD,2024-05-10,duplicate_charge,INV-0203247,2024-06-21
CM-400084,ACC-10303,INV-0216967,11308.63,USD,2024-09-14,negotiated_discount,INV-0200350,2025-02-01
CM-400085,ACC-10153,INV-0209414,1156.36,USD,2022-06-15,service_credit_sla,INV-0204882,2022-08-20
CM-400086,ACC-10044,INV-0203944,8888.18,EUR,2025-06-21,early_termination_adjustment,INV-0204689,2025-07-09
CM-400087,ACC-10371,INV-0220565,5977.11,USD,2024-04-24,negotiated_discount,,
CM-400088,ACC-10369,INV-0220425,1916.45,USD,2023-10-01,negotiated_discount,INV-0205687,2023-09-12
CM-400089,ACC-10275,INV-0215469,1196.56,USD,2024-03-19,goodwill,,
CM-400090,ACC-10371,INV-0220542,10236.25,USD,2022-06-26,billing_error,INV-0223340,2022-10-04
CM-400091,ACC-10061,INV-0205122,2498.5,USD,2025-04-14,service_credit_sla,INV-0224787,2025-06-09
CM-400092,ACC-10371,INV-0220568,10353.39,USD,2024-09-06,early_termination_adjustment,INV-0204611,2024-11-02
CM-400093,ACC-10466,INV-0225583,73.12,USD,2024-09-27,early_termination_adjustment,INV-0219507,2024-10-28
CM-400094,ACC-10486,INV-0226463,590.95,USD,2022-12-20,billing_error,INV-0216866,2023-01-23
CM-400095,ACC-10330,INV-0218296,923949.24,JPY,2024-04-25,billing_error,INV-0208552,2024-07-30
CM-400096,ACC-10500,INV-0227191,2063.89,USD,2023-02-03,early_termination_adjustment,,
CM-400097,ACC-10231,INV-0213148,127.83,EUR,2025-12-24,negotiated_discount,INV-0203608,2026-01-02
CM-400098,ACC-10329,INV-0218234,8345.53,USD,2023-10-21,early_termination_adjustment,,
CM-400099,ACC-10040,INV-0203598,14119.25,USD,2024-06-05,goodwill,INV-0202567,2024-07-28
CM-400100,ACC-10398,INV-0221873,1933.67,USD,2025-05-29,billing_error,INV-0201927,2025-05-20
CM-400101,ACC-10458,INV-0225081,389.31,USD,2024-02-11,goodwill,INV-0203620,2024-04-02
CM-400102,ACC-10362,INV-0220185,365.33,USD,2023-09-13,duplicate_charge,INV-0202811,2023-12-12
CM-400103,ACC-10367,INV-0220367,15622.33,USD,2024-01-23,early_termination_adjustment,,
CM-400104,ACC-10308,INV-0217137,1781.72,USD,2026-01-28,negotiated_discount,INV-0200705,2026-04-17
CM-400105,ACC-10098,INV-0206983,1283.49,USD,2023-06-20,service_credit_sla,INV-0204334,2023-09-29
CM-400106,ACC-10431,INV-0223591,7712.26,USD,2023-10-20,negotiated_discount,INV-0211279,2024-01-29
CM-400107,ACC-10465,INV-0225518,1194.57,USD,2023-08-25,negotiated_discount,INV-0226306,2023-12-31
CM-400108,ACC-10104,INV-0207218,1101233.22,JPY,2024-03-27,goodwill,INV-0213731,2024-03-08
CM-400109,ACC-10023,INV-0201969,26086.26,USD,2025-12-06,negotiated_discount,INV-0208839,2026-02-08
CM-400110,ACC-10466,INV-0225567,153.25,USD,2023-03-06,billing_error,INV-0216957,2023-07-14
CM-400111,ACC-10290,INV-0216365,7555.07,EUR,2025-06-20,duplicate_charge,,
CM-400112,ACC-10222,INV-0212694,12998.51,USD,2026-03-18,billing_error,,
CM-400113,ACC-10471,INV-0225829,1584937.15,JPY,2022-07-04,goodwill,INV-0210283,2022-09-11
CM-400114,ACC-10227,INV-0212938,1530.58,GBP,2023-12-21,negotiated_discount,INV-0216052,2024-04-27
CM-400115,ACC-10320,INV-0217636,1823.65,USD,2022-07-14,goodwill,INV-0216632,2022-05-18
CM-400116,ACC-10370,INV-0220463,606.95,USD,2023-05-06,billing_error,INV-0205293,2023-05-16
CM-400117,ACC-10265,INV-0215173,506.65,USD,2024-03-08,negotiated_discount,,
CM-400118,ACC-10441,INV-0224202,222.41,GBP,2024-12-23,billing_error,INV-0209499,2025-01-29
CM-400119,ACC-10039,INV-0203530,27792.92,USD,2025-03-03,negotiated_discount,INV-0212900,2025-08-03
CM-400120,ACC-10248,INV-0214167,2240.14,USD,2023-07-02,negotiated_discount,INV-0204470,2023-06-04
CM-400121,ACC-10207,INV-0211810,7133.89,USD,2023-12-12,negotiated_discount,,
CM-400122,ACC-10372,INV-0220643,5457.19,USD,2024-09-05,service_credit_sla,INV-0207180,2024-09-18
CM-400123,ACC-10153,INV-0209415,2432.66,USD,2022-08-01,billing_error,INV-0222314,2022-09-05
CM-400124,ACC-10042,INV-0203768,8381.52,USD,2025-06-13,billing_error,INV-0223385,2025-11-14
CM-400125,ACC-10106,INV-0207342,8313.95,EUR,2026-02-26,early_termination_adjustment,INV-0206466,2026-02-20
CM-400126,ACC-10003,INV-0200249,57183.82,USD,2025-07-19,duplicate_charge,,
CM-400127,ACC-10016,INV-0201404,125551.06,USD,2025-01-23,early_termination_adjustment,INV-0225299,2025-05-05
CM-400128,ACC-10500,INV-0227267,734.76,USD,2024-11-08,billing_error,INV-0203832,2024-10-03
CM-400129,ACC-10419,INV-0223063,283.84,USD,2022-06-04,billing_error,INV-0214296,2022-07-31
CM-400130,ACC-10111,INV-0207625,1504.54,USD,2022-05-07,billing_error,INV-0201066,2022-07-06
CM-400131,ACC-10078,INV-0205999,6503.37,USD,2026-06-24,negotiated_discount,INV-0202749,2026-05-16
CM-400132,ACC-10080,INV-0206116,1897.05,USD,2024-09-23,negotiated_discount,INV-0214787,2024-09-18
CM-400133,ACC-10010,INV-0200820,1036.62,USD,2026-01-13,billing_error,INV-0202415,2026-01-10
CM-400134,ACC-10266,INV-0215207,5175.45,USD,2025-12-19,service_credit_sla,INV-0219929,2026-04-21
CM-400135,ACC-10182,INV-0210898,48429.11,USD,2025-09-29,negotiated_discount,INV-0209858,2025-08-18
CM-400136,ACC-10261,INV-0214983,525.87,USD,2026-07-30,duplicate_charge,INV-0224324,2026-06-04
CM-400137,ACC-10092,INV-0206636,560.0,USD,2022-12-26,early_termination_adjustment,INV-0222790,2023-01-28
CM-400138,ACC-10010,INV-0200812,764.9,USD,2025-05-17,negotiated_discount,,
CM-400139,ACC-10277,INV-0215651,15707.33,USD,2025-09-08,billing_error,INV-0201568,2025-08-13
CM-400140,ACC-10441,INV-0224230,18216.89,GBP,2025-04-25,negotiated_discount,INV-0214785,2025-06-21
CM-400141,ACC-10283,INV-0215951,24395.54,USD,2025-10-18,billing_error,INV-0200536,2025-12-04
CM-400142,ACC-10329,INV-0218184,5070.0,USD,2025-07-02,negotiated_discount,INV-0202516,2025-06-25
CM-400143,ACC-10087,INV-0206412,7453.99,USD,2024-05-15,service_credit_sla,INV-0223324,2024-05-11
CM-400144,ACC-10416,INV-0222919,3528.7,USD,2023-09-15,service_credit_sla,INV-0219344,2023-09-12
CM-400145,ACC-10338,INV-0218666,450.38,USD,2023-12-29,negotiated_discount,INV-0216207,2024-05-22
CM-400146,ACC-10143,INV-0208967,6493.06,USD,2024-10-16,service_credit_sla,INV-0209712,2025-02-03
CM-400147,ACC-10275,INV-0215526,271.71,USD,2024-02-22,early_termination_adjustment,,
CM-400148,ACC-10036,INV-0203179,16575.73,EUR,2025-02-22,billing_error,,
CM-400149,ACC-10400,INV-0222041,3503.38,USD,2025-05-27,billing_error,,
CM-400150,ACC-10423,INV-0223322,4984.19,EUR,2025-05-05,early_termination_adjustment,INV-0217697,2025-06-03
CM-400151,ACC-10192,INV-0211384,5397.72,USD,2023-03-08,billing_error,,
CM-400152,ACC-10488,INV-0226585,677.44,USD,2025-12-13,billing_error,INV-0205704,2026-02-17
CM-400153,ACC-10035,INV-0203085,2832.95,EUR,2023-11-12,service_credit_sla,INV-0202955,2024-01-07
CM-400154,ACC-10495,INV-0226951,12292.58,USD,2025-01-26,early_termination_adjustment,INV-0209393,2025-01-08
CM-400155,ACC-10013,INV-0201098,41142.52,USD,2025-11-21,service_credit_sla,INV-0206166,2026-02-27
CM-400156,ACC-10095,INV-0206775,11374.0,USD,2025-03-05,negotiated_discount,,
CM-400157,ACC-10340,INV-0218732,2067.18,USD,2025-09-12,billing_error,INV-0210168,2025-11-12
CM-400158,ACC-10478,INV-0226122,2845.42,USD,2024-09-27,duplicate_charge,INV-0210559,2024-11-08
CM-400159,ACC-10451,INV-0224825,8026.44,USD,2022-12-25,service_credit_sla,INV-0205415,2023-01-12
CM-400160,ACC-10475,INV-0225996,2977.14,USD,2024-06-22,duplicate_charge,INV-0212546,2024-11-20
CM-400161,ACC-10091,INV-0206624,2655.62,USD,2024-09-25,service_credit_sla,INV-0218372,2024-08-21
CM-400162,ACC-10405,INV-0222203,2130.78,USD,2025-07-01,negotiated_discount,INV-0219672,2025-08-30
CM-400163,ACC-10262,INV-0215041,1622.77,USD,2024-08-11,negotiated_discount,INV-0210484,2024-08-20
CM-400164,ACC-10109,INV-0207511,1033.45,USD,2025-07-22,billing_error,INV-0217577,2025-07-26
CM-400165,ACC-10493,INV-0226890,1377.81,USD,2023-03-10,service_credit_sla,INV-0211160,2023-05-26
CM-400166,ACC-10345,INV-0219044,99.1,USD,2024-01-18,negotiated_discount,INV-0203838,2024-05-28
CM-400167,ACC-10466,INV-0225578,278.38,USD,2024-02-19,early_termination_adjustment,INV-0216802,2024-03-17
CM-400168,ACC-10002,INV-0200171,967.0,USD,2024-03-07,goodwill,INV-0225252,2024-01-29
CM-400169,ACC-10091,INV-0206588,395.54,USD,2026-01-11,negotiated_discount,INV-0207613,2026-04-10
CM-400170,ACC-10287,INV-0216239,780.73,USD,2024-11-13,billing_error,INV-0213850,2024-12-28
CM-400171,ACC-10200,INV-0211641,428.76,EUR,2024-05-19,goodwill,INV-0226002,2024-06-06
CM-400172,ACC-10405,INV-0222188,3034.17,USD,2024-01-14,service_credit_sla,INV-0224923,2024-05-11
CM-400173,ACC-10443,INV-0224357,163.82,USD,2023-08-06,billing_error,INV-0214393,2023-07-13
CM-400174,ACC-10075,INV-0205743,210.61,USD,2023-04-23,goodwill,INV-0204185,2023-04-07
CM-400175,ACC-10375,INV-0220825,8954.0,USD,2023-04-19,service_credit_sla,INV-0201508,2023-06-26
CM-400176,ACC-10023,INV-0202064,36660.4,USD,2025-04-16,duplicate_charge,INV-0210707,2025-03-08
CM-400177,ACC-10134,INV-0208620,34635.23,USD,2024-08-01,billing_error,INV-0226888,2024-10-18
CM-400178,ACC-10032,INV-0202795,1626.39,USD,2024-07-20,duplicate_charge,,
CM-400179,ACC-10226,INV-0212917,2954.23,USD,2024-04-17,goodwill,INV-0219401,2024-05-30
CM-400180,ACC-10045,INV-0204026,14499.22,USD,2025-12-17,goodwill,INV-0203068,2026-01-08
CM-400181,ACC-10424,INV-0223371,9064.83,USD,2022-10-30,billing_error,,
CM-400182,ACC-10085,INV-0206330,4134.47,JPY,2025-10-27,early_termination_adjustment,INV-0207856,2025-11-19
CM-400183,ACC-10284,INV-0216058,296532.27,JPY,2024-04-27,duplicate_charge,INV-0204429,2024-07-17
CM-400184,ACC-10206,INV-0211765,944.21,GBP,2026-05-26,early_termination_adjustment,INV-0204075,2026-05-09
CM-400185,ACC-10437,INV-0223912,740.87,USD,2024-07-26,service_credit_sla,INV-0224044,2024-08-20
CM-400186,ACC-10354,INV-0219604,9299.73,USD,2024-10-16,service_credit_sla,,
CM-400187,ACC-10036,INV-0203188,26016.53,EUR,2023-08-18,service_credit_sla,INV-0225650,2024-01-04
CM-400188,ACC-10477,INV-0226074,8953.67,USD,2023-09-29,early_termination_adjustment,INV-0205392,2024-01-15
CM-400189,ACC-10293,INV-0216460,1306.37,EUR,2023-07-08,early_termination_adjustment,INV-0205479,2023-08-27
CM-400190,ACC-10311,INV-0217244,1527.05,GBP,2025-02-12,billing_error,INV-0220685,2025-01-24
CM-400191,ACC-10089,INV-0206510,4581.88,USD,2026-01-28,negotiated_discount,INV-0219426,2026-04-12
CM-400192,ACC-10392,INV-0221650,1377.43,USD,2025-02-15,billing_error,INV-0215769,2025-01-06
CM-400193,ACC-10437,INV-0224024,38068.09,USD,2024-01-19,billing_error,INV-0209390,2024-04-16
CM-400194,ACC-10439,INV-0224046,910.25,GBP,2025-08-01,negotiated_discount,,
CM-400195,ACC-10096,INV-0206889,2060.36,USD,2025-05-11,early_termination_adjustment,INV-0205197,2025-08-05
CM-400196,ACC-10225,INV-0212863,238.4,EUR,2026-01-06,goodwill,,
CM-400197,ACC-10314,INV-0217444,3007.51,GBP,2022-05-30,negotiated_discount,INV-0221579,2022-09-22
CM-400198,ACC-10358,INV-0219790,4671.23,USD,2026-03-04,early_termination_adjustment,INV-0211597,2026-05-15
CM-400199,ACC-10106,INV-0207367,790.71,EUR,2025-11-04,service_credit_sla,INV-0202347,2025-12-25
CM-400200,ACC-10280,INV-0215805,1054.98,USD,2025-04-24,early_termination_adjustment,INV-0216621,2025-02-21
